,{}
best_classifier_training_time,1.258060819003731
best_classifier_inference_time,2.2395152320023044
best_classifier_recall,0.0
best_classifier_precision,0.0
best_classifier_f1,0.0
best_classifier_TN,850738
best_classifier_FP,3923
best_classifier_FN,198
best_classifier_TP,0
best_classifier_auc,0.5491853264663186
best_classifier_p_auc_10,0.527484489313705
best_classifier_p_auc_20,0.5298254864732275
best_classifier_p_auc_30,0.53442990791243
training_time_avg,1.258060819003731
inference_time_avg,2.2395152320023044
auc_avg,0.5491853264663186
auc_std,0.0
p_auc_10_avg,0.527484489313705
p_auc_10_std,0.0
p_auc_20_avg,0.5298254864732275
p_auc_20_std,0.0
p_auc_30_avg,0.53442990791243
p_auc_30_std,0.0
recall_avg,0.0
recall_std,0.0
