,{}
best_classifier_training_time,1.0173272060055751
best_classifier_inference_time,1.7458847220041207
best_classifier_recall,0.06565656565656566
best_classifier_precision,0.0018497438816163915
best_classifier_f1,0.0035981179075560473
best_classifier_TN,847646
best_classifier_FP,7015
best_classifier_FN,185
best_classifier_TP,13
best_classifier_auc,0.8861447327470698
best_classifier_p_auc_10,0.6764610881630632
best_classifier_p_auc_20,0.7696788842136283
best_classifier_p_auc_30,0.8155775705327485
training_time_avg,1.0173272060055751
inference_time_avg,1.7458847220041207
auc_avg,0.8861447327470698
auc_std,0.0
p_auc_10_avg,0.6764610881630632
p_auc_10_std,0.0
p_auc_20_avg,0.7696788842136283
p_auc_20_std,0.0
p_auc_30_avg,0.8155775705327485
p_auc_30_std,0.0
recall_avg,0.06565656565656566
recall_std,0.0
