,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'max_samples': 128, 'n_estimators': 1}",0.883703447998414,0.4932023709989153,0.0,0.0,0.0,854661.0,0.0,198.0,0.0,0.829941498808453,0.6693783271211384,0.7268507180785363,0.7517802446750195,0.8739372341995477,0.4963801202000468,0.8010881743779349,0.059440925659204086,0.6472653981661428,0.01641228123346104,0.7074667467752689,0.03513599911582742,0.7430534646994893,0.04604742252199497,0.013131313131313133,0.026262626262626265
"{'max_samples': 128, 'n_estimators': 10}",4.580853924999246,2.227015222000773,0.050505050505050504,0.001889287738522577,0.0036423238025860495,849378.0,5283.0,188.0,10.0,0.9104011101855861,0.7358857269167947,0.8144421923953118,0.8484493899686727,4.568743650600664,2.201988012200309,0.8833959271157179,0.021762843757184368,0.7054913914140843,0.018549902025198163,0.7810978264818148,0.02640755869408217,0.8167999697756742,0.028391805275641627,0.07878787878787878,0.02867690821530988
"{'max_samples': 128, 'n_estimators': 50}",20.425565674999234,9.798368760002631,0.09595959595959595,0.0023005206441457805,0.004493319143904459,846421.0,8240.0,179.0,19.0,0.9021967910272747,0.7259519826242034,0.8039743561676624,0.8408012828026762,20.55616869219957,9.757848768401164,0.8995951670317297,0.0033714428014062344,0.7142608208493726,0.007351394880867199,0.7950697386726213,0.008291233931090467,0.8344349088798367,0.006285323201651087,0.10404040404040404,0.010399626405037376
"{'max_samples': 128, 'n_estimators': 100}",40.52840388700133,19.288789107999037,0.1111111111111111,0.002601702932828761,0.005084354055927895,846227.0,8434.0,176.0,22.0,0.900341365190586,0.7187266350890441,0.7972252227687033,0.8343784746618563,40.30249668000179,19.115977308400034,0.8949165017746594,0.0030903249771058105,0.7040984446602249,0.008342372475945327,0.7875833037973349,0.0056817122260186285,0.8276008656094686,0.004553885041053575,0.10101010101010102,0.012776879435023755
"{'max_samples': 256, 'n_estimators': 1}",0.9222696620017814,0.5092173179982638,0.0,0.0,0.0,854661.0,0.0,198.0,0.0,0.8131845801606092,0.656139088014478,0.7062171496430616,0.7274043881914706,0.9088668288000917,0.5069599501992343,0.7952651000297962,0.05122114868222726,0.6111471738860561,0.027798060867625467,0.6772243344562658,0.03996168264507915,0.7190515431421698,0.041687941777805666,0.013131313131313133,0.026262626262626265
"{'max_samples': 256, 'n_estimators': 10}",5.156108961000427,2.304630154998449,0.09090909090909091,0.002145666944808678,0.00419238383603121,846290.0,8371.0,180.0,18.0,0.9018305787235221,0.7169373936048327,0.8032296052783123,0.8454739729718588,4.884444088800956,2.319976792599482,0.8874555950998542,0.008154650272033829,0.698222540649158,0.01605968154909588,0.785707746390598,0.01042730411601688,0.8273413958359533,0.010569171819505133,0.09898989898989899,0.023817830550609282
"{'max_samples': 256, 'n_estimators': 50}",21.672198996999214,10.268699537999055,0.10606060606060606,0.0025020850708924102,0.0048888371551623795,846289.0,8372.0,177.0,21.0,0.9006804239554418,0.7173886683662756,0.8009252067888573,0.8408240357439184,21.805377634999605,10.391931492600998,0.898730245564078,0.003690576471767969,0.7027217151012481,0.010155651744235732,0.7939591086566506,0.0049333266644108415,0.8362060176625258,0.004471596471744261,0.1101010101010101,0.006700252101728081
"{'max_samples': 256, 'n_estimators': 100}",43.304695034999895,21.628506215001835,0.07575757575757576,0.0018429782528566164,0.003598416696653472,846537.0,8124.0,183.0,15.0,0.9030847176585662,0.7100250332519895,0.798471903754973,0.8410634651708425,42.91510278620044,20.58800592120024,0.8982556353875507,0.0034033547877848802,0.6977803644910452,0.006827524051426424,0.7906214601130285,0.004448466081041774,0.8332406829257006,0.004833661499999045,0.09797979797979797,0.019586585282490215
"{'max_samples': 512, 'n_estimators': 1}",0.9391032829989854,0.532658285999787,0.06565656565656566,0.0024303608151056274,0.004687218316206959,849325.0,5336.0,185.0,13.0,0.8547051864937553,0.6458408360150156,0.7566726139975261,0.7985478989801515,0.9307332423995831,0.5196059181995224,0.8439065260431275,0.009001507670463255,0.6281390133625999,0.01408624415990877,0.7262639985383226,0.026480351227400414,0.7719830863374375,0.02506913685249948,0.024242424242424242,0.02986211211938279
"{'max_samples': 512, 'n_estimators': 10}",5.002493484000297,2.4144179949980753,0.06060606060606061,0.0014664548454112183,0.002863620093067653,846490.0,8171.0,186.0,12.0,0.9073780201279876,0.6867951208545716,0.7902930451020669,0.8359942321793175,4.968990424999356,2.402764336399559,0.8840062476658741,0.011898054223033904,0.6708441705578927,0.012336342348707487,0.7747474838419719,0.008978440972837438,0.8188121654358731,0.009277008262957005,0.0707070707070707,0.01778466349662526
