,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_bins': 6, 'n_random_cuts': 25}",2.4214450799991027,1.4149962550000055,0.06565656565656566,0.0018497438816163915,0.0035981179075560473,847646.0,7015.0,185.0,13.0,0.702432371466936,0.6283126072571302,0.6327940991135464,0.6274877376385192,2.4214450799991027,1.4149962550000055,0.702432371466936,0.0,0.6283126072571302,0.0,0.6327940991135464,0.0,0.6274877376385192,0.0,0.06565656565656566,0.0
"{'n_bins': 6, 'n_random_cuts': 50}",4.508389595001063,2.689945304002322,0.04040404040404041,0.0018854584020740043,0.003602792163927044,850426.0,4235.0,190.0,8.0,0.7079095268666924,0.6745544956773456,0.6942714234009703,0.6971952409624907,4.508389595001063,2.689945304002322,0.7079095268666924,0.0,0.6745544956773456,0.0,0.6942714234009703,0.0,0.6971952409624907,0.0,0.04040404040404041,0.0
"{'n_bins': 6, 'n_random_cuts': 75}",6.553445552002813,3.888644873004523,0.04040404040404041,0.0018854584020740043,0.003602792163927044,850426.0,4235.0,190.0,8.0,0.7139381029791965,0.6745544956773456,0.6942714234009703,0.6971952409624907,6.553445552002813,3.888644873004523,0.7139381029791965,0.0,0.6745544956773456,0.0,0.6942714234009703,0.0,0.6971952409624907,0.0,0.04040404040404041,0.0
"{'n_bins': 6, 'n_random_cuts': 100}",8.61544638399937,5.070001138999942,0.06565656565656566,0.0018497438816163915,0.0035981179075560473,847646.0,7015.0,185.0,13.0,0.6903712954225965,0.5774042943691567,0.5704934077991584,0.5584996625450986,8.61544638399937,5.070001138999942,0.6903712954225965,0.0,0.5774042943691567,0.0,0.5704934077991584,0.0,0.5584996625450986,0.0,0.06565656565656566,0.0
"{'n_bins': 8, 'n_random_cuts': 25}",2.356617161000031,1.4257358749964624,0.06565656565656566,0.002051767676767677,0.003979185797367616,848338.0,6323.0,185.0,13.0,0.6364471711679552,0.6573892766281022,0.6779834236101,0.6756521710154166,2.356617161000031,1.4257358749964624,0.6364471711679552,0.0,0.6573892766281022,0.0,0.6779834236101,0.0,0.6756521710154166,0.0,0.06565656565656566,0.0
"{'n_bins': 8, 'n_random_cuts': 50}",4.457209672000317,2.6933394399966346,0.06565656565656566,0.002051767676767677,0.003979185797367616,848338.0,6323.0,185.0,13.0,0.6492195872002603,0.6593075948467213,0.6699759495357345,0.663632834162317,4.457209672000317,2.6933394399966346,0.6492195872002603,0.0,0.6593075948467213,0.0,0.6699759495357345,0.0,0.663632834162317,0.0,0.06565656565656566,0.0
"{'n_bins': 8, 'n_random_cuts': 75}",6.6027432099945145,3.855556021000666,0.06565656565656566,0.002051767676767677,0.003979185797367616,848338.0,6323.0,185.0,13.0,0.5993367516181823,0.6235430014351222,0.6219601852995218,0.6091699370998281,6.6027432099945145,3.855556021000666,0.5993367516181823,0.0,0.6235430014351222,0.0,0.6219601852995218,0.0,0.6091699370998281,0.0,0.06565656565656566,0.0
"{'n_bins': 8, 'n_random_cuts': 100}",8.572998411000299,5.087444806005806,0.06565656565656566,0.002051767676767677,0.003979185797367616,848338.0,6323.0,185.0,13.0,0.5993367516181823,0.6235430014351222,0.6219601852995218,0.6091699370998281,8.572998411000299,5.087444806005806,0.5993367516181823,0.0,0.6235430014351222,0.0,0.6219601852995218,0.0,0.6091699370998281,0.0,0.06565656565656566,0.0
"{'n_bins': 10, 'n_random_cuts': 25}",2.4466983000020264,1.4683200689978548,0.05555555555555555,0.0024774774774774773,0.004743423889607589,850232.0,4429.0,187.0,11.0,0.5622813896357441,0.6237726486614997,0.6242386371354695,0.6104315562224607,2.4466983000020264,1.4683200689978548,0.5622813896357441,0.0,0.6237726486614997,0.0,0.6242386371354695,0.0,0.6104315562224607,0.0,0.05555555555555555,0.0
"{'n_bins': 10, 'n_random_cuts': 50}",4.578205492005509,2.7770819479992497,0.05555555555555555,0.0024774774774774773,0.004743423889607589,850232.0,4429.0,187.0,11.0,0.5464922006585894,0.6058738289389336,0.5982221144450854,0.5803705354581687,4.578205492005509,2.7770819479992497,0.5464922006585894,0.0,0.6058738289389336,0.0,0.5982221144450854,0.0,0.5803705354581687,0.0,0.05555555555555555,0.0
