,"{'n_bins': 12, 'n_random_cuts': 50}"
best_classifier_training_time,4.246511698998802
best_classifier_inference_time,2.7774890270011383
best_classifier_recall,0.04040404040404041
best_classifier_precision,0.0018298261665141812
best_classifier_f1,0.00350109409190372
best_classifier_TN,850297
best_classifier_FP,4364
best_classifier_FN,190
best_classifier_TP,8
best_classifier_auc,0.5053183973150486
best_classifier_p_auc_10,0.5409937357723489
best_classifier_p_auc_20,0.5462394844281511
best_classifier_p_auc_30,0.5420514642015827
training_time_avg,4.246511698998802
inference_time_avg,2.7774890270011383
auc_avg,0.5053183973150486
auc_std,0.0
p_auc_10_avg,0.5409937357723489
p_auc_10_std,0.0
p_auc_20_avg,0.5462394844281511
p_auc_20_std,0.0
p_auc_30_avg,0.5420514642015827
p_auc_30_std,0.0
recall_avg,0.04040404040404041
recall_std,0.0
