,"{'n_components': 3, 'standardization': False, 'svd_solver': 'randomized', 'weighted': True, 'whiten': True}"
best_classifier_training_time,1.0027172389964107
best_classifier_inference_time,0.3035506419982994
best_classifier_recall,0.0
best_classifier_precision,0.0
best_classifier_f1,0.0
best_classifier_TN,848879
best_classifier_FP,5782
best_classifier_FN,198
best_classifier_TP,0
best_classifier_auc,0.5135898380123283
best_classifier_p_auc_10,0.5290799643564653
best_classifier_p_auc_20,0.5367219617364993
best_classifier_p_auc_30,0.5293743448690355
training_time_avg,0.9980605516000651
inference_time_avg,0.3116058099985821
auc_avg,0.5127554490593169
auc_std,0.0020943168505483975
p_auc_10_avg,0.5218508263036753
p_auc_10_std,0.003614569026394987
p_auc_20_avg,0.523889965919333
p_auc_20_std,0.00641599790858316
p_auc_30_avg,0.5212973106992778
p_auc_30_std,0.0040385170848788125
recall_avg,0.0
recall_std,0.0
