,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': True}",0.6112293059995864,0.3162601119984174,0.09090909090909091,0.002534140504012389,0.004930831392959868,847576.0,7085.0,180.0,18.0,0.5430754522447018,0.5736955477391805,0.5577077579834618,0.5352882648946441,0.6173992897995049,0.3127632582007209,0.5430754522447018,0.0,0.5736955477391805,0.0,0.5577077579834618,0.0,0.5352882648946441,0.0,0.09090909090909091,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': False}",0.6184179319971008,0.3085747619916219,0.09090909090909091,0.002534140504012389,0.004930831392959868,847576.0,7085.0,180.0,18.0,0.5430754522447018,0.5736955477391805,0.5577077579834618,0.5352882648946441,0.6227871017996222,0.31348419019486756,0.5430754522447018,0.0,0.5736955477391805,0.0,0.5577077579834618,0.0,0.5352882648946441,0.0,0.09090909090909091,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': True}",0.629530097998213,0.3125055090058595,0.09090909090909091,0.002534140504012389,0.004930831392959868,847576.0,7085.0,180.0,18.0,0.5430754522447018,0.5736955477391805,0.5577077579834618,0.5352882648946441,0.6237344466004288,0.3130538960045669,0.5430754522447018,0.0,0.5736955477391805,0.0,0.5577077579834618,0.0,0.5352882648946441,0.0,0.09090909090909091,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': False}",0.6347524610027904,0.3170734169980278,0.09090909090909091,0.002534140504012389,0.004930831392959868,847576.0,7085.0,180.0,18.0,0.5430754522447018,0.5736955477391805,0.5577077579834618,0.5352882648946441,0.6243910036020679,0.31181502300023567,0.5430754522447018,0.0,0.5736955477391805,0.0,0.5577077579834618,0.0,0.5352882648946441,0.0,0.09090909090909091,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': True, 'whiten': True}",0.6642943719925825,0.3042807960009668,0.09090909090909091,0.002534140504012389,0.004930831392959868,847576.0,7085.0,180.0,18.0,0.5430754522447018,0.5736955477391805,0.5577077579834618,0.5352882648946441,0.6503287995990832,0.30339894820353946,0.5430754522447018,0.0,0.5736955477391805,0.0,0.5577077579834618,0.0,0.5352882648946441,0.0,0.09090909090909091,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': True, 'whiten': False}",0.6484812459966633,0.3077696209948044,0.09090909090909091,0.002534140504012389,0.004930831392959868,847576.0,7085.0,180.0,18.0,0.5430754522447018,0.5736955477391805,0.5577077579834618,0.5352882648946441,0.6459008495992749,0.31280054499802645,0.5430754522447018,0.0,0.5736955477391805,0.0,0.5577077579834618,0.0,0.5352882648946441,0.0,0.09090909090909091,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': False, 'whiten': True}",0.6573625699966215,0.30548999400343746,0.09090909090909091,0.002534140504012389,0.004930831392959868,847576.0,7085.0,180.0,18.0,0.5430754522447018,0.5736955477391805,0.5577077579834618,0.5352882648946441,0.714815439801896,0.3459657811996294,0.5430754522447018,0.0,0.5736955477391805,0.0,0.5577077579834618,0.0,0.5352882648946441,0.0,0.09090909090909091,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': False, 'whiten': False}",0.6492309530003695,0.3072551660006866,0.09090909090909091,0.002534140504012389,0.004930831392959868,847576.0,7085.0,180.0,18.0,0.5430754522447018,0.5736955477391805,0.5577077579834618,0.5352882648946441,0.6472588750009891,0.30252311259973796,0.5430754522447018,0.0,0.5736955477391805,0.0,0.5577077579834618,0.0,0.5352882648946441,0.0,0.09090909090909091,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': True, 'whiten': True}",1.1666823129926343,0.3074714490066981,0.09090909090909091,0.002534140504012389,0.004930831392959868,847576.0,7085.0,180.0,18.0,0.5430754522447018,0.5736955477391805,0.5577077579834618,0.5352882648946441,1.1658508505992358,0.30828733899979854,0.5430754522447018,0.0,0.5736955477391805,0.0,0.5577077579834618,0.0,0.5352882648946441,0.0,0.09090909090909091,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': True, 'whiten': False}",1.1675327459961409,0.3103018029942177,0.09090909090909091,0.002534140504012389,0.004930831392959868,847576.0,7085.0,180.0,18.0,0.5430754522447018,0.5736955477391805,0.5577077579834618,0.5352882648946441,1.1613250165974023,0.31068916819640435,0.5430754522447018,0.0,0.5736955477391805,0.0,0.5577077579834618,0.0,0.5352882648946441,0.0,0.09090909090909091,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': False, 'whiten': True}",1.160245715000201,0.3260822189913597,0.09090909090909091,0.002534140504012389,0.004930831392959868,847576.0,7085.0,180.0,18.0,0.5430754522447018,0.5736955477391805,0.5577077579834618,0.5352882648946441,1.168585435996647,0.3142963664024137,0.5430754522447018,0.0,0.5736955477391805,0.0,0.5577077579834618,0.0,0.5352882648946441,0.0,0.09090909090909091,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': False, 'whiten': False}",1.1577123480092268,0.30381797600421123,0.09090909090909091,0.002534140504012389,0.004930831392959868,847576.0,7085.0,180.0,18.0,0.5430754522447018,0.5736955477391805,0.5577077579834618,0.5352882648946441,1.1677529072010657,0.3097090153984027,0.5430754522447018,0.0,0.5736955477391805,0.0,0.5577077579834618,0.0,0.5352882648946441,0.0,0.09090909090909091,0.0
"{'n_components': 1, 'standardization': False, 'svd_solver': 'full', 'weighted': True, 'whiten': True}",0.5168092799867736,0.28183029500360135,0.0,0.0,0.0,854661.0,0.0,198.0,0.0,0.4680664573025404,0.4743435194186135,0.473203116648198,0.464744683647094,0.5036336828023196,0.2860156138049206,0.4680664573025403,5.551115123125783e-17,0.4743435194186135,0.0,0.4732031166481979,5.551115123125783e-17,0.464744683647094,0.0,0.0,0.0
"{'n_components': 1, 'standardization': False, 'svd_solver': 'full', 'weighted': True, 'whiten': False}",0.5256850970035885,0.2805132089997642,0.0,0.0,0.0,854661.0,0.0,198.0,0.0,0.4680664573025404,0.4743435194186135,0.473203116648198,0.464744683647094,0.5227054998016684,0.28390999059774913,0.4680664573025403,5.551115123125783e-17,0.4743435194186135,0.0,0.4732031166481979,5.551115123125783e-17,0.464744683647094,0.0,0.0,0.0
"{'n_components': 1, 'standardization': False, 'svd_solver': 'full', 'weighted': False, 'whiten': True}",0.5142819699976826,0.29508272399834823,0.0,0.0,0.0,854661.0,0.0,198.0,0.0,0.4680664573025404,0.4743435194186135,0.473203116648198,0.464744683647094,0.5078987409971887,0.2891268317995127,0.4680664573025403,5.551115123125783e-17,0.4743435194186135,0.0,0.4732031166481979,5.551115123125783e-17,0.464744683647094,0.0,0.0,0.0
"{'n_components': 1, 'standardization': False, 'svd_solver': 'full', 'weighted': False, 'whiten': False}",0.505601729004411,0.3008525460027158,0.0,0.0,0.0,854661.0,0.0,198.0,0.0,0.4680664573025404,0.4743435194186135,0.473203116648198,0.464744683647094,0.5056253091985127,0.28589446140103975,0.4680664573025403,5.551115123125783e-17,0.4743435194186135,0.0,0.4732031166481979,5.551115123125783e-17,0.464744683647094,0.0,0.0,0.0
"{'n_components': 1, 'standardization': False, 'svd_solver': 'arpack', 'weighted': True, 'whiten': True}",0.5243408710084623,0.28653416999441106,0.0,0.0,0.0,854661.0,0.0,198.0,0.0,0.4680664573025404,0.4743435194186135,0.473203116648198,0.464744683647094,0.5181994068028871,0.28009134419844484,0.4680664573025403,5.551115123125783e-17,0.4743435194186135,0.0,0.4732031166481979,5.551115123125783e-17,0.464744683647094,0.0,0.0,0.0
"{'n_components': 1, 'standardization': False, 'svd_solver': 'arpack', 'weighted': True, 'whiten': False}",0.522027603990864,0.27941702799580526,0.0,0.0,0.0,854661.0,0.0,198.0,0.0,0.4680664573025404,0.4743435194186135,0.473203116648198,0.464744683647094,0.5175457242003176,0.27754224759992213,0.4680664573025403,5.551115123125783e-17,0.4743435194186135,0.0,0.4732031166481979,5.551115123125783e-17,0.464744683647094,0.0,0.0,0.0
"{'n_components': 1, 'standardization': False, 'svd_solver': 'arpack', 'weighted': False, 'whiten': True}",0.5431212260009488,0.2769468509941362,0.0,0.0,0.0,854661.0,0.0,198.0,0.0,0.4680664573025404,0.4743435194186135,0.473203116648198,0.464744683647094,0.5259976667992305,0.27964131940098014,0.4680664573025403,5.551115123125783e-17,0.4743435194186135,0.0,0.4732031166481979,5.551115123125783e-17,0.464744683647094,0.0,0.0,0.0
"{'n_components': 1, 'standardization': False, 'svd_solver': 'arpack', 'weighted': False, 'whiten': False}",0.5221106999961194,0.2816272820055019,0.0,0.0,0.0,854661.0,0.0,198.0,0.0,0.4680664573025404,0.4743435194186135,0.473203116648198,0.464744683647094,0.5252284111978952,0.2802793851995375,0.4680664573025403,5.551115123125783e-17,0.4743435194186135,0.0,0.4732031166481979,5.551115123125783e-17,0.464744683647094,0.0,0.0,0.0
"{'n_components': 1, 'standardization': False, 'svd_solver': 'randomized', 'weighted': True, 'whiten': True}",1.072022520005703,0.2814643940073438,0.0,0.0,0.0,854661.0,0.0,198.0,0.0,0.4680664573025404,0.4743435194186135,0.473203116648198,0.464744683647094,1.0446696248021907,0.27935844780295155,0.4680664573025403,5.551115123125783e-17,0.4743435194186135,0.0,0.4732031166481979,5.551115123125783e-17,0.464744683647094,0.0,0.0,0.0
"{'n_components': 1, 'standardization': False, 'svd_solver': 'randomized', 'weighted': True, 'whiten': False}",1.0269509339996148,0.298431350995088,0.0,0.0,0.0,854661.0,0.0,198.0,0.0,0.4680664573025404,0.4743435194186135,0.473203116648198,0.464744683647094,1.039801653198083,0.28336482139711733,0.4680664573025403,5.551115123125783e-17,0.4743435194186135,0.0,0.4732031166481979,5.551115123125783e-17,0.464744683647094,0.0,0.0,0.0
