,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
auto_encoder_dataset1,169.844972515,41.31910525000001,0.0656565656565656,0.0020517676767676,0.0039791857973676,848338.0,6323.0,185.0,13.0,0.8589711670073357,0.7252991401523243,0.794593640903289,0.8169906076267575,121.40530923100002,35.831420454000046,0.7175372433980233,0.0742259396664925,0.6764446840941628,0.0245860421662708,0.7005355029866697,0.0472125517939351,0.7046627802079722,0.0566884879754396,0.0656565656565656,0.0
auto_encoder_dataset2,117.4058835699998,41.29241944200112,0.0,0.0,0.0,850738.0,3923.0,198.0,0.0,0.4833258272560523,0.5068746337938389,0.4850797482925786,0.4721493993252225,177.76993859600043,38.81106589019983,0.4833120566593838,0.0002146825811943,0.5068643825981224,2.0502391433208087e-05,0.4850743379392837,1.0820706589753648e-05,0.4721454124306879,0.00026215659857,0.0,0.0
auto_encoder_dataset3,125.86561844899916,28.28851199899873,0.0,0.0,0.0,846290.0,8371.0,198.0,0.0,0.7515935256697382,0.5641206036218056,0.6113136303525631,0.636535292104129,186.5420223899993,36.10489646279966,0.7515574164859672,0.001751016780054,0.5629361501018241,0.001014510379435,0.6096222917035192,0.0019133790738164,0.6353874290385959,0.0022955833495889,0.0,0.0
auto_encoder_dataset4,472.5292912349978,36.67939840600229,0.101010101010101,0.0027048958615093,0.0052687038988408,847287.0,7374.0,178.0,20.0,0.7947039111342853,0.6588662517739946,0.7212420602293897,0.7437657847062321,187.930634265198,38.30197890540076,0.7898246813885296,0.0024398660494103,0.6411243729036799,0.0088709586296933,0.709301827446234,0.0059701196050578,0.734378064124823,0.0046938623272444,0.0727272727272727,0.0141414141414141
auto_encoder_dataset5,485.90804867399856,41.31886810799915,0.0,0.0,0.0,850367.0,4294.0,198.0,0.0,0.533746935210498,0.5303587188664741,0.5316798921572017,0.5254212928022983,192.4688099748004,36.14578273659863,0.5392683724478436,0.0073806306199118,0.5299603411152549,0.0001991888756096,0.5314112022146749,0.0001343449712634,0.5250305615578335,0.0001953656222324,0.0,0.0
auto_encoder_dataset6,186.37011864999656,35.83919248400343,0.106060606060606,0.0024593043681929,0.0048071420396016,846143.0,8518.0,177.0,21.0,0.8067452469399558,0.657780072428318,0.7078347131309325,0.7372699413216062,249.70557835839864,36.00913920060266,0.8076036291026796,0.0044845459995974,0.6460494765769014,0.0217580403087887,0.7001393750440588,0.0145874170418388,0.7349897327851436,0.0048350251681287,0.105050505050505,0.002020202020202
cblof_dataset1,6.849669565999648,0.8088027119956678,0.0808080808080808,0.0024434941967012,0.0047435517343611,848129.0,6532.0,182.0,16.0,0.872141608417746,0.7229559058358029,0.7850945557268103,0.81552781372149,6.861393473598582,0.7967745573972934,0.8721416084177459,1.1102230246251563e-16,0.7229559058358029,0.0,0.7850945557268103,0.0,0.81552781372149,0.0,0.0808080808080808,0.0
cblof_dataset2,3.1234053730004234,0.345178286996088,0.0,0.0,0.0,850738.0,3923.0,198.0,0.0,0.6152965942347346,0.5365842965806573,0.5609375382269173,0.5817501873305677,3.080547150800703,0.3525507040001684,0.6152965942347346,0.0,0.5365842965806573,0.0,0.5609375382269173,0.0,0.5817501873305677,0.0,0.0,0.0
cblof_dataset3,4.359013514003891,0.3688876399974106,0.0707070707070707,0.0016924564796905,0.0033057851239669,846403.0,8258.0,184.0,14.0,0.8659584905535054,0.6489821551128513,0.7245066897317908,0.7842522852277322,4.469776096801797,0.374830591600039,0.866033771154749,6.146635352552782e-05,0.6477714956767956,0.0009884992902073,0.7234648093307258,0.0008506917852051,0.7840209349211508,0.0001888967343202,0.0737373737373737,0.0024742320634173
cblof_dataset4,3.4819240040014847,0.3707154599978821,0.0606060606060606,0.0018295471870711,0.0035518721326032,848114.0,6547.0,186.0,12.0,0.8441359625144774,0.7029577513122882,0.7790007928243274,0.8105543423959274,3.449545695001143,0.365806792397052,0.8428537115412963,0.002564501946362,0.686839226883593,0.0322370488573907,0.7621905736251191,0.0336204383984167,0.7969139283667601,0.0272808280583344,0.0585858585858585,0.004040404040404
