,"{'hidden_activation': 'sigmoid', 'hidden_neurons': [8, 4, 4, 8]}"
best_classifier_training_time,169.60455427099998
best_classifier_inference_time,37.21090416300012
best_classifier_recall,0.010101010101010102
best_classifier_precision,0.00023348120476301658
best_classifier_f1,0.00045641259698767686
best_classifier_TN,846097
best_classifier_FP,8564
best_classifier_FN,196
best_classifier_TP,2
best_classifier_auc,0.686708061424177
best_classifier_p_auc_10,0.5628627428447228
best_classifier_p_auc_20,0.5743387785637091
best_classifier_p_auc_30,0.5825376113580512
training_time_avg,164.82067593639997
inference_time_avg,33.71798554740012
auc_avg,0.6981147968657051
auc_std,0.009182156600652136
p_auc_10_avg,0.561512976364442
p_auc_10_std,0.0013497225503744565
p_auc_20_avg,0.5719608951324997
p_auc_20_std,0.0019617689795229567
p_auc_30_avg,0.5845042424916509
p_auc_30_std,0.00320524732062845
recall_avg,0.007070707070707072
recall_std,0.0024742320634173515
