,"{'hidden_activation': 'relu', 'hidden_neurons': [2, 1, 1, 2]}"
best_classifier_training_time,125.86833718400521
best_classifier_inference_time,31.0629700770005
best_classifier_recall,0.0
best_classifier_precision,0.0
best_classifier_f1,0.0
best_classifier_TN,846024
best_classifier_FP,8637
best_classifier_FN,198
best_classifier_TP,0
best_classifier_auc,0.6730497131717615
best_classifier_p_auc_10,0.5431817259371646
best_classifier_p_auc_20,0.6055494399879388
best_classifier_p_auc_30,0.6293418184310129
training_time_avg,127.94261991039893
inference_time_avg,32.76592484900029
auc_avg,0.6493593490355365
auc_std,0.01204949940063061
p_auc_10_avg,0.538365177167042
p_auc_10_std,0.003968500932185503
p_auc_20_avg,0.5653556385105826
p_auc_20_std,0.02040425187922322
p_auc_30_avg,0.5911315578911733
p_auc_30_std,0.020879653111032032
recall_avg,0.0
recall_std,0.0
