,"{'hidden_activation': 'tanh', 'hidden_neurons': [8, 4, 4, 8]}"
best_classifier_training_time,225.7969906379949
best_classifier_inference_time,32.903867002998595
best_classifier_recall,0.2828282828282828
best_classifier_precision,0.005786917433088767
best_classifier_f1,0.011341772151898733
best_classifier_TN,845040
best_classifier_FP,9621
best_classifier_FN,142
best_classifier_TP,56
best_classifier_auc,0.8088004418646042
best_classifier_p_auc_10,0.6566648941117637
best_classifier_p_auc_20,0.6737460372231133
best_classifier_p_auc_30,0.7174848134826282
training_time_avg,212.76130806460134
inference_time_avg,32.65829401799929
auc_avg,0.8011778679239814
auc_std,0.008329860533197177
p_auc_10_avg,0.6555966137715356
p_auc_10_std,0.00112168009751843
p_auc_20_avg,0.6746631306409624
p_auc_20_std,0.0017483952402596971
p_auc_30_avg,0.7094229873992499
p_auc_30_std,0.008278095396511245
recall_avg,0.26565656565656565
recall_std,0.0148453923805041
