,"{'alpha': 0.8, 'beta': 4, 'n_clusters': 4, 'use_weights': False}"
best_classifier_training_time,3.9569498769997153
best_classifier_inference_time,0.4890997709953808
best_classifier_recall,0.15656565656565657
best_classifier_precision,0.004668674698795181
best_classifier_f1,0.009066978648727698
best_classifier_TN,848052
best_classifier_FP,6609
best_classifier_FN,167
best_classifier_TP,31
best_classifier_auc,0.8927407646382187
best_classifier_p_auc_10,0.7704292802848038
best_classifier_p_auc_20,0.8207751610538407
best_classifier_p_auc_30,0.852483817577098
training_time_avg,4.407436625802075
inference_time_avg,0.4446578564005904
auc_avg,0.8927127648780443
auc_std,2.286170844910488e-05
p_auc_10_avg,0.7704072787804047
p_auc_10_std,1.79641531171175e-05
p_auc_20_avg,0.8207606141633981
p_auc_20_std,1.1877486309586942e-05
p_auc_30_avg,0.8524732989047943
p_auc_30_std,8.588459971983408e-06
recall_avg,0.15656565656565657
recall_std,0.0
