,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': True}",3.756482488999609,0.5142885509994812,0.020202020202020204,0.000437684648210964,0.0008568062546856592,845526.0,9135.0,194.0,4.0,0.580458512234971,0.5226104338221368,0.5172201243380342,0.5121815111343812,4.1585163757976265,0.47328740160737653,0.5804579272076912,1.664331914292514e-06,0.522609855326262,4.7356708154661463e-07,0.5172207284066059,9.81243534526412e-07,0.5121838308503925,2.1012736381907658e-06,0.020202020202020204,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': False}",4.08809703499719,0.41017354101495584,0.005050505050505051,0.00011194447554013209,0.00021903405979629834,845729.0,8932.0,197.0,1.0,0.6058439745954445,0.5115566466137044,0.5104601341196904,0.5089672873692089,4.155206275392265,0.4332052362035029,0.6058287225206038,1.4660975513151683e-05,0.5115540775943894,1.297155521388759e-06,0.5104587782483853,6.846098585194535e-07,0.508972573355445,3.497478915254057e-06,0.005050505050505051,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 4, 'use_weights': True}",5.790940061007859,0.48944532100722427,0.07575757575757576,0.0018072289156626507,0.0035302424099788185,846376.0,8285.0,183.0,15.0,0.5989847424767235,0.5242584348311032,0.516817011980299,0.5192280378422638,5.796180785003526,0.48325481319916436,0.5996103411029329,0.008352824523449322,0.5242516172883208,8.046169354418812e-06,0.5168022681109742,1.745325157296269e-05,0.5192391736378182,2.5236761616534993e-05,0.07575757575757576,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 4, 'use_weights': False}",5.80840630500461,0.46849679299339186,0.010101010101010102,0.00023430178069353328,0.0004579803068468056,846127.0,8534.0,196.0,2.0,0.6602216043152273,0.520084101904447,0.5545832723897087,0.5679741654196473,6.03885342279973,0.47226919119711963,0.6602287381024213,5.79875071536553e-06,0.5200368394135155,2.3649613762338438e-05,0.5546023071156818,1.6302323557924225e-05,0.5679878288018687,1.1536568915020707e-05,0.010101010101010102,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 2, 'use_weights': True}",3.4162206549954135,0.425290789004066,0.020202020202020204,0.000437684648210964,0.0008568062546856592,845526.0,9135.0,194.0,4.0,0.580458512234971,0.5226104338221368,0.5172201243380342,0.5121815111343812,3.941546245799691,0.44453365539520745,0.5804579272076912,1.664331914292514e-06,0.522609855326262,4.7356708154661463e-07,0.5172207284066059,9.81243534526412e-07,0.5121838308503925,2.1012736381907658e-06,0.020202020202020204,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 2, 'use_weights': False}",4.179831612993439,0.44147405900002923,0.005050505050505051,0.00011194447554013209,0.00021903405979629834,845729.0,8932.0,197.0,1.0,0.6058439745954445,0.5115566466137044,0.5104601341196904,0.5089672873692089,4.037116195600538,0.46296346140443345,0.6058287225206038,1.4660975513151683e-05,0.5115540775943894,1.297155521388759e-06,0.5104587782483853,6.846098585194535e-07,0.508972573355445,3.497478915254057e-06,0.005050505050505051,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 4, 'use_weights': True}",5.874424079993332,0.4918439389948617,0.07575757575757576,0.0018072289156626507,0.0035302424099788185,846376.0,8285.0,183.0,15.0,0.5989847424767235,0.5242584348311032,0.516817011980299,0.5192280378422638,5.630457249796018,0.4461561410018476,0.5996103411029329,0.008352824523449322,0.5242516172883208,8.046169354418812e-06,0.5168022681109742,1.745325157296269e-05,0.5192391736378182,2.5236761616534993e-05,0.07575757575757576,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 4, 'use_weights': False}",6.013955305003037,0.4546011659913347,0.010101010101010102,0.00023430178069353328,0.0004579803068468056,846127.0,8534.0,196.0,2.0,0.6602216043152273,0.520084101904447,0.5545832723897087,0.5679741654196473,5.923719103400072,0.4414890393993119,0.6602287381024213,5.79875071536553e-06,0.5200368394135155,2.3649613762338438e-05,0.5546023071156818,1.6302323557924225e-05,0.5679878288018687,1.1536568915020707e-05,0.010101010101010102,0.0
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 2, 'use_weights': True}",3.8244341149911634,0.45920381098403595,0.020202020202020204,0.000437684648210964,0.0008568062546856592,845526.0,9135.0,194.0,4.0,0.580458512234971,0.5226104338221368,0.5172201243380342,0.5121815111343812,4.0233266238035865,0.4548710671981098,0.5804579272076912,1.664331914292514e-06,0.522609855326262,4.7356708154661463e-07,0.5172207284066059,9.81243534526412e-07,0.5121838308503925,2.1012736381907658e-06,0.020202020202020204,0.0
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 2, 'use_weights': False}",4.1857397880085045,0.4094975490079378,0.005050505050505051,0.00011194447554013209,0.00021903405979629834,845729.0,8932.0,197.0,1.0,0.6058439745954445,0.5115566466137044,0.5104601341196904,0.5089672873692089,3.9800394136051183,0.44163941200094997,0.6058287225206038,1.4660975513151683e-05,0.5115540775943894,1.297155521388759e-06,0.5104587782483853,6.846098585194535e-07,0.508972573355445,3.497478915254057e-06,0.005050505050505051,0.0
