,"{'alpha': 0.6, 'beta': 2, 'n_clusters': 4, 'use_weights': True}"
best_classifier_training_time,6.769473704996926
best_classifier_inference_time,0.48400905799644534
best_classifier_recall,0.2222222222222222
best_classifier_precision,0.00556398583712696
best_classifier_f1,0.01085615593387614
best_classifier_TN,846797
best_classifier_FP,7864
best_classifier_FN,154
best_classifier_TP,44
best_classifier_auc,0.6757470996327104
best_classifier_p_auc_10,0.6400720866570946
best_classifier_p_auc_20,0.660460593540103
best_classifier_p_auc_30,0.665746047160639
training_time_avg,6.97407092700305
inference_time_avg,0.4941609975983738
auc_avg,0.6757470996327104
auc_std,0.0
p_auc_10_avg,0.6400720866570946
p_auc_10_std,0.0
p_auc_20_avg,0.660460593540103
p_auc_20_std,0.0
p_auc_30_avg,0.665746047160639
p_auc_30_std,0.0
recall_avg,0.22222222222222224
recall_std,2.7755575615628914e-17
