,{}
best_classifier_training_time,1.051896332999604
best_classifier_inference_time,1.7256646059977356
best_classifier_recall,0.09595959595959595
best_classifier_precision,0.0021033986493966565
best_classifier_f1,0.004116563752572851
best_classifier_TN,845647
best_classifier_FP,9014
best_classifier_FN,179
best_classifier_TP,19
best_classifier_auc,0.8240427012475228
best_classifier_p_auc_10,0.6395007162341875
best_classifier_p_auc_20,0.7000015368292382
best_classifier_p_auc_30,0.7285084631660368
training_time_avg,1.051896332999604
inference_time_avg,1.7256646059977356
auc_avg,0.8240427012475228
auc_std,0.0
p_auc_10_avg,0.6395007162341875
p_auc_10_std,0.0
p_auc_20_avg,0.7000015368292382
p_auc_20_std,0.0
p_auc_30_avg,0.7285084631660368
p_auc_30_std,0.0
recall_avg,0.09595959595959595
recall_std,0.0
