,{}
best_classifier_training_time,1.3279235730078653
best_classifier_inference_time,2.251339607999398
best_classifier_recall,0.4090909090909091
best_classifier_precision,0.013766145479265806
best_classifier_f1,0.026635975008220982
best_classifier_TN,848858
best_classifier_FP,5803
best_classifier_FN,117
best_classifier_TP,81
best_classifier_auc,0.8405189486258472
best_classifier_p_auc_10,0.7462626990909027
best_classifier_p_auc_20,0.7694842912040141
best_classifier_p_auc_30,0.7709332568530612
training_time_avg,1.3279235730078653
inference_time_avg,2.251339607999398
auc_avg,0.8405189486258472
auc_std,0.0
p_auc_10_avg,0.7462626990909027
p_auc_10_std,0.0
p_auc_20_avg,0.7694842912040141
p_auc_20_std,0.0
p_auc_30_avg,0.7709332568530612
p_auc_30_std,0.0
recall_avg,0.4090909090909091
recall_std,0.0
