,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'max_samples': 128, 'n_estimators': 1}",0.8713533950030978,0.45686561000002257,0.020202020202020204,0.001006036217303823,0.0019166267369429804,850689.0,3972.0,194.0,4.0,0.6166014739449119,0.5256295913518638,0.5406640170017301,0.5591133100967286,0.8544551688006322,0.4639590266000596,0.5106805463975148,0.0686741465503337,0.509651304678023,0.009804644723096757,0.5153177791698939,0.016354551469200184,0.520694632899142,0.027558270977454807,0.018181818181818184,0.00404040404040404
"{'max_samples': 128, 'n_estimators': 10}",4.055380470003001,1.7320155990018975,0.025252525252525252,0.0007337833871441151,0.001426126640045636,847852.0,6809.0,193.0,5.0,0.6489752083048723,0.56600846465896,0.5990609227041206,0.611782249682222,4.0589330240007255,1.7310187464008777,0.5967045750161513,0.05361678843869335,0.5434073795425611,0.01941255139895433,0.554212056754037,0.035951408562654476,0.5621712293955169,0.04448618914040897,0.02727272727272727,0.00404040404040404
"{'max_samples': 128, 'n_estimators': 50}",16.678415815002154,7.444583029997375,0.005050505050505051,0.00022291573785109228,0.00042698548249359516,850176.0,4485.0,197.0,1.0,0.6710108340079172,0.585496579872513,0.6179628865895344,0.6327359329165632,16.6266907492005,7.396892394799943,0.6358729804843527,0.019351602942629408,0.5576799927570742,0.014408313729222874,0.5812452996339788,0.0231167454961437,0.5985963773322753,0.023858374302733992,0.00909090909090909,0.005889850398833637
"{'max_samples': 128, 'n_estimators': 100}",32.120036713002264,14.340804675997788,0.0,0.0,0.0,849648.0,5013.0,198.0,0.0,0.6575520775624677,0.5641371842579123,0.6000224467545041,0.6221870954184839,32.25430145840146,14.446386658199481,0.6379551924415326,0.012204271376954793,0.5457542072576905,0.012403653194789019,0.5814812573275521,0.01391801694049332,0.6013746620671814,0.014440981921191675,0.005050505050505051,0.006388439717511877
"{'max_samples': 256, 'n_estimators': 1}",0.8365330030010227,0.47278829399874667,0.0,0.0,0.0,853210.0,1451.0,198.0,0.0,0.627894548040957,0.5536593855766461,0.5749598940634955,0.5909207053687446,0.8464173522006604,0.4631762407996575,0.5402139934057852,0.05936297553022527,0.5305880123764016,0.014502935079072715,0.5389220339688559,0.029239526176130844,0.5393070560869169,0.039262909694642086,0.015151515151515152,0.008451111379132077
"{'max_samples': 256, 'n_estimators': 10}",4.078499979999833,1.7414406920015608,0.030303030303030304,0.00100150225338007,0.0019389238972370335,848676.0,5985.0,192.0,6.0,0.6770664986562869,0.5849662748827692,0.6203814046962549,0.639174762318849,4.080549177801731,1.7430242862017622,0.5975375959508265,0.06506037109164667,0.5401341857629373,0.02767278980578861,0.561835381659092,0.04004970967577296,0.5731738377707989,0.047956332812737285,0.0202020202020202,0.01317010586909626
"{'max_samples': 256, 'n_estimators': 50}",16.722744139997303,7.402503254999829,0.010101010101010102,0.0003102218085931441,0.0006019563581640331,848216.0,6445.0,196.0,2.0,0.6535855955599574,0.5657825174637741,0.5867887013192852,0.6070628501618859,16.666458485397744,7.385605714800112,0.6166484935919835,0.031347039656733196,0.5346541112931286,0.0179009578157924,0.5539847984087439,0.026739131934358597,0.568814857074719,0.03069651169477806,0.010101010101010102,0.005532551085910769
"{'max_samples': 256, 'n_estimators': 100}",32.516031347000535,14.470270097996035,0.005050505050505051,0.0001726817475392851,0.0003339455668725998,848871.0,5790.0,197.0,1.0,0.6535132058207873,0.5769945197302615,0.6051676571692031,0.6238609614923795,32.606639790200646,14.558465375000015,0.6443016298304535,0.0162820014444767,0.5505719233423261,0.017517288882023994,0.5859272882547384,0.020784597136799803,0.6035387064352318,0.02287889908002084,0.00101010101010101,0.0020202020202020198
"{'max_samples': 512, 'n_estimators': 1}",0.8721932239968737,0.47640041100021335,0.030303030303030304,0.001015744032503809,0.001965601965601965,848760.0,5901.0,192.0,6.0,0.6218521144640975,0.5722209970717629,0.5924810066016943,0.6077855439608264,0.8764930433997506,0.4720945280005253,0.5872929835172759,0.028698745665499948,0.530779353025767,0.020769600333239387,0.5386661796939375,0.028440266171755553,0.5429127898468864,0.03663492488297887,0.026262626262626265,0.010301049522409665
"{'max_samples': 512, 'n_estimators': 10}",4.107401598999786,1.7648461949975172,0.030303030303030304,0.001215066828675577,0.002336448598130841,849729.0,4932.0,192.0,6.0,0.632725082834249,0.5359129708830637,0.5419659901858858,0.5533656268997131,4.141165228200407,1.7733075060001284,0.5998069197239395,0.029196564408483606,0.5223500249488782,0.008436217929277639,0.535658431224426,0.009734456325330501,0.5541480712305652,0.01786539433582256,0.015151515151515152,0.01059402876939547
"{'max_samples': 512, 'n_estimators': 50}",17.76454270400245,8.023328756002229,0.0,0.0,0.0,849978.0,4683.0,198.0,0.0,0.6576630643286897,0.5620785550450684,0.6021360562327152,0.6231628720241165,17.254012090199467,7.567737342001783,0.5935731532706825,0.04380622289578338,0.5249375823251461,0.018581882531383855,0.5396295417325381,0.03547706243700354,0.5461260778610354,0.0479900913344605,0.00404040404040404,0.005889850398833637
"{'max_samples': 512, 'n_estimators': 100}",32.88068048600144,14.532533310000872,0.0,0.0,0.0,849978.0,4683.0,198.0,0.0,0.6506376253688345,0.5624068731713853,0.5952960227832422,0.6182514115229062,32.78335660320008,14.49871244040005,0.6243362301165921,0.014827881349210398,0.5297619746936151,0.017296637980560164,0.5499235368768295,0.03144257468101926,0.5701169639927064,0.032391476937967956,0.0,0.0
"{'max_samples': 1024, 'n_estimators': 1}",0.8592308240022248,0.45550397699480527,0.03535353535353535,0.0011132315521628498,0.0021584952204748687,848380.0,6281.0,191.0,7.0,0.6071087385713887,0.5715676595205376,0.5844759844979761,0.5879026905126107,0.8554777085995738,0.46209451199756585,0.5486190330600571,0.07585895436533116,0.5326125634068446,0.020799742454014523,0.5403246505734259,0.030379106600768115,0.5425070457470089,0.0371535001239604,0.019191919191919194,0.015778282173548798
"{'max_samples': 1024, 'n_estimators': 10}",4.258048071998928,1.728119997002068,0.015151515151515152,0.0006361323155216285,0.0012210012210012212,849948.0,4713.0,195.0,3.0,0.5255045567774825,0.5207483870125369,0.5174198691319319,0.5086250469898627,4.253070999601914,1.7397741160006261,0.5505562941672698,0.031930400491025204,0.5159531355089435,0.00399174729081266,0.5177173701005217,0.0055790453359069085,0.5235982120906396,0.015217207684064208,0.026262626262626265,0.010301049522409667
"{'max_samples': 1024, 'n_estimators': 50}",17.20717124099974,7.39455938500214,0.010101010101010102,0.0003318400530944085,0.000642570281124498,848636.0,6025.0,196.0,2.0,0.4845459932433013,0.5162758044670781,0.5045688777621059,0.5000686004845736,17.13293147959994,7.485966719399585,0.49422791757506923,0.02421401802648946,0.5144057453527215,0.0012726096370638117,0.5099820504709297,0.0032504531926777908,0.5052955954186276,0.005055284074943884,0.01616161616161616,0.00979329264124511
"{'max_samples': 1024, 'n_estimators': 100}",33.62277416899815,14.555451272004575,0.020202020202020204,0.0005909292362239622,0.0011482704176833645,847896.0,6765.0,194.0,4.0,0.4452749024868847,0.5160520024967097,0.5129929444573826,0.505206811965519,33.492993245799155,14.470753118799621,0.47772460175272513,0.044642496217052956,0.5141916256828505,0.0012301461337944943,0.5094644271976214,0.001873584258637442,0.5050446535496154,0.0020146345203721763,0.01717171717171717,0.00606060606060606
"{'max_samples': 2048, 'n_estimators': 1}",0.8632311370056414,0.4567395550002402,0.025252525252525252,0.0008843296781039972,0.0017088174982911825,849012.0,5649.0,193.0,5.0,0.6001615928077998,0.5703140340783373,0.5852625833735411,0.5935067477289463,0.8619877456010727,0.4593445260004955,0.5467987691356957,0.05320553219155033,0.5323649291757475,0.022376968544289274,0.5335213812059714,0.03368237471376006,0.5320250279033818,0.04369246477289019,0.024242424242424242,0.011248008813798024
"{'max_samples': 2048, 'n_estimators': 10}",4.341011926999272,1.721243803998732,0.020202020202020204,0.0005909292362239622,0.0011482704176833645,847896.0,6765.0,194.0,4.0,0.4719644792945786,0.5199731636731871,0.5171191095262778,0.5127536565069357,4.310893380799098,1.7305286641989368,0.505903266814786,0.03896310555912435,0.5157126537247465,0.003078847197014973,0.5127264790613972,0.004464377903553991,0.5079045815652655,0.007929841021871255,0.015151515151515152,0.009034618090908242
"{'max_samples': 2048, 'n_estimators': 50}",18.58837332099756,7.453289469001902,0.020202020202020204,0.0005909292362239622,0.0011482704176833645,847896.0,6765.0,194.0,4.0,0.45592652371743736,0.5161791327641148,0.5120015987330319,0.5064408721887075,17.797865464600545,7.387958112801061,0.47926796812899025,0.04809251124787109,0.5145130559370223,0.001301533308756403,0.5119156107735214,0.001457025337507083,0.5077867331545503,0.0067625450812161605,0.01818181818181818,0.00404040404040404
"{'max_samples': 2048, 'n_estimators': 100}",33.9227400740001,14.298525973999858,0.020202020202020204,0.0005909292362239622,0.0011482704176833645,847896.0,6765.0,194.0,4.0,0.48778524792611083,0.5150420179753344,0.5086283023467664,0.5062332494532135,34.22722187980071,14.511384002599517,0.4526931884470137,0.01978645661545955,0.5143370187188339,0.0007405169200989846,0.5080504530157965,0.0004583906339167932,0.5037926821060401,0.003585948770690022,0.021212121212121217,0.0020202020202020193
"{'max_samples': 4096, 'n_estimators': 1}",0.8495722239986208,0.4514835480022157,0.025252525252525252,0.0008843296781039972,0.0017088174982911825,849012.0,5649.0,193.0,5.0,0.5876578431670451,0.5692951602903128,0.586240030643183,0.589724731981031,0.8563559847996658,0.45949353000069093,0.558837039752982,0.04864861380735392,0.5354867671119076,0.02206420026679004,0.5405778035981167,0.0337697543423892,0.5442024564222342,0.04355856416645062,0.026262626262626265,0.00808080808080808
"{'max_samples': 4096, 'n_estimators': 10}",4.270321027001046,1.7173866930024815,0.04040404040404041,0.0011747430249632893,0.0022831050228310505,847859.0,6802.0,190.0,8.0,0.4995130711581445,0.5185120024974086,0.5169248724722673,0.5123925362810904,4.2977030738024045,1.731021467800383,0.5174157769613161,0.02560743374645451,0.5165906110272014,0.0017620112887562877,0.5128624975248256,0.004038584593890373,0.510352305932545,0.009183775569877034,0.02424242424242424,0.012535023884839248
"{'max_samples': 4096, 'n_estimators': 50}",17.782967909002764,7.404056853998554,0.020202020202020204,0.0005909292362239622,0.0011482704176833645,847896.0,6765.0,194.0,4.0,0.4596680095465579,0.5163861472018869,0.5119704647793822,0.504338967966377,17.68423646100091,7.38067448539914,0.480362245700608,0.02904449214945097,0.5145667242612723,0.0013460082308250766,0.5104284045813998,0.0025566611761016094,0.5044894008735559,0.004854125366320627,0.01818181818181818,0.00404040404040404
"{'max_samples': 4096, 'n_estimators': 100}",34.30394638200414,14.989231510999161,0.020202020202020204,0.0005909292362239622,0.0011482704176833645,847896.0,6765.0,194.0,4.0,0.511156349084194,0.5143278390689294,0.5122395292474717,0.5091582213170223,34.329459696000775,14.53687327639891,0.4644066241445202,0.029649369488193945,0.513865992038931,0.0005324851619757031,0.509554787498544,0.0022496651083513492,0.5045709580735989,0.004791100368892812,0.01818181818181818,0.00404040404040404
