,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_bins': 6, 'n_random_cuts': 25}",2.4684730649933044,1.7161417600000277,0.005050505050505051,0.00025713551041398817,0.0004893564962074871,850773.0,3888.0,197.0,1.0,0.5734785428953644,0.501315437726421,0.5170767171459064,0.5305272134750516,2.4684730649933044,1.7161417600000277,0.5734785428953644,0.0,0.501315437726421,0.0,0.5170767171459064,0.0,0.5305272134750516,0.0,0.005050505050505051,0.0
"{'n_bins': 6, 'n_random_cuts': 50}",4.577605172999029,2.9420329719978326,0.020202020202020204,0.0002738788086271825,0.0005404309937174898,840060.0,14601.0,194.0,4.0,0.5142083773093612,0.4973075781172685,0.5136042847718393,0.5272128027743481,4.577605172999029,2.9420329719978326,0.5142083773093612,0.0,0.4973075781172685,0.0,0.5136042847718393,0.0,0.5272128027743481,0.0,0.020202020202020204,0.0
"{'n_bins': 6, 'n_random_cuts': 75}",6.525903976009431,4.200320170002669,0.03535353535353535,0.0008640908529811135,0.0016869502349680684,846567.0,8094.0,191.0,7.0,0.6142572903174475,0.54635868785394,0.5503157593804255,0.5876884631287219,6.525903976009431,4.200320170002669,0.6142572903174475,0.0,0.54635868785394,0.0,0.5503157593804255,0.0,0.5876884631287219,0.0,0.03535353535353535,0.0
"{'n_bins': 6, 'n_random_cuts': 100}",8.703763319001155,5.50609517599878,0.010101010101010102,0.0002188902265513845,0.00042849491162292447,845526.0,9135.0,196.0,2.0,0.7212885895960237,0.5700433695433744,0.634497540837501,0.6718825140527532,8.703763319001155,5.50609517599878,0.7212885895960237,0.0,0.5700433695433744,0.0,0.634497540837501,0.0,0.6718825140527532,0.0,0.010101010101010102,0.0
"{'n_bins': 8, 'n_random_cuts': 25}",2.5699300919986854,1.7050619820038264,0.13636363636363635,0.0025645896656534954,0.005034495618124185,844160.0,10501.0,171.0,27.0,0.7378318698728195,0.66214044134065,0.6987972440569046,0.7138103311789514,2.5699300919986854,1.7050619820038264,0.7378318698728195,0.0,0.66214044134065,0.0,0.6987972440569046,0.0,0.7138103311789514,0.0,0.13636363636363635,0.0
"{'n_bins': 8, 'n_random_cuts': 50}",4.515912035996735,3.0484362569986843,0.0,0.0,0.0,837493.0,17168.0,198.0,0.0,0.5049171720150039,0.4989987576900615,0.4958370998486124,0.502128321944187,4.515912035996735,3.0484362569986843,0.5049171720150039,0.0,0.4989987576900615,0.0,0.4958370998486124,0.0,0.502128321944187,0.0,0.0,0.0
"{'n_bins': 8, 'n_random_cuts': 75}",6.641445821998786,4.250923897001485,0.005050505050505051,0.0003681885125184094,0.0006863417982155114,851946.0,2715.0,197.0,1.0,0.6706734446390872,0.6283012755832174,0.6618527467137812,0.6629471614792593,6.641445821998786,4.250923897001485,0.6706734446390872,0.0,0.6283012755832174,0.0,0.6618527467137812,0.0,0.6629471614792593,0.0,0.005050505050505051,0.0
"{'n_bins': 8, 'n_random_cuts': 100}",8.61370370700024,5.57487866399606,0.025252525252525252,0.002976190476190476,0.005324813631522896,852986.0,1675.0,193.0,5.0,0.6380086769355147,0.533110543596912,0.5392433006474324,0.5659428125871477,8.61370370700024,5.57487866399606,0.6380086769355147,0.0,0.533110543596912,0.0,0.5392433006474324,0.0,0.5659428125871477,0.0,0.025252525252525252,0.0
"{'n_bins': 10, 'n_random_cuts': 25}",2.5239978570025414,1.7731130159991153,0.005050505050505051,3.813591640607124e-05,7.57002271006813e-05,828440.0,26221.0,197.0,1.0,0.61548450913357,0.49978815885390476,0.5000584627298758,0.5094770710334694,2.5239978570025414,1.7731130159991153,0.61548450913357,0.0,0.49978815885390476,0.0,0.5000584627298758,0.0,0.5094770710334694,0.0,0.005050505050505051,0.0
"{'n_bins': 10, 'n_random_cuts': 50}",4.676982066001074,3.0946955290019105,0.050505050505050504,0.0011818933932159319,0.0023097355352812102,846210.0,8451.0,188.0,10.0,0.7342014062661196,0.5683865760191498,0.5900661995596127,0.6219995923793171,4.676982066001074,3.0946955290019105,0.7342014062661196,0.0,0.5683865760191498,0.0,0.5900661995596127,0.0,0.6219995923793171,0.0,0.050505050505050504,0.0
