,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': True}",0.6447407610103255,0.47076285799994366,0.04040404040404041,0.0007704160246533128,0.0015120015120015122,844285.0,10376.0,190.0,8.0,0.6630187231539697,0.5542583009497407,0.5892012089441226,0.601253194850023,0.6003926415985916,0.4734896490030224,0.6630187231539697,0.0,0.5542583009497407,0.0,0.5892012089441226,0.0,0.601253194850023,0.0,0.04040404040404041,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': False}",0.6131695559961372,0.46704463599598967,0.04040404040404041,0.0007704160246533128,0.0015120015120015122,844285.0,10376.0,190.0,8.0,0.6630187231539697,0.5542583009497407,0.5892012089441226,0.601253194850023,0.5938899903951096,0.47179453799762994,0.6630187231539697,0.0,0.5542583009497407,0.0,0.5892012089441226,0.0,0.601253194850023,0.0,0.04040404040404041,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': True}",0.6109149240000988,0.46879762999742525,0.13131313131313133,0.0039597928723728295,0.00768775872264932,848121.0,6540.0,172.0,26.0,0.5996857440280622,0.5608748375122603,0.5572018669695215,0.5467764591452917,0.5993742294012918,0.46931982960086316,0.5996857440280622,0.0,0.5608748375122603,0.0,0.5572018669695215,0.0,0.5467764591452917,0.0,0.13131313131313133,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': False}",0.6067660239932593,0.461357935993874,0.13131313131313133,0.0039597928723728295,0.00768775872264932,848121.0,6540.0,172.0,26.0,0.5996857440280622,0.5608748375122603,0.5572018669695215,0.5467764591452917,0.6017500435991678,0.4671266977980849,0.5996857440280622,0.0,0.5608748375122603,0.0,0.5572018669695215,0.0,0.5467764591452917,0.0,0.13131313131313133,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': True, 'whiten': True}",0.6887123169944971,0.45487819799018325,0.04040404040404041,0.0009485416172634575,0.0018535681186283596,846235.0,8426.0,190.0,8.0,0.6630187231539697,0.5542583009497407,0.5892012089441226,0.601253194850023,0.6789424143993529,0.4553592786032823,0.6630187231539697,0.0,0.5542583009497407,0.0,0.5892012089441226,0.0,0.601253194850023,0.0,0.04040404040404041,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': True, 'whiten': False}",0.6691672349988949,0.45957033800368663,0.04040404040404041,0.0009485416172634575,0.0018535681186283596,846235.0,8426.0,190.0,8.0,0.6630187231539697,0.5542583009497407,0.5892012089441226,0.601253194850023,0.6801379415977863,0.46025229780207155,0.6630187231539697,0.0,0.5542583009497407,0.0,0.5892012089441226,0.0,0.601253194850023,0.0,0.04040404040404041,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': False, 'whiten': True}",0.6994745839983807,0.4574245729963877,0.13131313131313133,0.0012464643559135145,0.0024694875813268745,833828.0,20833.0,172.0,26.0,0.5996857440280622,0.5608748375122603,0.5572018669695215,0.5467764591452917,0.6808116865955526,0.4553372480018879,0.5996857440280622,0.0,0.5608748375122603,0.0,0.5572018669695215,0.0,0.5467764591452917,0.0,0.13131313131313133,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': False, 'whiten': False}",0.6831066110025859,0.46542964200489223,0.13131313131313133,0.0012464643559135145,0.0024694875813268745,833828.0,20833.0,172.0,26.0,0.5996857440280622,0.5608748375122603,0.5572018669695215,0.5467764591452917,0.6780296036042273,0.4555829294025898,0.5996857440280622,0.0,0.5608748375122603,0.0,0.5572018669695215,0.0,0.5467764591452917,0.0,0.13131313131313133,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': True, 'whiten': True}",1.1389796110088355,0.4496112859924324,0.04040404040404041,0.0007704160246533128,0.0015120015120015122,844285.0,10376.0,190.0,8.0,0.6630187231539697,0.5542583009497407,0.5892012089441226,0.601253194850023,1.1010700745959183,0.45108001979533585,0.6630187231539697,0.0,0.5542583009497407,0.0,0.5892012089441226,0.0,0.601253194850023,0.0,0.04040404040404041,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': True, 'whiten': False}",1.0895983969967347,0.4612324990084744,0.04040404040404041,0.0007704160246533128,0.0015120015120015122,844285.0,10376.0,190.0,8.0,0.6630187231539697,0.5542583009497407,0.5892012089441226,0.601253194850023,1.0809379244004957,0.4545811718024197,0.6630187231539697,0.0,0.5542583009497407,0.0,0.5892012089441226,0.0,0.601253194850023,0.0,0.04040404040404041,0.0
