,"{'n_components': 2, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': True}"
best_classifier_training_time,0.6952981950162211
best_classifier_inference_time,0.5044209359984961
best_classifier_recall,0.13636363636363635
best_classifier_precision,0.001336170633938734
best_classifier_f1,0.0026464101935800045
best_classifier_TN,834481
best_classifier_FP,20180
best_classifier_FN,171
best_classifier_TP,27
best_classifier_auc,0.6130343291998614
best_classifier_p_auc_10,0.5469375255002569
best_classifier_p_auc_20,0.5524205113945632
best_classifier_p_auc_30,0.5571656500937161
training_time_avg,0.6906926705982187
inference_time_avg,0.5040940083999885
auc_avg,0.6130343291998614
auc_std,0.0
p_auc_10_avg,0.5469375255002569
p_auc_10_std,0.0
p_auc_20_avg,0.5524205113945632
p_auc_20_std,0.0
p_auc_30_avg,0.5571656500937161
p_auc_30_std,0.0
recall_avg,0.13636363636363635
recall_std,0.0
