,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
auto_encoder_dataset1,110.32391132500196,32.611013134999666,0.1515151515151515,0.0031779661016949,0.0062253579580825,845251.0,9410.0,168.0,30.0,0.8065515615447694,0.6942930432099638,0.7421712873363555,0.7608472926942851,111.62611172661128,30.37692312038853,0.7817505532555712,0.0225158914564786,0.6892521533207323,0.0040305906834023,0.7372962754092163,0.0052578648619825,0.7517128811417011,0.0072329058614466,0.1161616161616161,0.0263402117381925
auto_encoder_dataset2,126.23017078801058,31.113263397011902,0.0,0.0,0.0,846137.0,8524.0,198.0,0.0,0.4587885096718423,0.5082501974579037,0.486529053188134,0.4658634234870959,126.10904988319672,31.80717732299818,0.469771599086029,0.0078971866657577,0.5068884603124525,0.0007860316491212,0.4858497886842284,0.0005465856460781,0.4664331117393812,0.0011569395268524,0.0,0.0
auto_encoder_dataset3,169.60455427099998,37.21090416300012,0.0101010101010101,0.000233481204763,0.0004564125969876,846097.0,8564.0,196.0,2.0,0.686708061424177,0.5628627428447228,0.5743387785637091,0.5825376113580512,164.82067593639997,33.71798554740012,0.6981147968657051,0.0091821566006521,0.561512976364442,0.0013497225503744,0.5719608951324997,0.0019617689795229,0.5845042424916509,0.0032052473206284,0.007070707070707,0.0024742320634173
auto_encoder_dataset4,164.08217046600112,35.36493625500407,0.1616161616161616,0.0158572844400396,0.0288808664259927,852675.0,1986.0,166.0,32.0,0.7028864737780904,0.6582746957318372,0.6592859329575993,0.6532399865520524,165.3038050963998,35.888023884401626,0.7031718382664547,0.0037704131352878,0.6577207299482595,0.000661951509864,0.6582123360018339,0.0006235680744456,0.6521519192379335,0.0007600275491415,0.1666666666666666,0.0063884397175118
auto_encoder_dataset5,125.8683371840052,31.0629700770005,0.0,0.0,0.0,846024.0,8637.0,198.0,0.0,0.6730497131717615,0.5431817259371646,0.6055494399879388,0.6293418184310129,127.94261991039892,32.76592484900029,0.6493593490355365,0.0120494994006306,0.538365177167042,0.0039685009321855,0.5653556385105826,0.0204042518792232,0.5911315578911733,0.020879653111032,0.0,0.0
auto_encoder_dataset6,225.7969906379949,32.903867002998595,0.2828282828282828,0.0057869174330887,0.0113417721518987,845040.0,9621.0,142.0,56.0,0.8088004418646042,0.6566648941117637,0.6737460372231133,0.7174848134826282,212.7613080646013,32.65829401799929,0.8011778679239814,0.0083298605331971,0.6555966137715356,0.0011216800975184,0.6746631306409624,0.0017483952402596,0.7094229873992499,0.0082780953965112,0.2656565656565656,0.0148453923805041
cblof_dataset1,3.9569498769997153,0.4890997709953808,0.1565656565656565,0.0046686746987951,0.0090669786487276,848052.0,6609.0,167.0,31.0,0.8927407646382187,0.7704292802848038,0.8207751610538407,0.852483817577098,4.407436625802075,0.4446578564005904,0.8927127648780443,2.286170844910488e-05,0.7704072787804047,1.79641531171175e-05,0.8207606141633981,1.1877486309586942e-05,0.8524732989047943,8.588459971983408e-06,0.1565656565656565,0.0
cblof_dataset2,4.543755031991168,0.3949820190027822,0.1414141414141414,0.0013278952859717,0.0026310843826348,833603.0,21058.0,170.0,28.0,0.5526020098771751,0.5521715605828365,0.5599252242197366,0.5670939050326419,4.362440503394464,0.4465857435963699,0.5496299141065311,0.0059441915412879,0.5471677138365316,0.0100076934926097,0.5553648875099009,0.0091206734196711,0.5635637987424358,0.0070602125804121,0.1191919191919192,0.0444444444444444
cblof_dataset3,5.6293395290049375,0.4339876859958167,0.005050505050505,0.0001169864295741,0.0002286759661559,846114.0,8547.0,197.0,1.0,0.8414510300433491,0.6628058859686062,0.7025548624564686,0.7442042642234503,5.700094923806319,0.4557325065979967,0.8223281688897881,0.0388329320521674,0.6512798408536202,0.0210561435420869,0.688012712638851,0.0279383702950194,0.7279705777992371,0.0310957133916625,0.005050505050505,0.0
cblof_dataset4,4.5267412360117305,0.4484986669995123,0.1262626262626262,0.0021605738484141,0.0042484493159996,843115.0,11546.0,173.0,25.0,0.8768493377118902,0.6956379652538223,0.7735495676365409,0.814028831996878,4.824974418597412,0.4397175292018801,0.8771118731357352,0.0002143592759418,0.6936550026925842,0.0016190821513585,0.7731883379136111,0.0002949428337016,0.8137738463101041,0.0002081949414364,0.1171717171717171,0.007422696190252
cblof_dataset5,5.263510860007955,0.4498094279915676,0.0303030303030303,0.0008413967185527,0.0016373311502251,847536.0,7125.0,192.0,6.0,0.463240782963164,0.5017788689055949,0.4873484554773871,0.4776725956121553,4.80846240640094,0.4553655883981264,0.463240782963164,0.0,0.5017788689055949,0.0,0.4873484554773871,0.0,0.4776725956121553,5.551115123125783e-17,0.0303030303030303,0.0
