,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': True}",4.447559016000014,0.22958912800095277,0.09090909090909091,0.0019280205655526992,0.003775959723096287,465833.0,4659.0,90.0,9.0,0.9500688061163054,0.7372939154946075,0.8613022392119593,0.9020956982672654,2.1859467884009063,0.10565181440106244,0.9500686858896987,2.404532130739767e-07,0.7372936443067732,5.423756685996038e-07,0.8613019052491634,6.679255918573545e-07,0.9020954625288212,4.714768884639398e-07,0.09090909090909091,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': False}",1.5713890260012704,0.07010950800031424,0.10101010101010101,0.002158428663932657,0.00422654268808115,465869.0,4623.0,89.0,10.0,0.9264075873465618,0.7429671423893374,0.8140773533978944,0.8557011516599252,1.615566763800598,0.07220848419965478,0.9264054490304883,4.276632146993364e-06,0.7429663740238068,1.5367310610692186e-06,0.814074633986556,5.438822676939737e-06,0.8556969588833105,8.38555322948409e-06,0.10101010101010102,1.3877787807814457e-17
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 4, 'use_weights': True}",2.441960434000066,0.07294453099893872,0.0,0.0,0.0,465799.0,4693.0,99.0,0.0,0.33524587028047237,0.47368421052631576,0.4444444444444444,0.4117647058823529,2.3747683264002264,0.08116602199952468,0.3237614426746229,0.022801025650947857,0.47368421052631576,0.0,0.4444444444444445,5.551115123125783e-17,0.4117647058823529,0.0,0.0,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 4, 'use_weights': False}",2.238587689000269,0.08273470700078178,0.10101010101010101,0.002158428663932657,0.00422654268808115,465869.0,4623.0,89.0,10.0,0.931937195424141,0.7496542502005987,0.8240026799846449,0.8665435204394922,2.4007031095999993,0.08314980580107659,0.9318818568346721,2.7676669984828407e-05,0.749583537972803,3.546719193085436e-05,0.8238723510035243,6.518446674884017e-05,0.8664350134013181,5.426798036240534e-05,0.10101010101010102,1.3877787807814457e-17
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 2, 'use_weights': True}",1.6702775820012903,0.07365498099898105,0.09090909090909091,0.0019280205655526992,0.003775959723096287,465833.0,4659.0,90.0,9.0,0.9500688061163054,0.7372939154946075,0.8613022392119593,0.9020956982672654,1.664094069400744,0.07672740939960931,0.9500686858896987,2.404532130739767e-07,0.7372936443067732,5.423756685996038e-07,0.8613019052491634,6.679255918573545e-07,0.9020954625288212,4.714768884639398e-07,0.09090909090909091,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 2, 'use_weights': False}",1.5451136580013554,0.07145295800000895,0.10101010101010101,0.002158428663932657,0.00422654268808115,465869.0,4623.0,89.0,10.0,0.9264075873465618,0.7429671423893374,0.8140773533978944,0.8557011516599252,1.6404579410002043,0.07415723200028879,0.9264054490304883,4.276632146993364e-06,0.7429663740238068,1.5367310610692186e-06,0.814074633986556,5.438822676939737e-06,0.8556969588833105,8.38555322948409e-06,0.10101010101010102,1.3877787807814457e-17
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 4, 'use_weights': True}",2.362959048998164,0.07737572499900125,0.0,0.0,0.0,465799.0,4693.0,99.0,0.0,0.33524587028047237,0.47368421052631576,0.4444444444444444,0.4117647058823529,2.383404099600739,0.08080245419987478,0.3237614426746229,0.022801025650947857,0.47368421052631576,0.0,0.4444444444444445,5.551115123125783e-17,0.4117647058823529,0.0,0.0,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 4, 'use_weights': False}",2.2583145079988753,0.08301621899954625,0.10101010101010101,0.002158428663932657,0.00422654268808115,465869.0,4623.0,89.0,10.0,0.931937195424141,0.7496542502005987,0.8240026799846449,0.8665435204394922,2.4073620588002087,0.07956352659966796,0.9318818568346721,2.7676669984828407e-05,0.749583537972803,3.546719193085436e-05,0.8238723510035243,6.518446674884017e-05,0.8664350134013181,5.426798036240534e-05,0.10101010101010102,1.3877787807814457e-17
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 2, 'use_weights': True}",1.6151574260002235,0.07233113099937327,0.09090909090909091,0.0019280205655526992,0.003775959723096287,465833.0,4659.0,90.0,9.0,0.9500688061163054,0.7372939154946075,0.8613022392119593,0.9020956982672654,1.6190444584004582,0.07622615539876279,0.9500686858896987,2.404532130739767e-07,0.7372936443067732,5.423756685996038e-07,0.8613019052491634,6.679255918573545e-07,0.9020954625288212,4.714768884639398e-07,0.09090909090909091,0.0
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 2, 'use_weights': False}",1.6195854389989108,0.0682904140012397,0.10101010101010101,0.002158428663932657,0.00422654268808115,465869.0,4623.0,89.0,10.0,0.9264075873465618,0.7429671423893374,0.8140773533978944,0.8557011516599252,1.6058111029989959,0.07384562660081428,0.9264054490304883,4.276632146993364e-06,0.7429663740238068,1.5367310610692186e-06,0.814074633986556,5.438822676939737e-06,0.8556969588833105,8.38555322948409e-06,0.10101010101010102,1.3877787807814457e-17
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 4, 'use_weights': True}",2.422263499996916,0.0738157810010307,0.0,0.0,0.0,465799.0,4693.0,99.0,0.0,0.33524587028047237,0.47368421052631576,0.4444444444444444,0.4117647058823529,2.3910378861997743,0.08148007079944364,0.3237614426746229,0.022801025650947857,0.47368421052631576,0.0,0.4444444444444445,5.551115123125783e-17,0.4117647058823529,0.0,0.0,0.0
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 4, 'use_weights': False}",2.296631528999569,0.07600728199759033,0.10101010101010101,0.002158428663932657,0.00422654268808115,465869.0,4623.0,89.0,10.0,0.931937195424141,0.7496542502005987,0.8240026799846449,0.8665435204394922,2.378957385799731,0.07627121359910234,0.9318818568346721,2.7676669984828407e-05,0.749583537972803,3.546719193085436e-05,0.8238723510035243,6.518446674884017e-05,0.8664350134013181,5.426798036240534e-05,0.10101010101010102,1.3877787807814457e-17
"{'alpha': 0.2, 'beta': 16, 'n_clusters': 2, 'use_weights': True}",1.5123579909995897,0.07431354800064582,0.09090909090909091,0.0019280205655526992,0.003775959723096287,465833.0,4659.0,90.0,9.0,0.9500688061163054,0.7372939154946075,0.8613022392119593,0.9020956982672654,1.5854241686000023,0.08352818900020793,0.9500686858896987,2.404532130739767e-07,0.7372936443067732,5.423756685996038e-07,0.8613019052491634,6.679255918573545e-07,0.9020954625288212,4.714768884639398e-07,0.09090909090909091,0.0
"{'alpha': 0.2, 'beta': 16, 'n_clusters': 2, 'use_weights': False}",1.6099761799996486,0.07050755800082698,0.10101010101010101,0.002158428663932657,0.00422654268808115,465869.0,4623.0,89.0,10.0,0.9264075873465618,0.7429671423893374,0.8140773533978944,0.8557011516599252,1.63878965660042,0.07340683340007673,0.9264054490304883,4.276632146993364e-06,0.7429663740238068,1.5367310610692186e-06,0.814074633986556,5.438822676939737e-06,0.8556969588833105,8.38555322948409e-06,0.10101010101010102,1.3877787807814457e-17
"{'alpha': 0.2, 'beta': 16, 'n_clusters': 4, 'use_weights': True}",2.4034123479978007,0.0734235730014916,0.0,0.0,0.0,465799.0,4693.0,99.0,0.0,0.33524587028047237,0.47368421052631576,0.4444444444444444,0.4117647058823529,2.365735553799459,0.078532520999579,0.3237614426746229,0.022801025650947857,0.47368421052631576,0.0,0.4444444444444445,5.551115123125783e-17,0.4117647058823529,0.0,0.0,0.0
"{'alpha': 0.2, 'beta': 16, 'n_clusters': 4, 'use_weights': False}",2.3439261840030667,0.07694134900157223,0.10101010101010101,0.002158428663932657,0.00422654268808115,465869.0,4623.0,89.0,10.0,0.931937195424141,0.7496542502005987,0.8240026799846449,0.8665435204394922,2.386272090401326,0.07590680640059873,0.9318818568346721,2.7676669984828407e-05,0.749583537972803,3.546719193085436e-05,0.8238723510035243,6.518446674884017e-05,0.8664350134013181,5.426798036240534e-05,0.10101010101010102,1.3877787807814457e-17
