,{}
best_classifier_training_time,0.558946195000317
best_classifier_inference_time,1.1880477310005517
best_classifier_recall,0.010101010101010102
best_classifier_precision,0.00021399529210357372
best_classifier_f1,0.0004191114836546521
best_classifier_TN,465820
best_classifier_FP,4672
best_classifier_FN,98
best_classifier_TP,1
best_classifier_auc,0.9245477246814147
best_classifier_p_auc_10,0.6739253977544735
best_classifier_p_auc_20,0.795590985954832
best_classifier_p_auc_30,0.8520543621204206
training_time_avg,0.558946195000317
inference_time_avg,1.1880477310005517
auc_avg,0.9245477246814147
auc_std,0.0
p_auc_10_avg,0.6739253977544735
p_auc_10_std,0.0
p_auc_20_avg,0.795590985954832
p_auc_20_std,0.0
p_auc_30_avg,0.8520543621204206
p_auc_30_std,0.0
recall_avg,0.010101010101010102
recall_std,0.0
