,"{'max_samples': 4096, 'n_estimators': 50}"
best_classifier_training_time,18.080937288003042
best_classifier_inference_time,8.512019172005239
best_classifier_recall,0.04040404040404041
best_classifier_precision,0.0008512449457331347
best_classifier_f1,0.0016673614005835767
best_classifier_TN,465797
best_classifier_FP,4695
best_classifier_FN,95
best_classifier_TP,4
best_classifier_auc,0.7994535185475733
best_classifier_p_auc_10,0.6046349449244157
best_classifier_p_auc_20,0.6368450449267269
best_classifier_p_auc_30,0.6560231408125812
training_time_avg,18.310558869398665
inference_time_avg,8.610676745598903
auc_avg,0.7849389918672712
auc_std,0.01196603817328785
p_auc_10_avg,0.5950991315101987
p_auc_10_std,0.0069246314422172954
p_auc_20_avg,0.6275493419773592
p_auc_20_std,0.005766126903053457
p_auc_30_avg,0.645591388605195
p_auc_30_std,0.006459748072228109
recall_avg,0.026262626262626265
recall_std,0.00808080808080808
