,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'max_samples': 128, 'n_estimators': 1}",0.350615443996503,0.1488485949957976,0.494949494949495,0.012364370426444614,0.0241260462826194,466578.0,3914.0,50.0,49.0,0.9357304629402773,0.8210663772203268,0.8796346684939977,0.9066271847205548,0.37006321479566395,0.15439527559792623,0.7841265541328454,0.09274867221887183,0.6024968632065811,0.11904632001972247,0.6452062771381234,0.13448500287788856,0.6926592993251169,0.12938800475021833,0.09898989898989899,0.197979797979798
"{'max_samples': 128, 'n_estimators': 10}",2.486213282987592,1.1193141379917506,0.1414141414141414,0.0031236055332440876,0.0061122025758568,466024.0,4468.0,85.0,14.0,0.9436175537543892,0.7367744551979912,0.8454008332638929,0.8894461838321357,2.478130688596866,1.116597645400907,0.9189263708216208,0.0226964257527701,0.6667100087098652,0.05836378810936676,0.7845662717346686,0.05428891479275983,0.8416380560599054,0.04367745057283388,0.08686868686868687,0.0458901684509113
"{'max_samples': 128, 'n_estimators': 50}",11.512454234005418,5.40482157599763,0.09090909090909091,0.0019185674696226818,0.0037578288100208767,465810.0,4682.0,90.0,9.0,0.9546950078563794,0.7709468228996053,0.8741527996010539,0.911166682071332,11.468594317001408,5.429151201000787,0.942088984091186,0.006414101760308315,0.7097533287662591,0.031759872642306605,0.8391360669199612,0.01781694933418971,0.8864489884140901,0.012576670118251518,0.0686868686868687,0.03344029365100373
"{'max_samples': 128, 'n_estimators': 100}",22.864279287998215,10.789418154003215,0.1111111111111111,0.0023509296858303056,0.0046044370029300966,465824.0,4668.0,88.0,11.0,0.9530768758120126,0.7605923629085498,0.8696579883667018,0.9079938741412013,22.978155639994657,10.777591382199898,0.94599992554538,0.004142027850662504,0.7246443973816038,0.021764522096684537,0.8499997931816115,0.011505632918506948,0.8941175010693728,0.008121623236593156,0.08282828282828283,0.02813815813572549
"{'max_samples': 256, 'n_estimators': 1}",0.3933438730018679,0.16363455000100657,0.0,0.0,0.0,470492.0,0.0,99.0,0.0,0.8160262195336118,0.711158685140904,0.7686536272443077,0.7884409049664234,0.3998114926012931,0.17158046840049793,0.7219632304957878,0.054248314277843435,0.5867871090410023,0.06793309441139672,0.6098287884294407,0.08790180519196862,0.6205593288122659,0.09658141627738996,0.006060606060606061,0.01212121212121212
"{'max_samples': 256, 'n_estimators': 10}",2.7073015669884626,1.217062518990133,0.08080808080808081,0.0017357344326318074,0.0033984706881903144,465891.0,4601.0,91.0,8.0,0.9485053771779157,0.738502034697462,0.8569593810497659,0.8990301513292465,2.7141002801916327,1.2306661843991606,0.9223420280356425,0.026043340917471857,0.6745785898117814,0.06482819024983912,0.7903796623126601,0.06538903743596869,0.8480495717603205,0.05067931182783008,0.08686868686868689,0.04120419808963867
"{'max_samples': 256, 'n_estimators': 50}",12.559583560010651,5.894938498007832,0.09090909090909091,0.0019140791152700979,0.003749218912726516,465799.0,4693.0,90.0,9.0,0.9521373478199524,0.7572436451345741,0.8670481883887569,0.9061516623920636,12.549170647401478,5.94805214459775,0.9492983532304073,0.004268176600404478,0.7400810123033266,0.02065099602827848,0.8591620923066872,0.011856046112234593,0.9005850063341321,0.008368973726283264,0.1090909090909091,0.03579807100337243
"{'max_samples': 256, 'n_estimators': 100}",24.857967097996152,11.934883415000513,0.1414141414141414,0.0029888983774551663,0.00585406648546937,465822.0,4670.0,85.0,14.0,0.957127546345854,0.7804456852734198,0.8809098509607056,0.9159363653840275,25.00524956319714,12.191532523202477,0.9521997218128078,0.0028094231383208623,0.7538446061980439,0.014516506305252039,0.8672214494800213,0.007803953162002423,0.9062739643388387,0.00550867282023702,0.11717171717171718,0.019793856507338812
"{'max_samples': 512, 'n_estimators': 1}",0.4117295830073999,0.17706758898566477,0.0,0.0,0.0,470492.0,0.0,99.0,0.0,0.9262802115507369,0.703052558269346,0.8106307142167476,0.8590885831595165,0.4176384916034294,0.18094771859468892,0.8141383741257915,0.10967248334418052,0.6039457209431327,0.06393151496771447,0.6547962146259241,0.09837428986172056,0.7077725283828419,0.1055720505389172,0.03636363636363636,0.06778974438611118
"{'max_samples': 512, 'n_estimators': 10}",2.943707361991983,1.3457937220082385,0.15151515151515152,0.003232062055591467,0.006329113924050633,465866.0,4626.0,84.0,15.0,0.9489367760050365,0.7577306758860045,0.8581577111251013,0.8998760313824244,2.9416192489967217,1.3446676292049233,0.9289984299263946,0.018846070055576376,0.7144993508960992,0.040381964183769346,0.8073409588298969,0.04846402892100526,0.8607812351497934,0.03695307854034586,0.15151515151515152,0.027846563135535806
"{'max_samples': 512, 'n_estimators': 50}",13.535236347001046,6.467462757995236,0.23232323232323232,0.004891535516801361,0.009581337221412207,465813.0,4679.0,76.0,23.0,0.9586832464309659,0.7888683500262779,0.8852312400860163,0.9189867577077762,13.593534582204303,6.48162009959924,0.950383263099526,0.006324116128532401,0.7624940811560239,0.01745306825230618,0.862175730832017,0.01756698924592326,0.9027122805873059,0.012400227703004633,0.20404040404040408,0.05086738711924917
"{'max_samples': 512, 'n_estimators': 100}",27.534524443995906,12.864592917001573,0.13131313131313133,0.0027636054421768708,0.0054132833645638145,465801.0,4691.0,86.0,13.0,0.9557036554126834,0.7736136388642142,0.8769545983685652,0.9131444223778105,27.208181806796347,12.976907550002215,0.9530389378769373,0.0020034400549798007,0.7647372723447623,0.0056528594057027705,0.8695526052137146,0.0055651112638327805,0.9079194860332102,0.003928313833293605,0.19191919191919193,0.03194219858755938
"{'max_samples': 1024, 'n_estimators': 1}",0.43396952499460895,0.19493308299570344,0.1111111111111111,0.017350157728706624,0.03001364256480218,469869.0,623.0,88.0,11.0,0.9385531367679841,0.73829630319555,0.8346383604094951,0.8812535741000111,0.44786961780046114,0.1957920329994522,0.8148754727159886,0.15079780476035412,0.6300459435718715,0.08073600305983357,0.6966732040798002,0.09798566592770823,0.7398430505993792,0.10856463974178421,0.10101010101010102,0.09102125516015201
"{'max_samples': 1024, 'n_estimators': 10}",3.2108679919911083,1.479865842993604,0.35353535353535354,0.007557762902180954,0.014799154334038054,465896.0,4596.0,64.0,35.0,0.9530161184376346,0.7843498183310438,0.8694892178823186,0.9078747420345776,3.197899220997351,1.4716992320027202,0.9262647023184927,0.019810308726767704,0.731303279059111,0.030328171108933332,0.8099941715858672,0.045138166252643545,0.8557606133147833,0.03877098194590668,0.2121212121212121,0.07639462788359207
"{'max_samples': 1024, 'n_estimators': 50}",14.851357145002112,7.08733052999014,0.3333333333333333,0.0070123246918827025,0.013735691987513007,465819.0,4673.0,66.0,33.0,0.9551828702505014,0.7819520545965473,0.8755079729180599,0.9121232750009836,14.877032963000238,7.089425082600792,0.9521821429654083,0.0026167123072661056,0.7686141758839231,0.011708449764638282,0.867172619348356,0.0072686452979615,0.9062394960106042,0.005130808445619917,0.2606060606060606,0.04009986513389738
