,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_bins': 6, 'n_random_cuts': 25}",1.2668708550008887,0.7441657589988608,0.18181818181818182,0.003971756398940865,0.00777369898510041,465978.0,4514.0,81.0,18.0,0.7700113214819096,0.5856486051184815,0.5708768311525992,0.6177735813303786,1.2668708550008887,0.7441657589988608,0.7700113214819096,0.0,0.5856486051184815,0.0,0.5708768311525992,0.0,0.6177735813303786,0.0,0.18181818181818182,0.0
"{'n_bins': 6, 'n_random_cuts': 50}",2.451489240000228,1.5080713520001154,0.1414141414141414,0.003489531405782652,0.006810994891753832,466494.0,3998.0,85.0,14.0,0.8136439185904427,0.5922623114225902,0.5748937118078358,0.6402015011733199,2.451489240000228,1.5080713520001154,0.8136439185904427,0.0,0.5922623114225902,0.0,0.5748937118078358,0.0,0.6402015011733199,0.0,0.1414141414141414,0.0
"{'n_bins': 6, 'n_random_cuts': 75}",3.587492867001856,2.20974406300229,0.18181818181818182,0.003971756398940865,0.00777369898510041,465978.0,4514.0,81.0,18.0,0.7881257569445679,0.583423734927849,0.5697025941075433,0.6174739619774129,3.587492867001856,2.20974406300229,0.7881257569445679,0.0,0.583423734927849,0.0,0.5697025941075433,0.0,0.6174739619774129,0.0,0.18181818181818182,0.0
"{'n_bins': 6, 'n_random_cuts': 100}",4.911270600001444,2.9765544819965726,0.13131313131313133,0.0029680365296803654,0.005804867157847734,466125.0,4367.0,86.0,13.0,0.797128711685176,0.5896943886215587,0.5737786875592266,0.6212044091973037,4.911270600001444,2.9765544819965726,0.797128711685176,0.0,0.5896943886215587,0.0,0.5737786875592266,0.0,0.6212044091973037,0.0,0.13131313131313133,0.0
"{'n_bins': 8, 'n_random_cuts': 25}",1.2609242549988267,0.7663000899992767,0.13131313131313133,0.002935199819372319,0.005742049469964664,466076.0,4416.0,86.0,13.0,0.6935971581693505,0.557896236510829,0.5417012628268788,0.5893253310032541,1.2609242549988267,0.7663000899992767,0.6935971581693505,0.0,0.557896236510829,0.0,0.5417012628268788,0.0,0.5893253310032541,0.0,0.13131313131313133,0.0
"{'n_bins': 8, 'n_random_cuts': 50}",2.417852225000388,1.5307007800001884,0.1717171717171717,0.003947979563399907,0.00771850170261067,466203.0,4289.0,82.0,17.0,0.6954177754350765,0.5968733633672956,0.5982215200129639,0.6226173244010892,2.417852225000388,1.5307007800001884,0.6954177754350765,0.0,0.5968733633672956,0.0,0.5982215200129639,0.0,0.6226173244010892,0.0,0.1717171717171717,0.0
"{'n_bins': 8, 'n_random_cuts': 75}",3.5359518760014907,2.283011023999279,0.1414141414141414,0.003363767419509851,0.006571227411405773,466344.0,4148.0,85.0,14.0,0.7131535185561608,0.6421088952669556,0.6589298614961822,0.6597238731280143,3.5359518760014907,2.283011023999279,0.7131535185561608,0.0,0.6421088952669556,0.0,0.6589298614961822,0.0,0.6597238731280143,0.0,0.1414141414141414,0.0
"{'n_bins': 8, 'n_random_cuts': 100}",4.846790412000701,3.0561086439993232,0.15151515151515152,0.0036918533103618015,0.0072080730418068225,466444.0,4048.0,84.0,15.0,0.7225108841576284,0.663945335167666,0.6823460088244612,0.6767441424936382,4.846790412000701,3.0561086439993232,0.7225108841576284,0.0,0.663945335167666,0.0,0.6823460088244612,0.0,0.6767441424936382,0.0,0.15151515151515152,0.0
"{'n_bins': 10, 'n_random_cuts': 25}",1.290709329998208,0.7887106870002754,0.08080808080808081,0.008908685968819599,0.0160481444332999,469602.0,890.0,91.0,8.0,0.7142934707420394,0.5785187831677129,0.5754160534751915,0.5846460360439567,1.290709329998208,0.7887106870002754,0.7142934707420394,0.0,0.5785187831677129,0.0,0.5754160534751915,0.0,0.5846460360439567,0.0,0.08080808080808081,0.0
"{'n_bins': 10, 'n_random_cuts': 50}",2.5023277699983737,1.6038401929981774,0.10101010101010101,0.004432624113475178,0.008492569002123142,468246.0,2246.0,89.0,10.0,0.715264450873133,0.5889194919840107,0.579252033640206,0.6091155649747881,2.5023277699983737,1.6038401929981774,0.715264450873133,0.0,0.5889194919840107,0.0,0.579252033640206,0.0,0.6091155649747881,0.0,0.10101010101010101,0.0
