,"{'n_bins': 8, 'n_random_cuts': 50}"
best_classifier_training_time,2.4420623759979208
best_classifier_inference_time,1.577679710000666
best_classifier_recall,0.16161616161616163
best_classifier_precision,0.006104540251812286
best_classifier_f1,0.011764705882352941
best_classifier_TN,467887
best_classifier_FP,2605
best_classifier_FN,83
best_classifier_TP,16
best_classifier_auc,0.9395809561742245
best_classifier_p_auc_10,0.7997316035924669
best_classifier_p_auc_20,0.8774677739498964
best_classifier_p_auc_30,0.9016231226693266
training_time_avg,2.4420623759979208
inference_time_avg,1.577679710000666
auc_avg,0.9395809561742245
auc_std,0.0
p_auc_10_avg,0.7997316035924669
p_auc_10_std,0.0
p_auc_20_avg,0.8774677739498964
p_auc_20_std,0.0
p_auc_30_avg,0.9016231226693266
p_auc_30_std,0.0
recall_avg,0.16161616161616163
recall_std,0.0
