,"{'n_components': 1, 'standardization': False, 'svd_solver': 'full', 'weighted': True, 'whiten': True}"
best_classifier_training_time,0.14937532100157114
best_classifier_inference_time,0.0656734289987071
best_classifier_recall,0.10101010101010101
best_classifier_precision,0.002130833155763904
best_classifier_f1,0.004173622704507513
best_classifier_TN,465809
best_classifier_FP,4683
best_classifier_FN,89
best_classifier_TP,10
best_classifier_auc,0.9590877874929463
best_classifier_p_auc_10,0.7850688728737105
best_classifier_p_auc_20,0.8863549652581844
best_classifier_p_auc_30,0.9197799754763654
training_time_avg,0.15442111399970598
inference_time_avg,0.05762988739952561
auc_avg,0.9590877874929463
auc_std,0.0
p_auc_10_avg,0.7850688728737105
p_auc_10_std,0.0
p_auc_20_avg,0.8863549652581844
p_auc_20_std,0.0
p_auc_30_avg,0.9197799754763654
p_auc_30_std,0.0
recall_avg,0.10101010101010102
recall_std,1.3877787807814457e-17
