,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
auto_encoder_dataset1,205.0107120620014,20.551641744001245,0.101010101010101,0.0021584286639326,0.0042265426880811,465869.0,4623.0,89.0,10.0,0.9546161628184276,0.7770576339639766,0.8739337856067436,0.9110120839577014,79.68550875620022,17.334944984600224,0.9543288856359003,0.0001436623718569,0.776912548472622,7.402980850192797e-05,0.8731357934330568,0.0003990621440471,0.9104487953645104,0.0002816909252097,0.101010101010101,1.3877787807814457e-17
auto_encoder_dataset2,63.804786472999695,15.844258758999786,0.0303030303030303,0.0006487889273356,0.0012703789964005,465871.0,4621.0,96.0,3.0,0.8380196805802341,0.5744945477979699,0.6729088941000444,0.7362383755626173,100.78546244659957,17.1089006899987,0.8357958705080442,0.0016791243589195,0.573516605548072,0.0007408409802042,0.6719219767872384,0.0007625750002945,0.7341197128451531,0.0014366939302597,0.0303030303030303,0.0
auto_encoder_dataset3,151.31248572800175,20.55617515099948,0.101010101010101,0.002133560913164,0.0041788549937317,465815.0,4677.0,89.0,10.0,0.9589974350512256,0.7841970265853977,0.8861039862534043,0.9196028138259325,76.91965807640008,17.94710730700026,0.9535105031251618,0.0027434783306654,0.7744401854847046,0.0048784219707065,0.870862508681005,0.0076207731407371,0.908844123774827,0.0053793692758144,0.0929292929292929,0.004040404040404
auto_encoder_dataset4,63.70774097100002,20.600194509002904,0.0202020202020202,0.0004314994606256,0.0008449514152936,465859.0,4633.0,97.0,2.0,0.9360548815566117,0.7447825189501652,0.834451415726974,0.8746174148168856,102.17123761679976,18.068025147600565,0.9361188829024624,9.63403567604625e-05,0.7445258961624586,0.0002518563972358,0.8344641898039192,0.0001674224436116,0.8747429076518876,0.0001889026603145,0.0202020202020202,0.0
auto_encoder_dataset5,48.05534752500171,20.569308722999267,0.0303030303030303,0.0006700915791824,0.0013111888111888,466018.0,4474.0,96.0,3.0,0.8520794307991539,0.6611466541186248,0.7385391136701822,0.791305360666795,87.23173877800073,16.984579455399217,0.8534805602594215,0.0028033109428195,0.6581898027652237,0.0059137027068021,0.7374333831290946,0.0022114610821751,0.7912154752818668,0.0001797707698564,0.0303030303030303,0.0
auto_encoder_dataset6,66.915215944995,20.618121965999308,0.1313131313131313,0.0027694929697486,0.005424577508867,465811.0,4681.0,86.0,13.0,0.9401555642118712,0.7609228617821191,0.841681054261006,0.8826579690428848,124.558721168201,19.525494455000445,0.9372367928281738,0.0045373551091422,0.7558509441921968,0.006571754420368,0.8347399894007841,0.0106374765129153,0.87693488789838,0.0088967747238083,0.1595959595959596,0.0780854468286371
cblof_dataset1,2.50512144700042,0.0715423589972488,0.101010101010101,0.0021413276231263,0.0041937513105472,465832.0,4660.0,89.0,10.0,0.9587555004745943,0.7829236867083922,0.8854319457627625,0.9191284323031266,2.4249291635998818,0.0787157653991016,0.9586571722856718,0.000191378894997,0.7824061699245886,0.00100725734209,0.885158811904644,0.0005316080416586,0.91893563193269,0.0003752527352885,0.101010101010101,1.3877787807814457e-17
cblof_dataset2,3.2180675080016954,0.0751753450022079,0.0404040404040404,0.000933924819052,0.0018256503879507,466213.0,4279.0,95.0,4.0,0.7780351485919275,0.6553779352077393,0.7136017658063375,0.7337314108681353,3.0353723481995987,0.0795522344000346,0.7779311182268087,6.261358181679791e-05,0.6553438785355474,2.5441942268553828e-05,0.7135707072663139,2.607425656776655e-05,0.7336646547922754,4.916098283773056e-05,0.0404040404040404,0.0
cblof_dataset3,2.9307075119977526,0.0891918610032007,0.101010101010101,0.0021362956633198,0.00418410041841,465821.0,4671.0,89.0,10.0,0.958905365086554,0.7842670382446214,0.8858482363515393,0.9194222844834395,2.9019758139984333,0.0905723904019396,0.9585986111937668,0.0003001992184523,0.7826532898386014,0.0015812609512643,0.8849961422049081,0.0008338867179232,0.918820806262288,0.000588625918534,0.101010101010101,1.3877787807814457e-17
cblof_dataset4,2.4989268490026006,0.0925265719997696,0.0202020202020202,0.0004254413954477,0.0008333333333333,465793.0,4699.0,97.0,2.0,0.9564852142313608,0.7709748117440043,0.8791255950871135,0.9146768906497272,2.5862768434009924,0.094092671200633,0.956483015801984,1.0992146883936905e-06,0.7709632410630739,5.785340465225275e-06,0.8791194883388446,3.0533741345095672e-06,0.9146725800038904,2.155322918451219e-06,0.0202020202020202,0.0
cblof_dataset5,3.3968234210005903,0.0988730169992777,0.0606060606060606,0.0012889366272824,0.0025241901556583,465843.0,4649.0,93.0,6.0,0.8514048092531893,0.6641594605618379,0.7277276883678268,0.7683261959393928,3.1640705068006354,0.0995096565995481,0.8608330784958655,0.0077323396956276,0.613064768608551,0.04171922549917,0.7184034077449197,0.0075842499279095,0.7753559929604931,0.0058042319164756,0.0242424242424242,0.0296907847610082
cblof_dataset6,3.1726432769974053,0.1258338090010511,0.0202020202020202,0.0004256224728665,0.0008336807002917,465795.0,4697.0,97.0,2.0,0.9564551683142436,0.7708166753381237,0.8790421342062319,0.914617977086752,3.2447183648000646,0.1242544457993062,0.956455060969059,2.1469036881605066e-07,0.7708161103634688,1.1299493095973111e-06,0.8790418360251641,5.963621356297466e-07,0.9146177666059984,4.209615075190243e-07,0.0202020202020202,0.0
copod_dataset1,0.558946195000317,1.1880477310005515,0.0101010101010101,0.0002139952921035,0.0004191114836546,465820.0,4672.0,98.0,1.0,0.9245477246814148,0.6739253977544735,0.795590985954832,0.8520543621204206,0.558946195000317,1.1880477310005515,0.9245477246814148,0.0,0.6739253977544735,0.0,0.795590985954832,0.0,0.8520543621204206,0.0,0.0101010101010101,0.0
copod_dataset2,0.5342422920002718,1.062714870000491,0.0404040404040404,0.0008503401360544,0.001665625650635,465792.0,4700.0,95.0,4.0,0.8057266423104738,0.564966408437543,0.6406973534870148,0.6943501713777236,0.5342422920002718,1.062714870000491,0.8057266423104738,0.0,0.564966408437543,0.0,0.6406973534870148,0.0,0.6943501713777236,0.0,0.0404040404040404,0.0
