,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': True}",2.3901232830030494,0.2062633939931402,0.1919191919191919,0.004038257173219979,0.00791007493755204,465806.0,4686.0,80.0,19.0,0.5882805401128773,0.6007583663831078,0.6072800998354108,0.6142041813544136,2.841867928399006,0.16562126719509251,0.5882745717206239,5.683239713784239e-06,0.6007546827483583,4.285830851443534e-06,0.6072707965860948,1.0329501770062914e-05,0.6141980858317849,6.720180774932403e-06,0.1919191919191919,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': False}",2.6748564900044585,0.2282539320003707,0.06060606060606061,0.001274426508071368,0.00249635947576451,465790.0,4702.0,93.0,6.0,0.8085370573181206,0.631728209152424,0.6788672734331747,0.6996739536939007,2.68554555640294,0.1923625602008542,0.8085339013696988,2.6000767576571144e-06,0.631727847568645,3.3059466703569485e-07,0.678866760561738,4.566747946668782e-07,0.6996737768900676,3.5759434997010436e-07,0.06060606060606061,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 4, 'use_weights': True}",5.607083786999283,0.17377132999536116,0.13131313131313133,0.0027624309392265192,0.005411030176899064,465799.0,4693.0,86.0,13.0,0.44089448552329963,0.6004915740516145,0.5933257983693131,0.5782557229923216,5.38918233759905,0.15059657439851434,0.42989767127074463,0.08186076623925323,0.5760994487008957,0.02755018681244145,0.5667366800584793,0.03207597942823977,0.5484289533842668,0.03625278167549491,0.12323232323232322,0.009896928253669416
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 4, 'use_weights': False}",4.998359156008519,0.12067392300377833,0.3939393939393939,0.00828377230246389,0.016226336592469314,465823.0,4669.0,60.0,39.0,0.9399880627861125,0.7692536051586398,0.8343541967716237,0.8823295348747303,5.008026551597868,0.13678933599730952,0.914990353532348,0.019413478585170396,0.7137822556855354,0.04245268780324919,0.7705250540654756,0.0493459958519691,0.8333144186908783,0.03806564428464784,0.23434343434343435,0.10068634985355242
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 2, 'use_weights': True}",2.381865794006444,0.13017944799503312,0.1919191919191919,0.004038257173219979,0.00791007493755204,465806.0,4686.0,80.0,19.0,0.5882805401128773,0.6007583663831078,0.6072800998354108,0.6142041813544136,2.6938879736000674,0.17889675740007077,0.5882745717206239,5.683239713784239e-06,0.6007546827483583,4.285830851443534e-06,0.6072707965860948,1.0329501770062914e-05,0.6141980858317849,6.720180774932403e-06,0.1919191919191919,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 2, 'use_weights': False}",2.7197085290099494,0.21422260198596632,0.06060606060606061,0.001274426508071368,0.00249635947576451,465790.0,4702.0,93.0,6.0,0.8085370573181206,0.631728209152424,0.6788672734331747,0.6996739536939007,2.7981070650028412,0.18173866759752855,0.8085339013696988,2.6000767576571144e-06,0.631727847568645,3.3059466703569485e-07,0.678866760561738,4.566747946668782e-07,0.6996737768900676,3.5759434997010436e-07,0.06060606060606061,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 4, 'use_weights': True}",4.653327902997262,0.15922201400098857,0.12121212121212122,0.0025504782146652497,0.004995836802664446,465799.0,4693.0,87.0,12.0,0.4333853248999522,0.5840546308253797,0.5794710655253803,0.5671697437883623,5.099290641401604,0.1488436201980221,0.4067419624434409,0.05899016663636551,0.5629534240815511,0.01727697976437646,0.5526441060676145,0.021290082734797728,0.5354469938597394,0.026323247924933613,0.13737373737373737,0.01212121212121212
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 4, 'use_weights': False}",5.113511711002502,0.12703638499806402,0.31313131313131315,0.006588735387885228,0.012905911740216484,465818.0,4674.0,68.0,31.0,0.937357569042061,0.761856279008313,0.8272233754434657,0.8771717040040412,4.987609253598203,0.13927849780156976,0.8838264792574323,0.04661868990590847,0.6926825811529707,0.057704130137720085,0.7511265745904521,0.06254676407804914,0.7861060726649238,0.07678055580280323,0.17979797979797982,0.10886621079036349
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 2, 'use_weights': True}",2.275203061006323,0.18933470999036217,0.1919191919191919,0.004038257173219979,0.00791007493755204,465806.0,4686.0,80.0,19.0,0.5882805401128773,0.6007583663831078,0.6072800998354108,0.6142041813544136,2.6208630396067747,0.20237483319506283,0.5882745717206239,5.683239713784239e-06,0.6007546827483583,4.285830851443534e-06,0.6072707965860948,1.0329501770062914e-05,0.6141980858317849,6.720180774932403e-06,0.1919191919191919,0.0
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 2, 'use_weights': False}",2.4471503749882686,0.13710786299634492,0.06060606060606061,0.001274426508071368,0.00249635947576451,465790.0,4702.0,93.0,6.0,0.8085370573181206,0.631728209152424,0.6788672734331747,0.6996739536939007,2.7402236251946306,0.16128614460030805,0.8085339013696988,2.6000767576571144e-06,0.631727847568645,3.3059466703569485e-07,0.678866760561738,4.566747946668782e-07,0.6996737768900676,3.5759434997010436e-07,0.06060606060606061,0.0
