,{}
best_classifier_training_time,0.42357337800058303
best_classifier_inference_time,0.7765187679979135
best_classifier_recall,0.04040404040404041
best_classifier_precision,0.0008501594048884166
best_classifier_f1,0.0016652789342214821
best_classifier_TN,465791
best_classifier_FP,4701
best_classifier_FN,95
best_classifier_TP,4
best_classifier_auc,0.74514229763522
best_classifier_p_auc_10,0.5567651572519041
best_classifier_p_auc_20,0.6227684832592036
best_classifier_p_auc_30,0.651636470095845
training_time_avg,0.42357337800058303
inference_time_avg,0.7765187679979135
auc_avg,0.74514229763522
auc_std,0.0
p_auc_10_avg,0.5567651572519041
p_auc_10_std,0.0
p_auc_20_avg,0.6227684832592036
p_auc_20_std,0.0
p_auc_30_avg,0.651636470095845
p_auc_30_std,0.0
recall_avg,0.04040404040404041
recall_std,0.0
