,"{'hidden_activation': 'tanh', 'hidden_neurons': [64, 32], 'use_ae': False}"
best_classifier_training_time,54.56445842500034
best_classifier_inference_time,21.665547021995735
best_classifier_recall,0.12121212121212122
best_classifier_precision,0.0025504782146652497
best_classifier_f1,0.004995836802664446
best_classifier_TN,465799
best_classifier_FP,4693
best_classifier_FN,87
best_classifier_TP,12
best_classifier_auc,0.7915111879015623
best_classifier_p_auc_10,0.622725597916406
best_classifier_p_auc_20,0.6716913969456698
best_classifier_p_auc_30,0.7004183272987743
training_time_avg,57.32591112220253
inference_time_avg,26.535938754797098
auc_avg,0.6990673056023795
auc_std,0.07048229412411015
p_auc_10_avg,0.6139105379266966
p_auc_10_std,0.00605407944093463
p_auc_20_avg,0.6540889908563181
p_auc_20_std,0.017577172891875496
p_auc_30_avg,0.6692036181331742
p_auc_30_std,0.02943935085240682
recall_avg,0.10707070707070707
recall_std,0.038648740342846453
