,{}
best_classifier_training_time,0.4621429149956384
best_classifier_inference_time,0.8195931070076767
best_classifier_recall,0.41414141414141414
best_classifier_precision,0.008708581138487681
best_classifier_f1,0.017058456417724153
best_classifier_TN,465825
best_classifier_FP,4667
best_classifier_FN,58
best_classifier_TP,41
best_classifier_auc,0.8608883376498979
best_classifier_p_auc_10,0.7567536087179803
best_classifier_p_auc_20,0.7697341430957871
best_classifier_p_auc_30,0.7752780679339161
training_time_avg,0.4621429149956384
inference_time_avg,0.8195931070076767
auc_avg,0.8608883376498979
auc_std,0.0
p_auc_10_avg,0.7567536087179803
p_auc_10_std,0.0
p_auc_20_avg,0.7697341430957871
p_auc_20_std,0.0
p_auc_30_avg,0.7752780679339161
p_auc_30_std,0.0
recall_avg,0.41414141414141414
recall_std,0.0
