,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'max_samples': 128, 'n_estimators': 1}",0.6716762100004416,0.25626150900006905,0.24242424242424243,0.007838014369693011,0.015185068016450491,467454.0,3038.0,75.0,24.0,0.8715784151848952,0.7096891121389723,0.7517654716590441,0.7758962778134821,0.6088407646000633,0.24776233560041874,0.786532372259016,0.062113381513683424,0.6052816538319246,0.052869935203240875,0.6746991829007225,0.04673833058399719,0.7066526566945125,0.047094263973282965,0.07272727272727272,0.09244493889816202
"{'max_samples': 128, 'n_estimators': 10}",2.766758943998866,1.086898607999501,0.41414141414141414,0.009192825112107623,0.017986400526431235,466073.0,4419.0,58.0,41.0,0.906995273462716,0.7671803741653579,0.7889660109173584,0.818925924897096,3.1435907111990673,1.1690150115997313,0.8972648425542417,0.028179355699405287,0.7411009904263327,0.016451526766999205,0.7865428639387956,0.026685758617484172,0.8126609214816753,0.0386261165940999,0.22626262626262625,0.0942376063813382
"{'max_samples': 128, 'n_estimators': 50}",10.79246460200011,4.741641355000866,0.37373737373737376,0.008096280087527353,0.01584921824801885,465959.0,4533.0,62.0,37.0,0.9272483362999249,0.7823834692429583,0.8073424390007173,0.8573496790194604,11.040563070000099,4.845052561000739,0.9287396571841366,0.008779611102588313,0.761173346685176,0.014860320682147522,0.8100867532292508,0.016871784028695488,0.860273837615954,0.01721492373056523,0.27070707070707073,0.05692526385295099
"{'max_samples': 128, 'n_estimators': 100}",21.76352664800106,9.74396835600055,0.36363636363636365,0.007756948933419522,0.01518987341772152,465887.0,4605.0,63.0,36.0,0.9386399253495825,0.788235307225059,0.8295553481932847,0.8796861281364362,21.567076602999805,9.94304454999965,0.935939466161234,0.004436346733635117,0.7739106460402466,0.01070127038636622,0.8225654186123936,0.01158028257277245,0.8743911101200667,0.008698719085559005,0.3030303030303031,0.054582852873156756
"{'max_samples': 256, 'n_estimators': 1}",0.3979584370008524,0.16512589600006322,0.12121212121212122,0.007430340557275541,0.014002333722287047,468889.0,1603.0,87.0,12.0,0.8264204644748842,0.6949707200537264,0.7329281808808914,0.7461419397220581,0.4120836211990536,0.16575655879969417,0.7721422006810494,0.09634475322903724,0.6595600087904454,0.034241824168856,0.707067570577062,0.034581530255557484,0.7329846846146462,0.0396617317628513,0.12121212121212122,0.022130204343643083
"{'max_samples': 256, 'n_estimators': 10}",2.940208371997869,1.1077367799998683,0.45454545454545453,0.009870585654748848,0.0193215972520395,465978.0,4514.0,54.0,45.0,0.941931622491547,0.782900850432845,0.8386989513654084,0.8861404362579353,2.931826457999887,1.0947145757998442,0.9259087091896152,0.010764472159799648,0.7651666417829229,0.016851696582788112,0.8053130258095132,0.02069961999192519,0.8548142396466879,0.021144255689459896,0.38383838383838387,0.0663906130309292
"{'max_samples': 256, 'n_estimators': 50}",12.000396382998588,5.369320222999704,0.494949494949495,0.01049025904517234,0.02054507337526205,465870.0,4622.0,50.0,49.0,0.9389054758667845,0.7970825165325257,0.8309705215047567,0.8802068154250675,11.908818517400324,5.334807024399924,0.9404301145493343,0.0021479928306557534,0.791448964417955,0.0044113933890250305,0.8349131526886586,0.006163085483230332,0.8831963030379107,0.004211750648344583,0.4404040404040404,0.031034932314620647
"{'max_samples': 256, 'n_estimators': 100}",24.17165805500008,10.964404392999313,0.5050505050505051,0.010890873448050533,0.021321961620469083,465951.0,4541.0,49.0,50.0,0.9384810759456875,0.8003244314977564,0.8294039497379122,0.8793746587170342,24.25215066920009,10.968982583199795,0.9399895742063091,0.0019066046335634702,0.7950500382910443,0.0031295459241980628,0.8335617972820449,0.005031042911068424,0.8823324984437431,0.003738440457967638,0.4646464646464647,0.04237611507758189
"{'max_samples': 512, 'n_estimators': 1}",0.43583744700117677,0.1770671920003224,0.23232323232323232,0.011985409067222511,0.022794846382556987,468596.0,1896.0,76.0,23.0,0.9351624351624351,0.7914331213911591,0.8342163726011045,0.8728675199263434,0.43547906820022037,0.17743976560032024,0.8393020454753704,0.05054303250082905,0.6933296818550635,0.050308609557798784,0.7293106529410851,0.055944932151903916,0.7594257739512444,0.05883893499666431,0.16363636363636364,0.04208619526464577
"{'max_samples': 512, 'n_estimators': 10}",3.1568493930008117,1.2119104000012157,0.5757575757575758,0.012546775258639665,0.024558380008616973,466006.0,4486.0,42.0,57.0,0.9289674801628246,0.8045626227692749,0.8162234857343382,0.8607205493388718,3.215415242999734,1.2194946043999153,0.918027185296767,0.01642881847403459,0.7962410658806414,0.006241655351601079,0.8117132387054795,0.006307576098898148,0.8447242183248698,0.021621542787708194,0.5090909090909091,0.060132832590453406
"{'max_samples': 512, 'n_estimators': 50}",13.545564646999992,6.012420357000337,0.5757575757575758,0.012329656067488644,0.024142312579415504,465926.0,4566.0,42.0,57.0,0.9334328251440551,0.8049539242151946,0.820885584556026,0.8694761277334413,13.343154545399557,5.908396693200848,0.934344862034387,0.005179249668247108,0.8023631267203394,0.0018544891482901286,0.8249633249923018,0.007558642909289888,0.8712644353615431,0.010155391506366865,0.5515151515151515,0.016412198797244367
"{'max_samples': 512, 'n_estimators': 100}",27.2107846350018,12.283889136000653,0.5555555555555556,0.011861117101574293,0.02322635135135135,465910.0,4582.0,44.0,55.0,0.9427092202729197,0.8016236585134451,0.8411405831847271,0.8876651377900383,26.549921450200237,11.88766012359938,0.9371802455319285,0.0036554966217664337,0.8011210909590076,0.000666997647479853,0.8279173990351509,0.008074846494375097,0.8768240108469184,0.007167640434836143,0.5575757575757576,0.016161616161616158
"{'max_samples': 1024, 'n_estimators': 1}",0.486542493998968,0.19799982300082775,0.35353535353535354,0.01175285426460712,0.022749431264218398,467549.0,2943.0,64.0,35.0,0.8929804472034732,0.735956982070457,0.7645236913350577,0.798135360095281,0.4744024181998611,0.1916119739998976,0.8343952713329875,0.06056440890170468,0.7096166430916859,0.020756080436742957,0.7443358289357411,0.03453243844340139,0.7679874406439129,0.048599983890200704,0.25656565656565655,0.07216392363431011
