,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_bins': 6, 'n_random_cuts': 25}",1.121243254001456,0.6753650209975604,0.26262626262626265,0.007432818753573471,0.014456491520711703,467020.0,3472.0,73.0,26.0,0.7792520458059935,0.7195670108370229,0.7256347196711043,0.7286144764079001,1.121243254001456,0.6753650209975604,0.7792520458059935,0.0,0.7195670108370229,0.0,0.7256347196711043,0.0,0.7286144764079001,0.0,0.26262626262626265,0.0
"{'n_bins': 6, 'n_random_cuts': 50}",2.172349052001664,1.378415050003241,0.23232323232323232,0.008179231863442389,0.01580212985228444,467703.0,2789.0,76.0,23.0,0.7468845529163239,0.6772904658949592,0.6879254954383401,0.6866243742804999,2.172349052001664,1.378415050003241,0.7468845529163239,0.0,0.6772904658949592,0.0,0.6879254954383401,0.0,0.6866243742804999,0.0,0.23232323232323232,0.0
"{'n_bins': 6, 'n_random_cuts': 75}",3.2367040110002563,1.9984465389970865,0.2727272727272727,0.007832898172323759,0.015228426395939085,467072.0,3420.0,72.0,27.0,0.7518918837336579,0.7401211729616889,0.7475945029552035,0.7426481964720034,3.2367040110002563,1.9984465389970865,0.7518918837336579,0.0,0.7401211729616889,0.0,0.7475945029552035,0.0,0.7426481964720034,0.0,0.2727272727272727,0.0
"{'n_bins': 6, 'n_random_cuts': 100}",4.140194491003058,2.621858518999943,0.43434343434343436,0.009029819403611928,0.017691832956181857,465773.0,4719.0,56.0,43.0,0.7732238408158509,0.7273759097238841,0.7357360207968365,0.7328821168171316,4.140194491003058,2.621858518999943,0.7732238408158509,0.0,0.7273759097238841,0.0,0.7357360207968365,0.0,0.7328821168171316,0.0,0.43434343434343436,0.0
"{'n_bins': 8, 'n_random_cuts': 25}",1.167662574996939,0.7239093320022221,0.45454545454545453,0.009261164848734307,0.018152480839048003,465678.0,4814.0,54.0,45.0,0.6652648244343746,0.7125253701303766,0.7153096217267341,0.7151086504934367,1.167662574996939,0.7239093320022221,0.6652648244343746,0.0,0.7125253701303766,0.0,0.7153096217267341,0.0,0.7151086504934367,0.0,0.45454545454545453,0.0
"{'n_bins': 8, 'n_random_cuts': 50}",2.152116670997202,1.369633241003612,0.3838383838383838,0.007991587802313354,0.015657189946435928,465775.0,4717.0,61.0,38.0,0.6997468242356573,0.7116250943174338,0.7103161622926749,0.6987155253720766,2.152116670997202,1.369633241003612,0.6997468242356573,0.0,0.7116250943174338,0.0,0.7103161622926749,0.0,0.6987155253720766,0.0,0.3838383838383838,0.0
"{'n_bins': 8, 'n_random_cuts': 75}",3.1652409530070145,2.008556372995372,0.37373737373737376,0.0073690499900418245,0.014453124999999999,465508.0,4984.0,62.0,37.0,0.6875782385376596,0.720507512845388,0.735547176762968,0.7345622836435708,3.1652409530070145,2.008556372995372,0.6875782385376596,0.0,0.720507512845388,0.0,0.735547176762968,0.0,0.7345622836435708,0.0,0.37373737373737376,0.0
"{'n_bins': 8, 'n_random_cuts': 100}",4.212029820002499,2.6445702459932363,0.43434343434343436,0.00888980773206533,0.017423014586709886,465698.0,4794.0,56.0,43.0,0.6859276775130817,0.7216699368981616,0.726712411650023,0.7279602811771639,4.212029820002499,2.6445702459932363,0.6859276775130817,0.0,0.7216699368981616,0.0,0.726712411650023,0.0,0.7279602811771639,0.0,0.43434343434343436,0.0
"{'n_bins': 10, 'n_random_cuts': 25}",1.180561298999237,0.7635714289972384,0.29292929292929293,0.006428729771669253,0.012581344902386118,466010.0,4482.0,70.0,29.0,0.635826030211057,0.6493321753251224,0.6655207365467406,0.675722481543772,1.180561298999237,0.7635714289972384,0.635826030211057,0.0,0.6493321753251224,0.0,0.6655207365467406,0.0,0.675722481543772,0.0,0.29292929292929293,0.0
"{'n_bins': 10, 'n_random_cuts': 50}",2.2066314830044576,1.3931520949990954,0.4444444444444444,0.00945220193340494,0.018510727808161546,465881.0,4611.0,55.0,44.0,0.7054989803495624,0.7215256310718307,0.7228467922868679,0.7222083810078554,2.2066314830044576,1.3931520949990954,0.7054989803495624,0.0,0.7215256310718307,0.0,0.7228467922868679,0.0,0.7222083810078554,0.0,0.4444444444444444,0.0
"{'n_bins': 10, 'n_random_cuts': 75}",3.316074201000447,2.146287282994308,0.4444444444444444,0.009407740004276246,0.018425460636515914,465859.0,4633.0,55.0,44.0,0.6547342833124525,0.7393778245088654,0.7469842753999197,0.7427260112066655,3.316074201000447,2.146287282994308,0.6547342833124525,0.0,0.7393778245088654,0.0,0.7469842753999197,0.0,0.7427260112066655,0.0,0.4444444444444444,0.0
"{'n_bins': 10, 'n_random_cuts': 100}",4.35121921400787,2.806159159004892,0.4444444444444444,0.010352941176470589,0.02023453667509773,466286.0,4206.0,55.0,44.0,0.6584241452124434,0.7465503811425237,0.7455839693964891,0.7396429480603194,4.35121921400787,2.806159159004892,0.6584241452124434,0.0,0.7465503811425237,0.0,0.7455839693964891,0.0,0.7396429480603194,0.0,0.4444444444444444,0.0
"{'n_bins': 12, 'n_random_cuts': 25}",1.1995994499957305,0.7766093980026199,0.45454545454545453,0.008135960947387453,0.015985790408525755,465006.0,5486.0,54.0,45.0,0.932313654985879,0.7792485738781885,0.8468830555702739,0.8719295924299348,1.1995994499957305,0.7766093980026199,0.932313654985879,0.0,0.7792485738781885,0.0,0.8468830555702739,0.0,0.8719295924299348,0.0,0.45454545454545453,0.0
"{'n_bins': 12, 'n_random_cuts': 50}",2.3435762920016714,1.5158143720072985,0.4444444444444444,0.010610079575596816,0.020725388601036267,466389.0,4103.0,55.0,44.0,0.8292082189141013,0.7623100666510545,0.7679307618885054,0.7618025891345285,2.3435762920016714,1.5158143720072985,0.8292082189141013,0.0,0.7623100666510545,0.0,0.7679307618885054,0.0,0.7618025891345285,0.0,0.4444444444444444,0.0
"{'n_bins': 12, 'n_random_cuts': 75}",3.4160008169965295,2.159997426002519,0.43434343434343436,0.009158679446219382,0.01793909052982895,465840.0,4652.0,56.0,43.0,0.8695376758840112,0.743611326490749,0.7580619823594554,0.7697128178874195,3.4160008169965295,2.159997426002519,0.8695376758840112,0.0,0.743611326490749,0.0,0.7580619823594554,0.0,0.7697128178874195,0.0,0.43434343434343436,0.0
"{'n_bins': 12, 'n_random_cuts': 100}",4.458614271999977,2.8511888010034454,0.45454545454545453,0.00826749954069447,0.01623962468422952,465094.0,5398.0,54.0,45.0,0.7987465968356184,0.7544145797485975,0.7627417553101732,0.762264207104427,4.458614271999977,2.8511888010034454,0.7987465968356184,0.0,0.7544145797485975,0.0,0.7627417553101732,0.0,0.762264207104427,0.0,0.45454545454545453,0.0
"{'n_bins': 14, 'n_random_cuts': 25}",1.1738305460021365,0.7483861209984752,0.35353535353535354,0.002721194215518582,0.005400817838129774,457665.0,12827.0,64.0,35.0,0.7790469413621348,0.724192006356209,0.742140323953263,0.7470628198011948,1.1738305460021365,0.7483861209984752,0.7790469413621348,0.0,0.724192006356209,0.0,0.742140323953263,0.0,0.7470628198011948,0.0,0.35353535353535354,0.0
"{'n_bins': 14, 'n_random_cuts': 50}",2.3209159779980837,1.4788937200064538,0.4444444444444444,0.009365687526607066,0.01834479883260371,465838.0,4654.0,55.0,44.0,0.8834724333702,0.7724224237030316,0.8093866193111239,0.8230545385588592,2.3209159779980837,1.4788937200064538,0.8834724333702,0.0,0.7724224237030316,0.0,0.8093866193111239,0.0,0.8230545385588592,0.0,0.4444444444444444,0.0
"{'n_bins': 14, 'n_random_cuts': 75}",3.2669939859988517,2.152154060000612,0.45454545454545453,0.009582623509369677,0.018769551616266943,465841.0,4651.0,54.0,45.0,0.786104210962657,0.7428288478933336,0.7520373352658138,0.7626101153847578,3.2669939859988517,2.152154060000612,0.786104210962657,0.0,0.7428288478933336,0.0,0.7520373352658138,0.0,0.7626101153847578,0.0,0.45454545454545453,0.0
"{'n_bins': 14, 'n_random_cuts': 100}",4.461838633993466,2.8894908760048565,0.43434343434343436,0.00912370040314025,0.017871986699916874,465822.0,4670.0,56.0,43.0,0.7920004457830819,0.7388867372394134,0.7520356893063196,0.7646981602350476,4.461838633993466,2.8894908760048565,0.7920004457830819,0.0,0.7388867372394134,0.0,0.7520356893063196,0.0,0.7646981602350476,0.0,0.43434343434343436,0.0
"{'n_bins': 16, 'n_random_cuts': 25}",1.2347641519991157,0.7670640440010175,0.1414141414141414,0.009589041095890411,0.01796023091725465,469046.0,1446.0,85.0,14.0,0.8345230078086323,0.7279004321934075,0.751969451363915,0.7670467970969423,1.2347641519991157,0.7670640440010175,0.8345230078086323,0.0,0.7279004321934075,0.0,0.751969451363915,0.0,0.7670467970969423,0.0,0.1414141414141414,0.0
"{'n_bins': 16, 'n_random_cuts': 50}",2.270533324997814,1.4778673799919488,0.46464646464646464,0.008365157301327515,0.016434440871739908,465039.0,5453.0,53.0,46.0,0.8992338194524417,0.7269351503966826,0.7710491573865801,0.807697302886319,2.270533324997814,1.4778673799919488,0.8992338194524417,0.0,0.7269351503966826,0.0,0.7710491573865801,0.0,0.807697302886319,0.0,0.46464646464646464,0.0
"{'n_bins': 16, 'n_random_cuts': 75}",3.3543436050022137,2.2217529190020286,0.45454545454545453,0.009223201475712236,0.01807955002008839,465658.0,4834.0,54.0,45.0,0.8753276175028298,0.7395773315049952,0.7828701104757517,0.7964628842355836,3.3543436050022137,2.2217529190020286,0.8753276175028298,0.0,0.7395773315049952,0.0,0.7828701104757517,0.0,0.7964628842355836,0.0,0.45454545454545453,0.0
