,"{'n_bins': 6, 'n_random_cuts': 25}"
best_classifier_training_time,1.1508332429984875
best_classifier_inference_time,0.66092532201219
best_classifier_recall,0.0
best_classifier_precision,0.0
best_classifier_f1,0.0
best_classifier_TN,465458
best_classifier_FP,5034
best_classifier_FN,99
best_classifier_TP,0
best_classifier_auc,0.5549042708526823
best_classifier_p_auc_10,0.5470163387913094
best_classifier_p_auc_20,0.576462323133184
best_classifier_p_auc_30,0.5840921859092575
training_time_avg,1.1508332429984875
inference_time_avg,0.66092532201219
auc_avg,0.5549042708526823
auc_std,0.0
p_auc_10_avg,0.5470163387913094
p_auc_10_std,0.0
p_auc_20_avg,0.576462323133184
p_auc_20_std,0.0
p_auc_30_avg,0.5840921859092575
p_auc_30_std,0.0
recall_avg,0.0
recall_std,0.0
