,"{'n_components': 2, 'standardization': False, 'svd_solver': 'full', 'weighted': False, 'whiten': True}"
best_classifier_training_time,0.18066705099045066
best_classifier_inference_time,0.07179468801768962
best_classifier_recall,0.13131313131313133
best_classifier_precision,0.0027636054421768708
best_classifier_f1,0.0054132833645638145
best_classifier_TN,465801
best_classifier_FP,4691
best_classifier_FN,86
best_classifier_TP,13
best_classifier_auc,0.6166073885089298
best_classifier_p_auc_10,0.5870730192181823
best_classifier_p_auc_20,0.6158531872068624
best_classifier_p_auc_30,0.6241373995662247
training_time_avg,0.1955784091973328
inference_time_avg,0.09193572940275771
auc_avg,0.6166073885089298
auc_std,0.0
p_auc_10_avg,0.5870730192181823
p_auc_10_std,0.0
p_auc_20_avg,0.6158531872068624
p_auc_20_std,0.0
p_auc_30_avg,0.6241373995662247
p_auc_30_std,0.0
recall_avg,0.13131313131313133
recall_std,0.0
