,"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': True}"
best_classifier_training_time,0.22438322099333163
best_classifier_inference_time,0.0789845030012657
best_classifier_recall,0.5151515151515151
best_classifier_precision,0.010739102969046115
best_classifier_f1,0.02103960396039604
best_classifier_TN,465794
best_classifier_FP,4698
best_classifier_FN,48
best_classifier_TP,51
best_classifier_auc,0.7377490161384468
best_classifier_p_auc_10,0.7807322404183383
best_classifier_p_auc_20,0.7832652480995775
best_classifier_p_auc_30,0.7757095155925717
training_time_avg,0.21745829860155935
inference_time_avg,0.07806502519524657
auc_avg,0.7377490161384468
auc_std,0.0
p_auc_10_avg,0.7807322404183383
p_auc_10_std,0.0
p_auc_20_avg,0.7832652480995775
p_auc_20_std,0.0
p_auc_30_avg,0.7757095155925717
p_auc_30_std,0.0
recall_avg,0.5151515151515151
recall_std,0.0
