,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': True}",0.28747631100122817,0.08865603600133909,0.5151515151515151,0.010839532412327312,0.021232306411323898,465838.0,4654.0,48.0,51.0,0.7516873911573504,0.7803149049403251,0.7808580323391061,0.7755750226005393,0.28874074020277474,0.0917730599961942,0.7516873911573504,0.0,0.7803149049403251,0.0,0.7808580323391061,0.0,0.7755750226005393,0.0,0.5151515151515151,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': False}",0.2826038800048991,0.08582261099945754,0.5151515151515151,0.010839532412327312,0.021232306411323898,465838.0,4654.0,48.0,51.0,0.7516873911573504,0.7803149049403251,0.7808580323391061,0.7755750226005393,0.2821910884027602,0.08876482019841206,0.7516873911573504,0.0,0.7803149049403251,0.0,0.7808580323391061,0.0,0.7755750226005393,0.0,0.5151515151515151,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': True}",0.28328163100377424,0.08404154899471905,0.5050505050505051,0.0106315118009781,0.020824656393169515,465839.0,4653.0,49.0,50.0,0.7301694907467163,0.7795023583917808,0.7780572533508467,0.7717176681149813,0.287773375006509,0.08745270920189796,0.7301694907467163,0.0,0.7795023583917808,0.0,0.7780572533508467,0.0,0.7717176681149813,0.0,0.5050505050505051,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': False}",0.2890986949860235,0.08791440500499448,0.5050505050505051,0.0106315118009781,0.020824656393169515,465839.0,4653.0,49.0,50.0,0.7301694907467163,0.7795023583917808,0.7780572533508467,0.7717176681149813,0.28732472799601966,0.08740690879931208,0.7301694907467163,0.0,0.7795023583917808,0.0,0.7780572533508467,0.0,0.7717176681149813,0.0,0.5050505050505051,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': True, 'whiten': True}",0.2826220670103794,0.09308376400440466,0.5151515151515151,0.010837229069273268,0.021227887617065552,465837.0,4655.0,48.0,51.0,0.7516873911573504,0.7803149049403251,0.7808580323391061,0.7755750226005393,0.2781943944064551,0.0865568749999511,0.7516873911573504,0.0,0.7803149049403251,0.0,0.7808580323391061,0.0,0.7755750226005393,0.0,0.5151515151515151,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': True, 'whiten': False}",0.28907870200055186,0.0853310190141201,0.5151515151515151,0.010837229069273268,0.021227887617065552,465837.0,4655.0,48.0,51.0,0.7516873911573504,0.7803149049403251,0.7808580323391061,0.7755750226005393,0.27964970460161565,0.08575307160353987,0.7516873911573504,0.0,0.7803149049403251,0.0,0.7808580323391061,0.0,0.7755750226005393,0.0,0.5151515151515151,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': False, 'whiten': True}",0.28232104500057176,0.08364041001186706,0.5050505050505051,0.0106315118009781,0.020824656393169515,465839.0,4653.0,49.0,50.0,0.7301694907467163,0.7795023583917808,0.7780572533508467,0.7717176681149813,0.2817609871985042,0.08957569940685062,0.7301694907467163,0.0,0.7795023583917808,0.0,0.7780572533508467,0.0,0.7717176681149813,0.0,0.5050505050505051,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': False, 'whiten': False}",0.28743577400018694,0.08667496599809965,0.5050505050505051,0.0106315118009781,0.020824656393169515,465839.0,4653.0,49.0,50.0,0.7301694907467163,0.7795023583917808,0.7780572533508467,0.7717176681149813,0.2909463127987692,0.08715219679434086,0.7301694907467163,0.0,0.7795023583917808,0.0,0.7780572533508467,0.0,0.7717176681149813,0.0,0.5050505050505051,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': True, 'whiten': True}",0.5604827390125138,0.10727639299147995,0.5151515151515151,0.010837229069273268,0.021227887617065552,465837.0,4655.0,48.0,51.0,0.7516873911573504,0.7803149049403251,0.7808580323391061,0.7755750226005393,0.5574845592025668,0.09685266779997619,0.7516873911573504,0.0,0.7803149049403251,0.0,0.7808580323391061,0.0,0.7755750226005393,0.0,0.5151515151515151,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': True, 'whiten': False}",0.5804324999917299,0.09228175201133126,0.5151515151515151,0.010837229069273268,0.021227887617065552,465837.0,4655.0,48.0,51.0,0.7516873911573504,0.7803149049403251,0.7808580323391061,0.7755750226005393,0.5631689790010569,0.09234174300509039,0.7516873911573504,0.0,0.7803149049403251,0.0,0.7808580323391061,0.0,0.7755750226005393,0.0,0.5151515151515151,0.0
