,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
auto_encoder_dataset1,75.0095227730003,31.24030293900023,0.2525252525252525,0.0053123671908202,0.0104058272632674,465811.0,4681.0,74.0,25.0,0.8946037318166918,0.7395702661757859,0.7550403823996149,0.7946263259994918,79.83644463620085,29.06344746920031,0.8802946444972239,0.0106264714623419,0.7357013423386496,0.0025384360682592,0.7515301829420526,0.0019569037889507,0.7754636093204981,0.0120600789900442,0.2626262626262626,0.0090346180909082
auto_encoder_dataset2,82.11431372399875,23.554400878997512,0.1313131313131313,0.0027612574341546,0.0054087788641564,465797.0,4695.0,86.0,13.0,0.7168774303486478,0.613372544201504,0.663550117505764,0.6840922402974843,79.80608766619953,27.09008941219872,0.7132794773955515,0.0048391514965045,0.6129917738831498,0.0002224047557113,0.6633335784143167,0.0003183498853193,0.6840261914369569,0.0001600934246167,0.1313131313131313,0.0
auto_encoder_dataset3,82.36198460600099,24.04827510499853,0.2525252525252525,0.0053123671908202,0.0104058272632674,465811.0,4681.0,74.0,25.0,0.8604418460898486,0.7392144451381881,0.7542927947536315,0.7613315972192938,85.22869234660102,28.10830834639928,0.8646662913020258,0.0141292313965195,0.7368880829005662,0.0025392873025792,0.7527026547551872,0.001474127990512,0.7636253189585862,0.0057314224774899,0.2565656565656566,0.008080808080808
auto_encoder_dataset4,73.7190081190056,28.060146050989715,0.0707070707070707,0.0014871468026343,0.0029130253849354,465792.0,4700.0,92.0,7.0,0.8692650513191564,0.6401115968672797,0.6856693799521734,0.7545830277173837,76.73830834640103,27.476739135397658,0.869014855457133,0.0007142670466772,0.6388083359325558,0.0008079056093202,0.6847705787230797,0.0006551068495197,0.7542277193665903,0.0014795975159488,0.0707070707070707,0.0
auto_encoder_dataset5,86.27773338000407,30.94974018499852,0.1313131313131313,0.0027624309392265,0.005411030176899,465799.0,4693.0,86.0,13.0,0.7909059328137654,0.6203631111993556,0.6708096397464123,0.6979303816452014,83.64427489940354,29.13952719219888,0.7882681954166697,0.0136407701936184,0.617460723402678,0.0014515241116163,0.6690873101169841,0.0008614338919156,0.6921381407346286,0.0052540180741345,0.1313131313131313,0.0
auto_encoder_dataset6,64.4316200520002,19.040363155999785,0.0606060606060606,0.0012763241863433,0.0025,465797.0,4695.0,93.0,6.0,0.8763161807751302,0.6407946964229145,0.6881612791359043,0.7598173051978355,70.26433039319969,23.63646447359952,0.8762169895309248,0.0007299205431867,0.6405647291394216,0.0001836867840672,0.687993212358841,0.0001486095357261,0.7600802377554222,0.0015431667044205,0.0606060606060606,0.0
cblof_dataset1,4.649643529999594,0.1574190579995047,0.4343434343434343,0.0091353303590397,0.0178942987931751,465828.0,4664.0,56.0,43.0,0.7583356756052573,0.7750027194490035,0.7802413342546508,0.7739986690914655,4.546037329599495,0.1313883914001053,0.7616619421904103,0.0066712118302369,0.7746673278949234,0.0006440109126558,0.7800643220455531,0.0003398946483461,0.7740170903670339,4.69625427545286e-05,0.4363636363636363,0.004040404040404
cblof_dataset2,4.71120642599999,0.0924095189984655,0.0202020202020202,0.0004222972972972,0.0008273009307135,465758.0,4734.0,97.0,2.0,0.6191253844997161,0.6171451624589818,0.6656473621189989,0.6761131885477314,4.924728419202438,0.115156219198252,0.6217674114103808,0.0053861908980671,0.6162291622714464,0.0017818005033666,0.6661396912655169,0.0010293340897721,0.6775797788694925,0.0029729625547264,0.0424242424242424,0.0444444444444444
cblof_dataset3,5.380320990996552,0.1316923889971804,0.3939393939393939,0.008289054197662,0.0162364696086594,465826.0,4666.0,60.0,39.0,0.966344826481662,0.8374591534059093,0.9069359652483276,0.9340094636895332,5.447192617801193,0.1156483808008488,0.953374634178346,0.0106027963051718,0.7732248865839371,0.0524199161688724,0.8712470525278537,0.0291678332033978,0.9085777140751884,0.0207897966768075,0.2505050505050505,0.10905349152538
cblof_dataset4,4.158874815009767,0.1126026700003421,0.3737373737373737,0.0078756917837377,0.0154263081092349,465831.0,4661.0,62.0,37.0,0.8214404959450571,0.764519795520938,0.7740228277215799,0.7856162132294101,4.187322399602271,0.1206796047932584,0.8218995640669124,0.0015979683702218,0.7641210138105885,0.0004586388354816,0.7737967229814771,0.0002125489989859,0.7848369713828699,0.0009426402951788,0.3737373737373737,0.0
