,"{'hidden_activation': 'sigmoid', 'hidden_neurons': [4, 2, 2, 4]}"
best_classifier_training_time,4961.836028419988
best_classifier_inference_time,83.88813540403862
best_classifier_recall,0.030303030303030304
best_classifier_precision,0.0006376195536663124
best_classifier_f1,0.0012489592006661116
best_classifier_TN,465790
best_classifier_FP,4702
best_classifier_FN,96
best_classifier_TP,3
best_classifier_auc,0.8870046266633245
best_classifier_p_auc_10,0.7974286991025125
best_classifier_p_auc_20,0.8292861861069893
best_classifier_p_auc_30,0.8437603427611384
training_time_avg,4961.836028419988
inference_time_avg,83.88813540403862
auc_avg,0.8870046266633245
auc_std,0.0
p_auc_10_avg,0.7974286991025125
p_auc_10_std,0.0
p_auc_20_avg,0.8292861861069893
p_auc_20_std,0.0
p_auc_30_avg,0.8437603427611384
p_auc_30_std,0.0
recall_avg,0.030303030303030304
recall_std,0.0
