,"{'hidden_activation': 'tanh', 'hidden_neurons': [4, 2, 2, 4]}"
best_classifier_training_time,4621.833568915019
best_classifier_inference_time,81.3047680731288
best_classifier_recall,0.030303030303030304
best_classifier_precision,0.0006374840628984276
best_classifier_f1,0.0012486992715920917
best_classifier_TN,465789
best_classifier_FP,4703
best_classifier_FN,96
best_classifier_TP,3
best_classifier_auc,0.8742417780244142
best_classifier_p_auc_10,0.7584641259828757
best_classifier_p_auc_20,0.7969299740034772
best_classifier_p_auc_30,0.8179921943869171
training_time_avg,4621.833568915019
inference_time_avg,81.3047680731288
auc_avg,0.8742417780244142
auc_std,0.0
p_auc_10_avg,0.7584641259828757
p_auc_10_std,0.0
p_auc_20_avg,0.7969299740034772
p_auc_20_std,0.0
p_auc_30_avg,0.8179921943869171
p_auc_30_std,0.0
recall_avg,0.030303030303030304
recall_std,0.0
