,"{'alpha': 0.6, 'beta': 4, 'n_clusters': 4, 'use_weights': False}"
best_classifier_training_time,29.356965819015386
best_classifier_inference_time,3.827037815000949
best_classifier_recall,0.020202020202020204
best_classifier_precision,0.00042517006802721087
best_classifier_f1,0.0008328128253175098
best_classifier_TN,465790
best_classifier_FP,4702
best_classifier_FN,97
best_classifier_TP,2
best_classifier_auc,0.9238509685584237
best_classifier_p_auc_10,0.8054247175950459
best_classifier_p_auc_20,0.8458465304695777
best_classifier_p_auc_30,0.8748007267149431
training_time_avg,30.47373604619861
inference_time_avg,4.017497685804119
auc_avg,0.9237289729032415
auc_std,0.0001011166007104275
p_auc_10_avg,0.8052817564083934
p_auc_10_std,7.454464603148682e-05
p_auc_20_avg,0.8457590202897951
p_auc_20_std,8.700758505171156e-05
p_auc_30_avg,0.874611874963447
p_auc_30_std,0.00017835676655081117
recall_avg,0.020202020202020204
recall_std,0.0
