,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': True}",23.959033010069106,4.160203311170335,0.0,0.0,0.0,465778.0,4714.0,99.0,0.0,0.5705958074234262,0.501025718265499,0.5103513343001652,0.5203018554331398,23.23962917043682,4.117672293851501,0.5660076252007677,0.003626531187695053,0.4987254216985512,0.0017888745770589264,0.5073627584899473,0.0022383062776745156,0.5169558782515132,0.002503294401951376,0.0,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': False}",23.8743333149323,4.153211444019689,0.0,0.0,0.0,465789.0,4703.0,99.0,0.0,0.8677981471705913,0.7241439157135918,0.7870692215087727,0.8052875297846893,23.270785515010356,4.127849889989011,0.8677980655882511,7.965381872912157e-06,0.724127147265837,9.124115032349202e-06,0.78706037149468,4.8155051559253505e-06,0.8052810806543945,5.721199867395673e-06,0.0,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 4, 'use_weights': True}",31.14700677787914,4.230594736945932,0.0,0.0,0.0,465802.0,4690.0,99.0,0.0,0.5630686342781341,0.48448993837315224,0.5028649081941522,0.5098481688326811,30.30022177355422,4.235080257587834,0.5644032097240654,0.0026202658752318936,0.48435371168438507,6.919655318629414e-05,0.5027478542341707,0.00010858479097289992,0.509717898084569,0.00035419419325108436,0.0,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 4, 'use_weights': False}",30.99903719309077,4.044879080160172,0.0,0.0,0.0,465788.0,4704.0,99.0,0.0,0.8955424117817953,0.7462558259564931,0.8043510686375319,0.8207347501890736,30.048675447194547,4.0004520029920965,0.8954390856010862,0.00032941504389585,0.7454268499449871,0.00042615289784543207,0.8039135535203481,0.0002249140294184391,0.8204210749313722,0.0002042373885335781,0.0,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 2, 'use_weights': True}",21.762719795879093,3.7619987108409987,0.0,0.0,0.0,465778.0,4714.0,99.0,0.0,0.5705958074234262,0.501025718265499,0.5103513343001652,0.5203018554331398,23.2364446965541,3.8580110367314773,0.5660076252007677,0.003626531187695053,0.4987254216985512,0.0017888745770589264,0.5073627584899473,0.0022383062776745156,0.5169558782515132,0.002503294401951376,0.0,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 2, 'use_weights': False}",24.001916841050843,4.149800242943456,0.0,0.0,0.0,465789.0,4703.0,99.0,0.0,0.8677981471705913,0.7241439157135918,0.7870692215087727,0.8052875297846893,22.93462772741477,3.851262526186474,0.8677980655882511,7.965381872912157e-06,0.724127147265837,9.124115032349202e-06,0.78706037149468,4.8155051559253505e-06,0.8052810806543945,5.721199867395673e-06,0.0,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 4, 'use_weights': True}",28.778438074885344,3.8360515169697464,0.0,0.0,0.0,465786.0,4706.0,99.0,0.0,0.5198228018690428,0.48367978731714434,0.4927824282574204,0.4897589722081331,29.799249862560828,3.8782483035320183,0.5214051171191781,0.0025387885008972375,0.48359580948445374,4.4979329432163404e-05,0.4927866982103115,0.00013964837615937007,0.4899511748132291,0.00040301727464430224,0.0,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 4, 'use_weights': False}",31.00283988100273,4.032618614968669,0.0,0.0,0.0,465788.0,4704.0,99.0,0.0,0.8785781155630165,0.7491346882085446,0.8030646320202783,0.8156229767169203,30.320555857892032,3.940712463975069,0.8786296841896087,0.00031782209459988337,0.7483140738219296,0.00041137101981499004,0.8026315299828983,0.00021711248268007323,0.8153324543421319,0.00014845127099936007,0.0,0.0
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 2, 'use_weights': True}",23.519097822041658,3.7668824710926856,0.0,0.0,0.0,465778.0,4714.0,99.0,0.0,0.5705958074234262,0.501025718265499,0.5103513343001652,0.5203018554331398,22.732680684332443,3.6983136206603375,0.5660076252007677,0.003626531187695053,0.4987254216985512,0.0017888745770589264,0.5073627584899473,0.0022383062776745156,0.5169558782515132,0.002503294401951376,0.0,0.0
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 2, 'use_weights': False}",21.636608123058977,3.5785350108126295,0.0,0.0,0.0,465789.0,4703.0,99.0,0.0,0.8677981471705913,0.7241439157135918,0.7870692215087727,0.8052875297846893,22.465191508631687,3.648984388151439,0.8677980655882511,7.965381872912157e-06,0.724127147265837,9.124115032349202e-06,0.78706037149468,4.8155051559253505e-06,0.8052810806543945,5.721199867395673e-06,0.0,0.0
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 4, 'use_weights': True}",30.327314836940786,3.7705040769287734,0.0,0.0,0.0,465802.0,4690.0,99.0,0.0,0.4986619100727311,0.4818230659110777,0.4820118358704916,0.4778025414278028,30.07412011958513,3.7868129202222915,0.5002300901089829,0.002447038213374681,0.48174568698235526,3.920487079441138e-05,0.4819945413685584,0.00017026850205400647,0.47783674034067236,0.0001424681134981626,0.0,0.0
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 4, 'use_weights': False}",28.809071069888887,3.7795665400408325,0.0,0.0,0.0,465788.0,4704.0,99.0,0.0,0.8692311195063633,0.7432886468664022,0.8019210718434793,0.8166065953753536,29.799221948847116,3.8475927978448454,0.8692666421747894,0.00017575835844334934,0.7423622014274487,0.0004764797120108842,0.8014378992411917,0.00024921936116671737,0.8162655323619742,0.00017591954905888882,0.0,0.0
"{'alpha': 0.2, 'beta': 16, 'n_clusters': 2, 'use_weights': True}",23.50748816093983,3.789912408035889,0.0,0.0,0.0,465778.0,4714.0,99.0,0.0,0.5705958074234262,0.501025718265499,0.5103513343001652,0.5203018554331398,22.76333125259989,3.7299095861890237,0.5660076252007677,0.003626531187695053,0.4987254216985512,0.0017888745770589264,0.5073627584899473,0.0022383062776745156,0.5169558782515132,0.002503294401951376,0.0,0.0
"{'alpha': 0.2, 'beta': 16, 'n_clusters': 2, 'use_weights': False}",23.502789162019326,3.8033758110177587,0.0,0.0,0.0,465789.0,4703.0,99.0,0.0,0.8677981471705913,0.7241439157135918,0.7870692215087727,0.8052875297846893,22.815169057775346,3.777411614400626,0.8677980655882511,7.965381872912157e-06,0.724127147265837,9.124115032349202e-06,0.78706037149468,4.8155051559253505e-06,0.8052810806543945,5.721199867395673e-06,0.0,0.0
"{'alpha': 0.2, 'beta': 16, 'n_clusters': 4, 'use_weights': True}",30.451650603936287,3.857219239092956,0.0,0.0,0.0,465802.0,4690.0,99.0,0.0,0.4878471189024822,0.4814918777684295,0.4787597896542009,0.47469858175222424,30.197002111417532,3.907713618062553,0.48901268150245814,0.0023385829520252916,0.48143036332801403,3.268329107214167e-05,0.47888212738270414,0.00010677500969151394,0.47484180127630715,0.00010308552772720504,0.0,0.0
"{'alpha': 0.2, 'beta': 16, 'n_clusters': 4, 'use_weights': False}",30.46508876394364,3.8740563789906446,0.0,0.0,0.0,465788.0,4704.0,99.0,0.0,0.8644138970106255,0.7419989227244074,0.8009829345679194,0.8159443808278994,30.24721463698079,3.8721470123840844,0.864395257592804,7.428555107112352e-05,0.7411384889241216,0.0004316347581301682,0.800530379197675,0.00022701477215001032,0.8156249299783151,0.0001602457215176376,0.0,0.0
"{'alpha': 0.4, 'beta': 2, 'n_clusters': 2, 'use_weights': True}",21.648447770036,3.640364447965112,0.0,0.0,0.0,465778.0,4714.0,99.0,0.0,0.5705958074234262,0.501025718265499,0.5103513343001652,0.5203018554331398,22.802839446206054,3.7514824585363384,0.5660076252007677,0.003626531187695053,0.4987254216985512,0.0017888745770589264,0.5073627584899473,0.0022383062776745156,0.5169558782515132,0.002503294401951376,0.0,0.0
"{'alpha': 0.4, 'beta': 2, 'n_clusters': 2, 'use_weights': False}",23.522300764976535,3.590670285062515,0.0,0.0,0.0,465789.0,4703.0,99.0,0.0,0.8677981471705913,0.7241439157135918,0.7870692215087727,0.8052875297846893,22.772380658418115,3.665661271412682,0.8677980655882511,7.965381872912157e-06,0.724127147265837,9.124115032349202e-06,0.78706037149468,4.8155051559253505e-06,0.8052810806543945,5.721199867395673e-06,0.0,0.0
"{'alpha': 0.4, 'beta': 2, 'n_clusters': 4, 'use_weights': True}",28.717133240897965,3.7123344889478176,0.0,0.0,0.0,465802.0,4690.0,99.0,0.0,0.6120163423167513,0.4896041793444154,0.5081254722651388,0.5212338978876736,29.928278432576917,3.759858505144075,0.6147053434801155,0.002854571529819159,0.4894195456272243,9.552746773449277e-05,0.508017320799118,8.828649715918604e-05,0.5213475574946995,0.0002787244691156407,0.0,0.0
"{'alpha': 0.4, 'beta': 2, 'n_clusters': 4, 'use_weights': False}",30.606380410128622,3.8994436959837913,0.0,0.0,0.0,465788.0,4704.0,99.0,0.0,0.9152367321996135,0.7524646714229668,0.8084363758842107,0.8384957518425312,30.135188912365994,3.814708069829794,0.9154885167703665,0.0003071640885958776,0.7516884866432061,0.00039256250926318663,0.8080871342903428,0.0001918626858288034,0.8386998769194427,0.0004077286102423597,0.0,0.0
"{'alpha': 0.4, 'beta': 4, 'n_clusters': 2, 'use_weights': True}",21.761024733998056,3.6110897139224107,0.0,0.0,0.0,465778.0,4714.0,99.0,0.0,0.5705958074234262,0.501025718265499,0.5103513343001652,0.5203018554331398,22.79967699084664,3.672150447398599,0.5660076252007677,0.003626531187695053,0.4987254216985512,0.0017888745770589264,0.5073627584899473,0.0022383062776745156,0.5169558782515132,0.002503294401951376,0.0,0.0
"{'alpha': 0.4, 'beta': 4, 'n_clusters': 2, 'use_weights': False}",23.43424483578565,3.8096113970241277,0.0,0.0,0.0,465789.0,4703.0,99.0,0.0,0.8677981471705913,0.7241439157135918,0.7870692215087727,0.8052875297846893,22.87797492409154,3.7542972552080753,0.8677980655882511,7.965381872912157e-06,0.724127147265837,9.124115032349202e-06,0.78706037149468,4.8155051559253505e-06,0.8052810806543945,5.721199867395673e-06,0.0,0.0
