,{}
best_classifier_training_time,9.404977291880641
best_classifier_inference_time,4.192613364961289
best_classifier_recall,0.31313131313131315
best_classifier_precision,0.006588735387885228
best_classifier_f1,0.012905911740216484
best_classifier_TN,465818
best_classifier_FP,4674
best_classifier_FN,68
best_classifier_TP,31
best_classifier_auc,0.7778986699244641
best_classifier_p_auc_10,0.7393772821331968
best_classifier_p_auc_20,0.7616522911426968
best_classifier_p_auc_30,0.7710680487358319
training_time_avg,9.404977291880641
inference_time_avg,4.192613364961289
auc_avg,0.7778986699244641
auc_std,0.0
p_auc_10_avg,0.7393772821331968
p_auc_10_std,0.0
p_auc_20_avg,0.7616522911426968
p_auc_20_std,0.0
p_auc_30_avg,0.7710680487358319
p_auc_30_std,0.0
recall_avg,0.31313131313131315
recall_std,0.0
