,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'max_samples': 128, 'n_estimators': 1}",13.129549216864689,3.6673226470084046,0.25252525252525254,0.01827485380116959,0.03408316291751874,469149.0,1343.0,74.0,25.0,0.8299000156895722,0.782003033844235,0.8158467966936503,0.829085776155702,13.167603593913373,3.6686714039897197,0.8170973806315109,0.018748355474984692,0.7342418244206638,0.026935429066232572,0.7753003715806084,0.025070027720784767,0.7920204551736159,0.024086894576080854,0.17777777777777778,0.050140095539357
"{'max_samples': 128, 'n_estimators': 10}",124.09883252882719,9.22383435498341,0.41414141414141414,0.00871413390010627,0.01706910907577019,465828.0,4664.0,58.0,41.0,0.9013129990638642,0.8269960600882275,0.8606574584345371,0.8702783540782911,124.20421677980339,9.242028947116342,0.8843799939663419,0.01296699258864098,0.8172890248932034,0.012076888806045896,0.8456423193761979,0.015243149128573516,0.8557727681573508,0.01459317643514396,0.402020202020202,0.009896928253669416
"{'max_samples': 128, 'n_estimators': 50}",175.61343362009939,32.43182450802851,0.46464646464646464,0.00977683315621679,0.019150707743547043,465833.0,4659.0,53.0,46.0,0.9104696613740338,0.8419231537474613,0.858869701915209,0.8697885106393146,176.83978601391428,32.535559245216426,0.9044311533930911,0.004938344115412579,0.8337092471295549,0.006153859644026791,0.8544828429619244,0.005617412202253899,0.8652279340620106,0.0042289249758160116,0.4424242424242424,0.034639248887842936
"{'max_samples': 128, 'n_estimators': 100}",333.76269590791344,62.04091636679368,0.494949494949495,0.010414452709883103,0.020399666944213156,465836.0,4656.0,50.0,49.0,0.9034189935023531,0.847411396640714,0.8645108404466694,0.8687703057834251,332.6495472787894,62.08059980498219,0.9051721121161197,0.0022831318668611704,0.8387593657373958,0.006154492771771645,0.8582289668585151,0.004485469735171797,0.8675714814992798,0.0023834623258574134,0.4545454545454545,0.023033846971699763
"{'max_samples': 256, 'n_estimators': 1}",13.254772793916345,3.7113907839448075,0.30303030303030304,0.013089005235602094,0.025094102885821833,468230.0,2262.0,69.0,30.0,0.8770832157903563,0.805827494267868,0.8486761554943372,0.8641556415458678,13.265541293170827,3.7212185723139557,0.8470800585537924,0.021220766995515627,0.7776316088836025,0.01725291921290395,0.813288539288569,0.02012845625176781,0.8274812762806831,0.021740494568774464,0.2828282828282828,0.031942198587559395
"{'max_samples': 256, 'n_estimators': 10}",124.65865913009475,9.43964678091288,0.45454545454545453,0.009564293304994687,0.018734388009991675,465832.0,4660.0,54.0,45.0,0.9004917225269536,0.8538943226117279,0.8742762584903719,0.8804142905136558,124.72918985241412,9.468498239187465,0.9038886716222357,0.00834196111288368,0.8409092909101187,0.009749209902987239,0.8645660349550461,0.006565583639200925,0.8725102221114656,0.007276434396422361,0.4444444444444445,0.035569326993250536
"{'max_samples': 256, 'n_estimators': 50}",181.04212691299472,33.458153500876506,0.45454545454545453,0.009564293304994687,0.018734388009991675,465832.0,4660.0,54.0,45.0,0.9116830269315327,0.8485992219539678,0.8683150524007187,0.8758052250641484,182.05952016591036,33.44279539902491,0.9126670387680139,0.003746934066992838,0.8438109397199478,0.003842500511799736,0.8648750089847919,0.0036093664975742927,0.8744434070100668,0.0028783076244769915,0.44848484848484843,0.012121212121212107
"{'max_samples': 256, 'n_estimators': 100}",338.6530476409607,63.83320566397015,0.4444444444444444,0.009351753453772583,0.0183180682764363,465831.0,4661.0,55.0,44.0,0.9169792987817523,0.848179728272773,0.8680774855803691,0.8780982697493624,338.46022894203344,63.84694812299713,0.913145040433496,0.003687098589818802,0.8457414513357296,0.001877382829206624,0.8655787532792882,0.0021943893415288,0.8748715332824284,0.002175404369611801,0.4525252525252525,0.011779700797667268
"{'max_samples': 512, 'n_estimators': 1}",13.295539052123786,3.707314581988612,0.31313131313131315,0.010752688172043012,0.02079141515761234,467640.0,2852.0,68.0,31.0,0.8852878980670738,0.8209859501063289,0.8562622396768353,0.8723738288991882,13.358353565890866,3.717737322299217,0.8630339145516874,0.013204814042873091,0.7951212092782597,0.016362801618848205,0.8295984262046481,0.01553247781817056,0.8436695523089689,0.016069700292706,0.3191919191919192,0.03917317056498043
"{'max_samples': 512, 'n_estimators': 10}",124.94516754095093,9.564600724901538,0.494949494949495,0.010414452709883103,0.020399666944213156,465836.0,4656.0,50.0,49.0,0.900220289493646,0.855687981546825,0.874377103327507,0.8795549312730077,124.90615305937244,9.57873454100336,0.901484128756856,0.0046784242345410225,0.8486759545516851,0.004636935556361767,0.8688837612241198,0.0031285337986466303,0.8757389236267166,0.0024262905627217813,0.4787878787878787,0.017611712903194656
