,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_bins': 6, 'n_random_cuts': 25}",13.491202177174273,3.378906103906047,0.06060606060606061,0.0012834224598930481,0.0025136154168412233,465823.0,4669.0,93.0,6.0,0.6301210308366647,0.5738771999926616,0.5830264036329885,0.5862296474309131,13.491202177174273,3.378906103906047,0.6301210308366647,0.0,0.5738771999926616,0.0,0.5830264036329885,0.0,0.5862296474309131,0.0,0.06060606060606061,0.0
"{'n_bins': 6, 'n_random_cuts': 50}",17.818516140046995,4.027911371107621,0.06060606060606061,0.0012652889076339097,0.002478826688700682,465756.0,4736.0,93.0,6.0,0.6245636847634332,0.5597242798034175,0.5660308878564095,0.5712027486725413,17.818516140046995,4.027911371107621,0.6245636847634332,0.0,0.5597242798034175,0.0,0.5660308878564095,0.0,0.5712027486725413,0.0,0.06060606060606061,0.0
"{'n_bins': 6, 'n_random_cuts': 75}",23.277180149045307,4.992012306051038,0.1111111111111111,0.0023379383634431457,0.004579517069109075,465798.0,4694.0,88.0,11.0,0.6525564320075172,0.5812189213374624,0.6071941163426956,0.6187844235695021,23.277180149045307,4.992012306051038,0.6525564320075172,0.0,0.5812189213374624,0.0,0.6071941163426956,0.0,0.6187844235695021,0.0,0.1111111111111111,0.0
"{'n_bins': 6, 'n_random_cuts': 100}",27.43088714496116,5.653190190023452,0.030303030303030304,0.0006365372374283895,0.0012468827930174563,465782.0,4710.0,96.0,3.0,0.6011022353818831,0.5306628423215897,0.5324604108812979,0.5454323018484889,27.43088714496116,5.653190190023452,0.6011022353818831,0.0,0.5306628423215897,0.0,0.5324604108812979,0.0,0.5454323018484889,0.0,0.030303030303030304,0.0
"{'n_bins': 8, 'n_random_cuts': 25}",13.467444422843982,3.3619991219748044,0.04040404040404041,0.0008453085376162299,0.0016559718484785758,465764.0,4728.0,95.0,4.0,0.6720902069675269,0.5558565650120426,0.5849747425845779,0.601436633522195,13.467444422843982,3.3619991219748044,0.6720902069675269,0.0,0.5558565650120426,0.0,0.5849747425845779,0.0,0.601436633522195,0.0,0.04040404040404041,0.0
"{'n_bins': 8, 'n_random_cuts': 50}",17.964863211840566,4.093596787075512,0.050505050505050504,0.001072961373390558,0.002101281781886951,465837.0,4655.0,94.0,5.0,0.6487816708011738,0.5553572065136443,0.5765124771887905,0.5883455894003051,17.964863211840566,4.093596787075512,0.6487816708011738,0.0,0.5553572065136443,0.0,0.5765124771887905,0.0,0.5883455894003051,0.0,0.050505050505050504,0.0
"{'n_bins': 8, 'n_random_cuts': 75}",23.428984877064067,5.064763285998197,0.09090909090909091,0.0019263698630136985,0.003772793963529658,465829.0,4663.0,90.0,9.0,0.6342437836618398,0.5434831567925391,0.5622338680297158,0.5765131317839347,23.428984877064067,5.064763285998197,0.6342437836618398,0.0,0.5434831567925391,0.0,0.5622338680297158,0.0,0.5765131317839347,0.0,0.09090909090909091,0.0
"{'n_bins': 8, 'n_random_cuts': 100}",27.85464578297251,5.782413022017863,0.09090909090909091,0.0019128586609989374,0.003746877601998335,465796.0,4696.0,90.0,9.0,0.6396354746464844,0.5384453681915644,0.5330055216549922,0.5451530864997919,27.85464578297251,5.782413022017863,0.6396354746464844,0.0,0.5384453681915644,0.0,0.5330055216549922,0.0,0.5451530864997919,0.0,0.09090909090909091,0.0
"{'n_bins': 10, 'n_random_cuts': 25}",13.555862442895886,3.3841667219312512,0.08080808080808081,0.0017039403620873268,0.0033375052148518977,465805.0,4687.0,91.0,8.0,0.6110258468311316,0.5490752420273455,0.5688884345563595,0.5745372226600138,13.555862442895886,3.3841667219312512,0.6110258468311316,0.0,0.5490752420273455,0.0,0.5688884345563595,0.0,0.5745372226600138,0.0,0.08080808080808081,0.0
"{'n_bins': 10, 'n_random_cuts': 50}",17.960363554964715,4.10285685492272,0.13131313131313133,0.0027594990447887924,0.005405405405405407,465794.0,4698.0,86.0,13.0,0.670705056911411,0.5964029541702097,0.6036294630585288,0.6050748017700259,17.960363554964715,4.10285685492272,0.670705056911411,0.0,0.5964029541702097,0.0,0.6036294630585288,0.0,0.6050748017700259,0.0,0.13131313131313133,0.0
