,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': True}",10.031632938987968,3.1917896599825326,0.5252525252525253,0.011045029736618521,0.021635115456625754,465836.0,4656.0,47.0,52.0,0.8549345336070722,0.7759338315786057,0.7896256232210935,0.7922302046795506,10.203088332379412,3.2491562515864643,0.8549345336070722,0.0,0.7759338315786057,0.0,0.7896256232210935,0.0,0.7922302046795506,0.0,0.5252525252525253,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': False}",10.247437197029285,3.2792828590281715,0.5252525252525253,0.011045029736618521,0.021635115456625754,465836.0,4656.0,47.0,52.0,0.8549345336070722,0.7759338315786057,0.7896256232210935,0.7922302046795506,10.203671087992188,3.2519980141991254,0.8549345336070722,0.0,0.7759338315786057,0.0,0.7896256232210935,0.0,0.7922302046795506,0.0,0.5252525252525253,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': True}",10.412786007038449,3.2944259390078514,0.5353535353535354,0.011262218444538886,0.022060353798126948,465839.0,4653.0,46.0,53.0,0.8522339863956724,0.7769019495480978,0.788012117754175,0.7895111343198976,10.154264787206193,3.232012948409465,0.8522339863956724,0.0,0.7769019495480978,0.0,0.788012117754175,0.0,0.7895111343198976,0.0,0.5353535353535354,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': False}",10.358445180985655,3.302752303055968,0.5353535353535354,0.011262218444538886,0.022060353798126948,465839.0,4653.0,46.0,53.0,0.8522339863956724,0.7769019495480978,0.788012117754175,0.7895111343198976,10.122284040789964,3.216600259415645,0.8522339863956724,0.0,0.7769019495480978,0.0,0.788012117754175,0.0,0.7895111343198976,0.0,0.5353535353535354,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': True, 'whiten': True}",10.978946329996688,3.3362623899993196,0.5252525252525253,0.011052072263549416,0.02164862614487927,465839.0,4653.0,47.0,52.0,0.8549345336070722,0.7759338315786057,0.7896256232210935,0.7922302046795506,10.843055934597214,3.2916708642005688,0.8549345336070722,0.0,0.7759338315786057,0.0,0.7896256232210935,0.0,0.7922302046795506,0.0,0.5252525252525253,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': True, 'whiten': False}",11.103005863998987,3.359258730964939,0.5252525252525253,0.011052072263549416,0.02164862614487927,465839.0,4653.0,47.0,52.0,0.8549345336070722,0.7759338315786057,0.7896256232210935,0.7922302046795506,10.934391985995898,3.317106919786602,0.8549345336070722,0.0,0.7759338315786057,0.0,0.7896256232210935,0.0,0.7922302046795506,0.0,0.5252525252525253,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': False, 'whiten': True}",11.063101061043199,3.3594375379980193,0.5353535353535354,0.011262218444538886,0.022060353798126948,465839.0,4653.0,46.0,53.0,0.8522339863956724,0.7769019495480978,0.788012117754175,0.7895111343198976,10.999110835017564,3.3352939093987515,0.8522339863956724,0.0,0.7769019495480978,0.0,0.788012117754175,0.0,0.7895111343198976,0.0,0.5353535353535354,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': False, 'whiten': False}",10.706371614995078,3.2469889679596236,0.5353535353535354,0.011262218444538886,0.022060353798126948,465839.0,4653.0,46.0,53.0,0.8522339863956724,0.7769019495480978,0.788012117754175,0.7895111343198976,10.864910318405965,3.2911942670009013,0.8522339863956724,0.0,0.7769019495480978,0.0,0.788012117754175,0.0,0.7895111343198976,0.0,0.5353535353535354,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': True, 'whiten': True}",16.467166583017388,4.814662520037018,0.5252525252525253,0.011045029736618521,0.021635115456625754,465836.0,4656.0,47.0,52.0,0.8549345336070722,0.7759338315786057,0.7896256232210935,0.7922302046795506,16.042168478794338,4.695980587006124,0.8549345336070722,0.0,0.7759338315786057,0.0,0.7896256232210935,0.0,0.7922302046795506,0.0,0.5252525252525253,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': True, 'whiten': False}",16.11255487395829,4.737253087012505,0.5252525252525253,0.011045029736618521,0.021635115456625754,465836.0,4656.0,47.0,52.0,0.8549345336070722,0.7759338315786057,0.7896256232210935,0.7922302046795506,15.881079154802865,4.673549752194594,0.8549345336070722,0.0,0.7759338315786057,0.0,0.7896256232210935,0.0,0.7922302046795506,0.0,0.5252525252525253,0.0
