,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
auto_encoder_dataset1,3925.49934372116,80.55232820589299,0.0303030303030303,0.0006372132540356,0.0012481797378822,465787.0,4705.0,96.0,3.0,0.9077676113300523,0.8005789299807611,0.8362423210383785,0.8514946811673492,3925.49934372116,80.55232820589299,0.9077676113300523,0.0,0.8005789299807611,0.0,0.8362423210383785,0.0,0.8514946811673492,0.0,0.0303030303030303,0.0
auto_encoder_dataset2,4398.944108311993,80.68407235903294,0.0303030303030303,0.0006376195536663,0.0012489592006661,465790.0,4702.0,96.0,3.0,0.8248645282303666,0.7500383425699232,0.7778876121777454,0.7824304481040785,4398.944108311993,80.68407235903294,0.8248645282303666,0.0,0.7500383425699232,0.0,0.7778876121777454,0.0,0.7824304481040785,0.0,0.0303030303030303,0.0
auto_encoder_dataset3,4961.836028419988,83.88813540403862,0.0303030303030303,0.0006376195536663,0.0012489592006661,465790.0,4702.0,96.0,3.0,0.8870046266633245,0.7974286991025125,0.8292861861069893,0.8437603427611384,4961.836028419988,83.88813540403862,0.8870046266633245,0.0,0.7974286991025125,0.0,0.8292861861069893,0.0,0.8437603427611384,0.0,0.0303030303030303,0.0
auto_encoder_dataset4,3830.492060994021,70.44167733302777,0.0,0.0,0.0,465787.0,4705.0,99.0,0.0,0.914505926184127,0.7557532306956984,0.7984320492053532,0.8325534171064581,3830.492060994021,70.44167733302777,0.914505926184127,0.0,0.7557532306956984,0.0,0.7984320492053532,0.0,0.8325534171064581,0.0,0.0,0.0
auto_encoder_dataset5,4621.833568915019,81.3047680731288,0.0303030303030303,0.0006374840628984,0.001248699271592,465789.0,4703.0,96.0,3.0,0.8742417780244142,0.7584641259828757,0.7969299740034772,0.8179921943869171,4621.833568915019,81.3047680731288,0.8742417780244142,0.0,0.7584641259828757,0.0,0.7969299740034772,0.0,0.8179921943869171,0.0,0.0303030303030303,0.0
auto_encoder_dataset6,5243.173123189044,91.75514568901416,0.0,0.0,0.0,465787.0,4705.0,99.0,0.0,0.9227567990936976,0.7577509358771259,0.8181546634283343,0.8605589253776808,5243.173123189044,91.75514568901416,0.9227567990936976,0.0,0.7577509358771259,0.0,0.8181546634283343,0.0,0.8605589253776808,0.0,0.0,0.0
cblof_dataset1,29.356965819015382,3.827037815000949,0.0202020202020202,0.0004251700680272,0.0008328128253175,465790.0,4702.0,97.0,2.0,0.9238509685584236,0.8054247175950459,0.8458465304695777,0.8748007267149431,30.47373604619861,4.017497685804119,0.9237289729032416,0.0001011166007104,0.8052817564083934,7.454464603148682e-05,0.8457590202897951,8.700758505171156e-05,0.874611874963447,0.0001783567665508,0.0202020202020202,0.0
cblof_dataset2,36.363429500937855,4.004850759984038,0.0202020202020202,0.0004251700680272,0.0008328128253175,465790.0,4702.0,97.0,2.0,0.7794435388804689,0.7477012571133529,0.7706245296551473,0.7744774707101003,35.254911313593404,4.008138778990178,0.7783628176204458,0.0005489955679866,0.7467448228197222,0.0004785180898212,0.7722001852100415,0.0007890815141344,0.7769735030342325,0.0012483813833396,0.0202020202020202,0.0
cblof_dataset3,34.468175829977554,3.942052413942292,0.0202020202020202,0.0004250797024442,0.0008326394671107,465789.0,4703.0,97.0,2.0,0.9245534139761884,0.8041538636065216,0.8436747465530101,0.8657927482197045,33.81317486602929,3.967278481840913,0.921962500548534,0.0025770450468703,0.8035346559046497,0.0003493168095391,0.8416680714573135,0.0011020183146886,0.8645097509982879,0.0006680981846993,0.0202020202020202,0.0
cblof_dataset4,30.44408837502852,3.954079602983256,0.0,0.0,0.0,465788.0,4704.0,99.0,0.0,0.9410195211941044,0.7647394350677409,0.8422590424792376,0.8846818214728953,29.482901823187422,3.833332059017266,0.9409168219092724,7.164325190175205e-05,0.7638069331004879,0.0004665737377546,0.8419329158817469,0.0001973437246236,0.884475811330353,0.0001367235783284,0.0,0.0
cblof_dataset5,31.50282033501572,3.857940743881045,0.0202020202020202,0.0004249893752656,0.0008324661810613,465788.0,4704.0,97.0,2.0,0.794086452548233,0.7387164199799752,0.7526727233395997,0.7484481914935442,31.544074387458387,3.82185171800229,0.7972165393681594,0.0018151928126606,0.7360233259142218,0.0020826307624432,0.7522867052855519,0.0016304042685883,0.749724636870058,0.0013027697261197,0.0202020202020202,0.0
cblof_dataset6,31.49389207908825,3.703505589190172,0.0,0.0,0.0,465786.0,4706.0,99.0,0.0,0.8979394941568581,0.748147135110927,0.8062353582957547,0.8276968557578441,32.100439856507,3.73384095072106,0.8964504575781707,0.0015027674751923,0.747593807973603,0.0003816974477431,0.8054223091708674,0.0006384532985179,0.8265324071904017,0.0014276992095518,0.0,0.0
copod_dataset1,8.90041923501849,3.760291732069163,0.6363636363636364,0.0133928571428571,0.0262336039975015,465851.0,4641.0,36.0,63.0,0.9230205032737276,0.8493447173104796,0.861537295347718,0.8667573267891533,8.90041923501849,3.760291732069163,0.9230205032737276,0.0,0.8493447173104796,0.0,0.861537295347718,0.0,0.8667573267891533,0.0,0.6363636363636364,0.0
copod_dataset2,8.598169394135766,3.6175874480613857,0.3535353535353535,0.007432575918454,0.0145590682196339,465818.0,4674.0,64.0,35.0,0.7677432680185119,0.7396458710840923,0.7600438428266887,0.7664710901392803,8.598169394135766,3.6175874480613857,0.7677432680185119,0.0,0.7396458710840923,0.0,0.7600438428266887,0.0,0.7664710901392803,0.0,0.3535353535353535,0.0
copod_dataset3,9.147332303044095,4.041707785065228,0.5858585858585859,0.012327311370882,0.0241465445462114,465845.0,4647.0,41.0,58.0,0.9127397543959356,0.8449902090570292,0.8575451517938675,0.867301655276046,9.147332303044095,4.041707785065228,0.9127397543959356,0.0,0.8449902090570292,0.0,0.8575451517938675,0.0,0.867301655276046,0.0,0.5858585858585859,0.0
copod_dataset4,9.409480103007809,4.220913697950891,0.6464646464646465,0.0136025504782146,0.0266444629475437,465851.0,4641.0,35.0,64.0,0.9626571651579516,0.8809449813986163,0.9049109639442028,0.9267787552116696,9.409480103007809,4.220913697950891,0.9626571651579516,0.0,0.8809449813986163,0.0,0.9049109639442028,0.0,0.9267787552116696,0.0,0.6464646464646465,0.0
copod_dataset5,9.40497729188064,4.192613364961289,0.3131313131313131,0.0065887353878852,0.0129059117402164,465818.0,4674.0,68.0,31.0,0.7778986699244641,0.7393772821331968,0.7616522911426968,0.7710680487358319,9.40497729188064,4.192613364961289,0.7778986699244641,0.0,0.7393772821331968,0.0,0.7616522911426968,0.0,0.7710680487358319,0.0,0.3131313131313131,0.0
copod_dataset6,10.5567368068223,5.0689840180493775,0.6666666666666666,0.0140157145890847,0.0274542429284525,465849.0,4643.0,33.0,66.0,0.9616318576290266,0.8802128307434511,0.9030477795419602,0.9249508056384064,10.5567368068223,5.0689840180493775,0.9616318576290266,0.0,0.8802128307434511,0.0,0.9030477795419602,0.0,0.9249508056384064,0.0,0.6666666666666666,0.0
deep_svdd_dataset1,3391.1369968810177,85.96042134896561,0.494949494949495,0.0104144527098831,0.0203996669442131,465836.0,4656.0,50.0,49.0,0.9333157974240076,0.8497673861492342,0.8778707060268349,0.89566011451362,3391.1369968810177,85.96042134896561,0.9333157974240076,0.0,0.8497673861492342,0.0,0.8778707060268349,0.0,0.89566011451362,0.0,0.494949494949495,0.0
deep_svdd_dataset2,3140.3133384000103,82.44141983626469,0.5252525252525253,0.0110544217687074,0.0216531334582552,465840.0,4652.0,47.0,52.0,0.7963028837124465,0.7679251463543114,0.7798932138215979,0.7816547802207369,3140.3133384000103,82.44141983626469,0.7963028837124465,0.0,0.7679251463543114,0.0,0.7798932138215979,0.0,0.7816547802207369,0.0,0.5252525252525253,0.0
deep_svdd_dataset3,2577.53102192,64.51372070199795,0.6363636363636364,0.0133900106269925,0.0262281432139883,465850.0,4642.0,36.0,63.0,0.9090902113472106,0.8534852357636749,0.8696556804452369,0.8769356372098633,2577.53102192,64.51372070199795,0.9090902113472106,0.0,0.8534852357636749,0.0,0.8696556804452369,0.0,0.8769356372098633,0.0,0.6363636363636364,0.0
deep_svdd_dataset4,3316.1617462059944,78.66235099099367,0.0303030303030303,0.0006374840628984,0.001248699271592,465789.0,4703.0,96.0,3.0,0.8816585359130183,0.7487764716784104,0.7956428754242532,0.8193141229704707,3316.1617462059944,78.66235099099367,0.8816585359130183,0.0,0.7487764716784104,0.0,0.7956428754242532,0.0,0.8193141229704707,0.0,0.0303030303030303,0.0
deep_svdd_dataset5,3045.49512469185,80.14346649294748,0.5252525252525253,0.0110520722635494,0.0216486261448792,465839.0,4653.0,47.0,52.0,0.8267207626282808,0.771106744625395,0.788821244008934,0.7934955265691901,3045.49512469185,80.14346649294748,0.8267207626282808,0.0,0.771106744625395,0.0,0.788821244008934,0.0,0.7934955265691901,0.0,0.5252525252525253,0.0
deep_svdd_dataset6,3501.296184540937,85.82601258809154,0.2525252525252525,0.0053879310344827,0.0105507491031863,465877.0,4615.0,74.0,25.0,0.8761414872220157,0.772679001292766,0.8252124363584992,0.8499223310022118,3501.296184540937,85.82601258809154,0.8761414872220157,0.0,0.772679001292766,0.0,0.8252124363584992,0.0,0.8499223310022118,0.0,0.2525252525252525,0.0
ecod_dataset1,8.570522399095353,3.614167415042175,0.7272727272727273,0.0153028692879914,0.0299750208159866,465859.0,4633.0,27.0,72.0,0.8998882601037367,0.8723095810892371,0.8727845420987919,0.8705501268275356,8.570522399095353,3.614167415042175,0.8998882601037367,0.0,0.8723095810892371,0.0,0.8727845420987919,0.0,0.8705501268275356,0.0,0.7272727272727273,0.0
ecod_dataset2,8.604985474907153,3.6045739323526496,0.2222222222222222,0.0046748831279218,0.0091571279916753,465808.0,4684.0,77.0,22.0,0.7531794462826233,0.7302627833165407,0.751016917906401,0.7566771765095321,8.604985474907153,3.6045739323526496,0.7531794462826233,0.0,0.7302627833165407,0.0,0.751016917906401,0.0,0.7566771765095321,0.0,0.2222222222222222,0.0
ecod_dataset3,9.011821910913568,4.015944530059642,0.7070707070707071,0.0148777895855472,0.0291423813488759,465857.0,4635.0,29.0,70.0,0.8978209528697103,0.8688691679287861,0.869849635302608,0.8665367597976816,9.011821910913568,4.015944530059642,0.8978209528697103,0.0,0.8688691679287861,0.0,0.869849635302608,0.0,0.8665367597976816,0.0,0.7070707070707071,0.0
ecod_dataset4,9.41870663606096,4.230876666064432,0.6363636363636364,0.0133900106269925,0.0262281432139883,465850.0,4642.0,36.0,63.0,0.94459123898413,0.8723116488964737,0.8878443081284646,0.8996145595612687,9.41870663606096,4.230876666064432,0.94459123898413,0.0,0.8723116488964737,0.0,0.8878443081284646,0.0,0.8996145595612687,0.0,0.6363636363636364,0.0
ecod_dataset5,9.6902854659711,4.325235005926515,0.2323232323232323,0.0048884165781083,0.0095753538717735,465810.0,4682.0,76.0,23.0,0.748764575007104,0.7128442418255501,0.7463092948439494,0.7571462539173437,9.6902854659711,4.325235005926515,0.748764575007104,0.0,0.7128442418255501,0.0,0.7463092948439494,0.0,0.7571462539173437,0.0,0.2323232323232323,0.0
ecod_dataset6,10.23247362497932,4.917019313870696,0.6464646464646465,0.0136025504782146,0.0266444629475437,465851.0,4641.0,35.0,64.0,0.9445968638717932,0.8684295385508942,0.8844152974120468,0.8980794266030097,10.23247362497932,4.917019313870696,0.9445968638717932,0.0,0.8684295385508942,0.0,0.8844152974120468,0.0,0.8980794266030097,0.0,0.6464646464646465,0.0
isolation_forest_dataset1,340.9270837170334,63.53212194499429,0.5151515151515151,0.0108395324123273,0.0212323064113238,465838.0,4654.0,48.0,51.0,0.9108378553565718,0.8585476346606129,0.872095928704401,0.877780439601582,341.6231848542164,63.67072436061062,0.9096406130457716,0.0017248858080258,0.857677551093223,0.0006042723998812,0.8700844588571336,0.0011246908121909,0.875668757762646,0.0012761389483946,0.509090909090909,0.008080808080808
isolation_forest_dataset2,350.17371457704576,66.42529743399064,0.3636363636363636,0.0076514346439957,0.0149875104079933,465823.0,4669.0,63.0,36.0,0.7616497649526904,0.7935848827390358,0.8153011123546932,0.8177057511291361,348.50119025639,66.19044585750962,0.7630581831509796,0.0011565178008985,0.7906480382681108,0.0028184022500306,0.813050698090543,0.0019541972629762,0.8159716262985881,0.0018456834956904,0.3575757575757575,0.0121212121212121
isolation_forest_dataset3,352.8666843622632,66.51005671794701,0.494949494949495,0.0104144527098831,0.0203996669442131,465836.0,4656.0,50.0,49.0,0.9050022168927484,0.8557538914900549,0.872509028755752,0.8782758018459219,354.8288150842069,66.85010942868249,0.9056594184621868,0.0009655411859463,0.8540006937798366,0.0014702958039395,0.8707633670541293,0.0012666550455999,0.8769176318442643,0.0009324418183206,0.4666666666666666,0.0161616161616161
isolation_forest_dataset4,341.32196365300024,62.92493700900377,0.4848484848484848,0.0102019128586609,0.0199833472106577,465835.0,4657.0,51.0,48.0,0.956876294207216,0.8585420414115303,0.8943757795466929,0.9164880270203808,341.04061246980257,62.94384846358989,0.953752409792045,0.0017565582758668,0.8550625568638516,0.0018423598199119,0.8883454860963511,0.0035059218856887,0.9123460924526744,0.0025997558885683,0.4888888888888889,0.008080808080808
isolation_forest_dataset5,332.6738132910025,59.51027336601123,0.3636363636363636,0.0076514346439957,0.0149875104079933,465823.0,4669.0,63.0,36.0,0.7657008648672695,0.7940347155591936,0.8155385241208876,0.8183955639130223,332.9432783709997,59.67617163979762,0.7650313400706606,0.0019481177283829,0.7917370675934275,0.0017007788571099,0.814181721542527,0.0009399228088919,0.8171144702795428,0.0009650781346523,0.3454545454545454,0.0117797007976672
