,"{'hidden_activation': 'tanh', 'hidden_neurons': [8, 4, 4, 8]}"
best_classifier_training_time,5554.593000967077
best_classifier_inference_time,111.08662450096745
best_classifier_recall,0.0707070707070707
best_classifier_precision,0.0016383850204798127
best_classifier_f1,0.0032025620496397116
best_classifier_TN,846130
best_classifier_FP,8531
best_classifier_FN,184
best_classifier_TP,14
best_classifier_auc,0.6620798223275697
best_classifier_p_auc_10,0.5512089216758455
best_classifier_p_auc_20,0.5631736757379946
best_classifier_p_auc_30,0.5904535831536127
training_time_avg,5554.593000967077
inference_time_avg,111.08662450096745
auc_avg,0.6620798223275697
auc_std,0.0
p_auc_10_avg,0.5512089216758455
p_auc_10_std,0.0
p_auc_20_avg,0.5631736757379946
p_auc_20_std,0.0
p_auc_30_avg,0.5904535831536127
p_auc_30_std,0.0
recall_avg,0.0707070707070707
recall_std,0.0
