,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': True}",26.61207795196242,6.816709813927446,0.0,0.0,0.0,846068.0,8593.0,198.0,0.0,0.5274362695805233,0.4987947756903426,0.4936402469043091,0.4781805981317009,26.870288540964246,6.8598842639687065,0.5308243221108674,0.005237226890309342,0.4981074118682326,0.0004845210261734766,0.49210011104737,0.00184249511042163,0.4771243424435605,0.002969239244366769,0.0,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': False}",25.127656056061824,6.784035045016935,0.11616161616161616,0.0026759744037230947,0.0052314340953030815,846089.0,8572.0,175.0,23.0,0.6084528328374135,0.539330494818294,0.5158224820195083,0.4902934610828425,26.131284576227337,6.796749446212925,0.5946546027895826,0.008689468071805548,0.5257575104746273,0.008362777002623691,0.5016521167099194,0.008928532725391666,0.4753634386035592,0.009483420527306788,0.0888888888888889,0.015842815294301132
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 3, 'use_weights': True}",34.28927272298097,7.028468245003751,0.0,0.0,0.0,846090.0,8571.0,198.0,0.0,0.4996329899317751,0.4918586319230305,0.47489542952539393,0.4493518708713216,33.468734604809285,6.891989395392739,0.4998353928243674,0.0004379197403925904,0.49175203317242644,0.00016685513226855688,0.4748206366438624,0.00011588315913779024,0.44930525315386544,9.281737056653253e-05,0.0,0.0
"{'alpha': 0.2, 'beta': 2, 'n_clusters': 3, 'use_weights': False}",32.58920964097342,6.851828835886408,0.03535353535353535,0.0007963594994311718,0.001557632398753894,845878.0,8783.0,191.0,7.0,0.6087232277186541,0.49314993735191365,0.4662529580926076,0.43652531403457345,33.723782246606426,6.877443167358433,0.6088609017747588,0.0004471067850058938,0.4931476793518862,2.0157889209867835e-06,0.4662592778317414,6.767713007869061e-06,0.43656400624877356,3.708035810358821e-05,0.03535353535353535,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 2, 'use_weights': True}",26.677880954986904,7.029928574043879,0.0,0.0,0.0,846068.0,8593.0,198.0,0.0,0.5274362695805233,0.4987947756903426,0.4936402469043091,0.4781805981317009,25.838634467414522,6.808609593610891,0.5308243221108674,0.005237226890309342,0.4981074118682326,0.0004845210261734766,0.49210011104737,0.00184249511042163,0.4771243424435605,0.002969239244366769,0.0,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 2, 'use_weights': False}",26.269224161042075,6.73756343608693,0.11616161616161616,0.0026759744037230947,0.0052314340953030815,846089.0,8572.0,175.0,23.0,0.6084528328374135,0.539330494818294,0.5158224820195083,0.4902934610828425,26.02849230781794,6.760637925596529,0.5946546027895826,0.008689468071805548,0.5257575104746273,0.008362777002623691,0.5016521167099194,0.008928532725391666,0.4753634386035592,0.009483420527306788,0.0888888888888889,0.015842815294301132
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 3, 'use_weights': True}",33.357474932898185,6.881755094982509,0.0,0.0,0.0,846111.0,8550.0,198.0,0.0,0.4976702825016367,0.4912524553316572,0.47438760155244625,0.44889127631001824,33.485713956188555,6.901123707772785,0.49711470041302575,0.00041004858156579307,0.4912063311713181,3.060965808002824e-05,0.4743549720006272,1.8967108842398066e-05,0.44884258173992525,2.5921992726979002e-05,0.0,0.0
"{'alpha': 0.2, 'beta': 4, 'n_clusters': 3, 'use_weights': False}",32.20858648501235,6.669288973927905,0.03535353535353535,0.0008368200836820083,0.0016349410253415858,846303.0,8358.0,191.0,7.0,0.604416256884604,0.4931441523931658,0.4662481977696236,0.4364845405646791,33.6391181662133,6.763317901782284,0.6049221021994438,0.00046588800062711514,0.49314206856393944,2.0017661392744354e-06,0.46625479327919245,6.411599574609533e-06,0.4365144811230176,2.633920136616403e-05,0.03535353535353535,0.0
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 2, 'use_weights': True}",26.843620295006986,6.671133228021063,0.0,0.0,0.0,846068.0,8593.0,198.0,0.0,0.5274362695805233,0.4987947756903426,0.4936402469043091,0.4781805981317009,26.129607767226844,6.771665587423195,0.5308243221108674,0.005237226890309342,0.4981074118682326,0.0004845210261734766,0.49210011104737,0.00184249511042163,0.4771243424435605,0.002969239244366769,0.0,0.0
"{'alpha': 0.2, 'beta': 8, 'n_clusters': 2, 'use_weights': False}",25.081752844962466,6.649710460049391,0.11616161616161616,0.0026759744037230947,0.0052314340953030815,846089.0,8572.0,175.0,23.0,0.6084528328374135,0.539330494818294,0.5158224820195083,0.4902934610828425,25.904614538794704,6.709859950020473,0.5946546027895826,0.008689468071805548,0.5257575104746273,0.008362777002623691,0.5016521167099194,0.008928532725391666,0.4753634386035592,0.009483420527306788,0.0888888888888889,0.015842815294301132
