,{}
best_classifier_training_time,13.834759484952883
best_classifier_inference_time,7.747642346026623
best_classifier_recall,0.05555555555555555
best_classifier_precision,0.00129808827000236
best_classifier_f1,0.00253690036900369
best_classifier_TN,846198
best_classifier_FP,8463
best_classifier_FN,187
best_classifier_TP,11
best_classifier_auc,0.5239715755218393
best_classifier_p_auc_10,0.5133255843624295
best_classifier_p_auc_20,0.5111730138259175
best_classifier_p_auc_30,0.4968774848516641
training_time_avg,13.834759484952883
inference_time_avg,7.747642346026623
auc_avg,0.5239715755218393
auc_std,0.0
p_auc_10_avg,0.5133255843624295
p_auc_10_std,0.0
p_auc_20_avg,0.5111730138259175
p_auc_20_std,0.0
p_auc_30_avg,0.4968774848516641
p_auc_30_std,0.0
recall_avg,0.05555555555555555
recall_std,0.0
