,"{'hidden_activation': 'relu', 'hidden_neurons': [64, 32], 'use_ae': False}"
best_classifier_training_time,3180.883517837974
best_classifier_inference_time,91.83215468504204
best_classifier_recall,0.35858585858585856
best_classifier_precision,0.00858836337244466
best_classifier_f1,0.016774955699940936
best_classifier_TN,846465
best_classifier_FP,8196
best_classifier_FN,127
best_classifier_TP,71
best_classifier_auc,0.8098540759955637
best_classifier_p_auc_10,0.7363289172183669
best_classifier_p_auc_20,0.7658122240159251
best_classifier_p_auc_30,0.7816680080383949
training_time_avg,3180.883517837974
inference_time_avg,91.83215468504204
auc_avg,0.8098540759955637
auc_std,0.0
p_auc_10_avg,0.7363289172183669
p_auc_10_std,0.0
p_auc_20_avg,0.7658122240159251
p_auc_20_std,0.0
p_auc_30_avg,0.7816680080383949
p_auc_30_std,0.0
recall_avg,0.35858585858585856
recall_std,0.0
