,{}
best_classifier_training_time,13.939993376014172
best_classifier_inference_time,7.674736056244001
best_classifier_recall,0.7828282828282829
best_classifier_precision,0.018220289173621722
best_classifier_f1,0.035611717403790925
best_classifier_TN,846309
best_classifier_FP,8352
best_classifier_FN,43
best_classifier_TP,155
best_classifier_auc,0.9638658816569707
best_classifier_p_auc_10,0.8936158184922192
best_classifier_p_auc_20,0.9213847941476987
best_classifier_p_auc_30,0.9333928088125574
training_time_avg,13.939993376014172
inference_time_avg,7.674736056244001
auc_avg,0.9638658816569707
auc_std,0.0
p_auc_10_avg,0.8936158184922192
p_auc_10_std,0.0
p_auc_20_avg,0.9213847941476987
p_auc_20_std,0.0
p_auc_30_avg,0.9333928088125574
p_auc_30_std,0.0
recall_avg,0.7828282828282829
recall_std,0.0
