,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'max_samples': 128, 'n_estimators': 1}",17.91225617494638,6.20670289600821,0.1666666666666666,0.0295169946332737,0.0501519756838905,853576.0,1085.0,165.0,33.0,0.7076392324446816,0.6621676743906185,0.6792342568348104,0.6868729766052591,17.801485299224442,6.177794409447233,0.6750672412036393,0.0199962750337716,0.6369877774290567,0.0136379988105479,0.6507950436688459,0.0151650238826582,0.6595380090345448,0.0149235506857169,0.1747474747474747,0.0103996264050373
"{'max_samples': 128, 'n_estimators': 10}",128.45460073101276,11.679757208170486,0.3939393939393939,0.016155758077879,0.0310385992837246,849911.0,4750.0,120.0,78.0,0.8295397180279608,0.7103126732196652,0.7398220703021281,0.7572148468427469,129.3883765170307,11.723939365790285,0.8188791015597785,0.0087726297462949,0.6919499495495924,0.0157492734145983,0.7218043265993856,0.0140739025560189,0.7417731682411238,0.0118524246151757,0.3545454545454545,0.0298621121193827
"{'max_samples': 128, 'n_estimators': 50}",200.170939765987,34.22433967576944,0.4242424242424242,0.0167765128819652,0.0322766570605187,849738.0,4923.0,114.0,84.0,0.846076072527262,0.7174844451992011,0.7453208474171757,0.7616344828768992,209.49373086144624,34.419472320534986,0.8429573234181728,0.0035155792530979,0.7033473247412549,0.0084296518771995,0.7378102287879381,0.0049491409505465,0.7579972420958909,0.0040280096608055,0.3777777777777777,0.0262237474459538
"{'max_samples': 128, 'n_estimators': 100}",388.1967898589646,64.67103783783386,0.3939393939393939,0.015531660692951,0.0298850574712643,849717.0,4944.0,120.0,78.0,0.8385582444709397,0.7065022110880551,0.7340949716818629,0.7537071442411414,389.328941379035,65.02501951774612,0.8427624106475722,0.0038329040464842,0.700306461175452,0.0081675238815823,0.7348256290604972,0.0075591922569395,0.7551998312069884,0.0058288641594526,0.3808080808080808,0.012616157572522
"{'max_samples': 256, 'n_estimators': 1}",18.70273558703775,6.542647324808058,0.2727272727272727,0.0271629778672032,0.0494053064958828,852727.0,1934.0,144.0,54.0,0.732525923592908,0.7079371110117927,0.716274068975998,0.7221650305625051,18.27324102204293,6.3868204395461365,0.747261661038527,0.0093261737530297,0.6849973354448906,0.0152230212175127,0.6997841660366724,0.0122384710101928,0.7128256061703151,0.0094889495597282,0.2353535353535353,0.0380098741863167
"{'max_samples': 256, 'n_estimators': 10}",128.86584175301687,11.876856369970485,0.3838383838383838,0.0150913423351866,0.0290408865112724,849701.0,4960.0,122.0,76.0,0.8338899395151523,0.7093915149550505,0.739781671574901,0.7570750474540261,129.14776500311274,11.982740348791411,0.8268332671897944,0.0086389857225271,0.7019222312556531,0.0080530950042697,0.7295172806231186,0.0079298616541399,0.7456974234751348,0.0089577083907108,0.3818181818181818,0.0233855290965459
"{'max_samples': 256, 'n_estimators': 50}",227.150312981139,35.0940630621335,0.4090909090909091,0.0154698242933537,0.0298122929701877,849506.0,5155.0,117.0,81.0,0.8564762383960872,0.7236749077839164,0.7611960846491848,0.778442997941379,230.3457083940826,35.1315277754562,0.8477330878393404,0.0044981352398855,0.7099537557177917,0.0069421096510088,0.7460663277849858,0.0087362096277159,0.7643852769753049,0.0079981622935593,0.4,0.0140690790678627
"{'max_samples': 256, 'n_estimators': 100}",390.1858292850957,65.00913273192418,0.3838383838383838,0.0143018441851712,0.0275761973875181,849423.0,5238.0,122.0,76.0,0.8516603026926418,0.7117031782503023,0.7512376514743144,0.7697556626370301,380.3145847620617,64.45226244417282,0.8480682972428821,0.002280685959143,0.7074737047141617,0.0034476119488633,0.7450957291168789,0.0048813143495685,0.7642856659133288,0.0044863845947761,0.392929292929293,0.0049484641268347
"{'max_samples': 512, 'n_estimators': 1}",17.381844321040262,6.018831726069038,0.2878787878787879,0.0185064935064935,0.034777303233679,851638.0,3023.0,141.0,57.0,0.8224304044752152,0.7405038317510908,0.7525781797659771,0.7726777887353422,17.485305586180765,6.054559050398529,0.7996138282200826,0.0132824722131703,0.7120450494070653,0.0156771744390944,0.7224531622333792,0.0164998011390399,0.7433911432773176,0.0167825213814305,0.2737373737373737,0.0262237474459538
"{'max_samples': 512, 'n_estimators': 10}",129.05220602092595,11.868967807022273,0.3939393939393939,0.0148430066603235,0.0286081056299284,849484.0,5177.0,120.0,78.0,0.844128998326101,0.7218617430925063,0.7524488844692606,0.7703656320781225,129.0043540300059,11.918315820548742,0.8428983290309009,0.0043729551207526,0.7151201481099226,0.0090005613490373,0.746150213868311,0.0073078410355819,0.7645467783385556,0.0084334235169429,0.3838383838383838,0.033041267138982
"{'max_samples': 512, 'n_estimators': 50}",234.52107220100152,35.12741742709477,0.4090909090909091,0.0150922302962548,0.02911051212938,849375.0,5286.0,117.0,81.0,0.8570578500620938,0.720825678752118,0.765164889032715,0.7849257177885378,237.2301924209838,35.12546803126607,0.8535816256475677,0.0052946746830795,0.714110061344505,0.0043640494206543,0.7558410584544143,0.0079789075989914,0.7753491456536565,0.0096946673251121,0.402020202020202,0.0093672914095916
"{'max_samples': 512, 'n_estimators': 100}",333.77780017600014,60.97007143600155,0.3888888888888889,0.014264542423119675,0.027519656897784132,849340.0,5321.0,121.0,77.0,0.8560895205907088,0.7199529244192198,0.7615382418918557,0.7776936091649382,333.77780017600014,60.97007143600155,0.8560895205907088,0.0,0.7199529244192198,0.0,0.7615382418918557,0.0,0.7776936091649382,0.0,0.3888888888888889,0.0
"{'max_samples': 1024, 'n_estimators': 1}",14.963450814000453,4.7342355779998115,0.25252525252525254,0.012893243940175348,0.02453385672227674,850833.0,3828.0,148.0,50.0,0.812679089998694,0.7113700828137559,0.7217786897978811,0.7495829614670404,14.963450814000453,4.7342355779998115,0.812679089998694,0.0,0.7113700828137559,0.0,0.7217786897978811,0.0,0.7495829614670404,0.0,0.25252525252525254,0.0
"{'max_samples': 1024, 'n_estimators': 10}",125.23570938799844,10.479491370997607,0.398989898989899,0.015082092401680031,0.029065489330389993,849502.0,5159.0,119.0,79.0,0.8420155961417934,0.7180808713359108,0.7474333917584517,0.7673077655147602,125.23570938799844,10.479491370997607,0.8420155961417934,0.0,0.7180808713359108,0.0,0.7474333917584517,0.0,0.7673077655147602,0.0,0.398989898989899,0.0
"{'max_samples': 1024, 'n_estimators': 50}",184.85058398700085,33.08197729099652,0.4090909090909091,0.01487603305785124,0.028708133971291867,849297.0,5364.0,117.0,81.0,0.849148937178577,0.7157446406271379,0.7545978961675751,0.7759709766995491,184.85058398700085,33.08197729099652,0.849148937178577,0.0,0.7157446406271379,0.0,0.7545978961675751,0.0,0.7759709766995491,0.0,0.4090909090909091,0.0
"{'max_samples': 1024, 'n_estimators': 100}",337.8582185620012,61.22316451500296,0.3939393939393939,0.014246575342465753,0.027498677948175565,849264.0,5397.0,120.0,78.0,0.8469672759022572,0.7082191215303643,0.7481798957598524,0.7671959220642058,337.8582185620012,61.22316451500296,0.8469672759022572,0.0,0.7082191215303643,0.0,0.7481798957598524,0.0,0.7671959220642058,0.0,0.3939393939393939,0.0
"{'max_samples': 2048, 'n_estimators': 1}",14.830404528995587,4.660942755000406,0.25757575757575757,0.012099644128113879,0.023113528212100613,850497.0,4164.0,147.0,51.0,0.8062146094690578,0.7160216001924802,0.7273779753875176,0.7506581197121864,14.830404528995587,4.660942755000406,0.8062146094690578,0.0,0.7160216001924802,0.0,0.7273779753875176,0.0,0.7506581197121864,0.0,0.25757575757575757,0.0
"{'max_samples': 2048, 'n_estimators': 10}",125.40519592899955,10.34050840399982,0.398989898989899,0.015053353658536585,0.029012118986412046,849492.0,5169.0,119.0,79.0,0.8396114088072654,0.7194487683745382,0.7482591781184049,0.766251285502434,125.40519592899955,10.34050840399982,0.8396114088072654,0.0,0.7194487683745382,0.0,0.7482591781184049,0.0,0.766251285502434,0.0,0.398989898989899,0.0
"{'max_samples': 2048, 'n_estimators': 50}",182.33435382600942,32.97570622800231,0.4090909090909091,0.014854208692462864,0.028667492479207222,849289.0,5372.0,117.0,81.0,0.8489698390545042,0.715923650888262,0.7574475256367064,0.7794871725670707,182.33435382600942,32.97570622800231,0.8489698390545042,0.0,0.715923650888262,0.0,0.7574475256367064,0.0,0.7794871725670707,0.0,0.4090909090909091,0.0
"{'max_samples': 2048, 'n_estimators': 100}",334.0940797640037,61.38335468099149,0.3939393939393939,0.01422060164083865,0.02745029033960936,849254.0,5407.0,120.0,78.0,0.8446422061206168,0.708159623540662,0.7494509791466324,0.7686935061568017,334.0940797640037,61.38335468099149,0.8446422061206168,0.0,0.708159623540662,0.0,0.7494509791466324,0.0,0.7686935061568017,0.0,0.3939393939393939,0.0
"{'max_samples': 4096, 'n_estimators': 1}",14.762035232996368,4.640552425994429,0.25757575757575757,0.012062440870387891,0.023045639403524627,850484.0,4177.0,147.0,51.0,0.811516915579228,0.7161185138024708,0.7278075534995531,0.7511318886846039,14.762035232996368,4.640552425994429,0.811516915579228,0.0,0.7161185138024708,0.0,0.7278075534995531,0.0,0.7511318886846039,0.0,0.25757575757575757,0.0
"{'max_samples': 4096, 'n_estimators': 10}",125.13509586099644,10.407327663003343,0.398989898989899,0.01503902531886541,0.028985507246376812,849487.0,5174.0,119.0,79.0,0.840670290455644,0.719401104668726,0.7483573802985828,0.7664302292298243,125.13509586099644,10.407327663003343,0.840670290455644,0.0,0.719401104668726,0.0,0.7483573802985828,0.0,0.7664302292298243,0.0,0.398989898989899,0.0
"{'max_samples': 4096, 'n_estimators': 50}",182.04511106499967,33.095493626994084,0.4090909090909091,0.01487330150569225,0.02870304748405386,849296.0,5365.0,117.0,81.0,0.8494868347529227,0.7158798127196863,0.7575668209721751,0.7796400803210453,182.04511106499967,33.095493626994084,0.8494868347529227,0.0,0.7158798127196863,0.0,0.7575668209721751,0.0,0.7796400803210453,0.0,0.4090909090909091,0.0
"{'max_samples': 4096, 'n_estimators': 100}",334.12482716101067,61.19946116600386,0.3939393939393939,0.014207650273224045,0.02742616033755274,849249.0,5412.0,120.0,78.0,0.8451419730611129,0.708050331363028,0.7495071345429363,0.7688411707964145,334.12482716101067,61.19946116600386,0.8451419730611129,0.0,0.708050331363028,0.0,0.7495071345429363,0.0,0.7688411707964145,0.0,0.3939393939393939,0.0
