,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_bins': 6, 'n_random_cuts': 25}",19.263165963003075,6.842357334999633,0.005050505050505051,0.00012196609342602757,0.00023818030248898416,846463.0,8198.0,197.0,1.0,0.7559360561164786,0.48985168355433906,0.5264681597405917,0.5802348146738289,19.263165963003075,6.842357334999633,0.7559360561164786,0.0,0.48985168355433906,0.0,0.5264681597405917,0.0,0.5802348146738289,0.0,0.005050505050505051,0.0
"{'n_bins': 6, 'n_random_cuts': 50}",24.306207983999457,7.774092078000422,0.015151515151515152,0.0003538153084090105,0.0006914832315316355,846185.0,8476.0,195.0,3.0,0.7671975416940965,0.4947909964103827,0.5432340813082417,0.60519506555785,24.306207983999457,7.774092078000422,0.7671975416940965,0.0,0.4947909964103827,0.0,0.5432340813082417,0.0,0.60519506555785,0.0,0.015151515151515152,0.0
"{'n_bins': 6, 'n_random_cuts': 75}",30.437146383000368,8.87100298999917,0.005050505050505051,0.00011186933661483388,0.0002188902265513845,845723.0,8938.0,197.0,1.0,0.7640784953438742,0.4857286625897375,0.5330557835881584,0.6062512829152426,30.437146383000368,8.87100298999917,0.7640784953438742,0.0,0.4857286625897375,0.0,0.5330557835881584,0.0,0.6062512829152426,0.0,0.005050505050505051,0.0
"{'n_bins': 6, 'n_random_cuts': 100}",36.78020061400082,10.07072592900056,0.020202020202020204,0.0004589261128958238,0.0008974646623289208,845949.0,8712.0,194.0,4.0,0.7667777875755074,0.4966302089671226,0.541297982442093,0.6103836399431413,36.78020061400082,10.07072592900056,0.7667777875755074,0.0,0.4966302089671226,0.0,0.541297982442093,0.0,0.6103836399431413,0.0,0.020202020202020204,0.0
"{'n_bins': 8, 'n_random_cuts': 25}",17.58415861699916,6.260377131997416,0.015151515151515152,0.00036310820624546115,0.0007092198581560284,846402.0,8259.0,195.0,3.0,0.7740096436605929,0.5077012266440836,0.5665117127037896,0.6245594916939462,17.58415861699916,6.260377131997416,0.7740096436605929,0.0,0.5077012266440836,0.0,0.5665117127037896,0.0,0.6245594916939462,0.0,0.015151515151515152,0.0
"{'n_bins': 8, 'n_random_cuts': 50}",24.3538979779986,7.78139777000149,0.005050505050505051,0.00011701380762930026,0.00022872827081427263,846116.0,8545.0,197.0,1.0,0.7700530568922247,0.509719113561117,0.5523209256085995,0.6162350471079828,24.3538979779986,7.78139777000149,0.7700530568922247,0.0,0.509719113561117,0.0,0.5523209256085995,0.0,0.6162350471079828,0.0,0.005050505050505051,0.0
"{'n_bins': 8, 'n_random_cuts': 75}",30.65694581599655,8.976010560998702,0.015151515151515152,0.00035456801796477955,0.000692920660584363,846203.0,8458.0,195.0,3.0,0.776390554000624,0.5073955040150316,0.5501071603857777,0.6155478283428292,30.65694581599655,8.976010560998702,0.776390554000624,0.0,0.5073955040150316,0.0,0.5501071603857777,0.0,0.6155478283428292,0.0,0.015151515151515152,0.0
"{'n_bins': 8, 'n_random_cuts': 100}",37.30747830500195,10.213081400000647,0.04040404040404041,0.0009436187780136825,0.0018441678192715537,846191.0,8470.0,190.0,8.0,0.7797414041144012,0.5287714117783954,0.5669365025874995,0.6275462187546903,37.30747830500195,10.213081400000647,0.7797414041144012,0.0,0.5287714117783954,0.0,0.5669365025874995,0.0,0.6275462187546903,0.0,0.04040404040404041,0.0
"{'n_bins': 10, 'n_random_cuts': 25}",17.80058544600297,6.363727795999921,0.015151515151515152,0.00035477767265846736,0.000693321007626531,846208.0,8453.0,195.0,3.0,0.7597796942089592,0.5074794543411186,0.5412666431019517,0.5950689061201334,17.80058544600297,6.363727795999921,0.7597796942089592,0.0,0.5074794543411186,0.0,0.5412666431019517,0.0,0.5950689061201334,0.0,0.015151515151515152,0.0
"{'n_bins': 10, 'n_random_cuts': 50}",24.003472665998288,7.733231667000837,0.0,0.0,0.0,846028.0,8633.0,198.0,0.0,0.774671451338867,0.4936029587155343,0.5296399268320104,0.6012785703648341,24.003472665998288,7.733231667000837,0.774671451338867,0.0,0.4936029587155343,0.0,0.5296399268320104,0.0,0.6012785703648341,0.0,0.0,0.0
