,"{'n_components': 1, 'standardization': False, 'svd_solver': 'randomized', 'weighted': True, 'whiten': True}"
best_classifier_training_time,18.570164293065318
best_classifier_inference_time,6.812331027860637
best_classifier_recall,0.010101010101010102
best_classifier_precision,0.00023137436372049977
best_classifier_f1,0.00045238633793259444
best_classifier_TN,846019
best_classifier_FP,8642
best_classifier_FN,196
best_classifier_TP,2
best_classifier_auc,0.5408651305410371
best_classifier_p_auc_10,0.5468369888652501
best_classifier_p_auc_20,0.5457477156907301
best_classifier_p_auc_30,0.5441711921180182
training_time_avg,18.326985338766825
inference_time_avg,6.827077326743165
auc_avg,0.5409125212963225
auc_std,9.691413128189553e-05
p_auc_10_avg,0.546516206060258
p_auc_10_std,0.0005976162291097513
p_auc_20_avg,0.5453588531136238
p_auc_20_std,0.000759956397706288
p_auc_30_avg,0.5438981527373505
p_auc_30_std,0.0005371614135924752
recall_avg,0.010101010101010102
recall_std,0.0
