,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': True}",14.486380798995015,5.483219948004262,0.030303030303030304,0.0007006890108606797,0.0013697066544914964,846104.0,8557.0,192.0,6.0,0.6519331978268328,0.5520679724989356,0.5783545919574513,0.5849340008200518,14.486380798995015,5.483219948004262,0.6519331978268328,0.0,0.5520679724989356,0.0,0.5783545919574513,0.0,0.5849340008200518,0.0,0.030303030303030304,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': False}",14.57925413999692,5.594256008001139,0.030303030303030304,0.0007006890108606797,0.0013697066544914964,846104.0,8557.0,192.0,6.0,0.6519331978268328,0.5520679724989356,0.5783545919574513,0.5849340008200518,14.57925413999692,5.594256008001139,0.6519331978268328,0.0,0.5520679724989356,0.0,0.5783545919574513,0.0,0.5849340008200518,0.0,0.030303030303030304,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': True}",14.212155995987814,5.37932342300337,0.15151515151515152,0.003522367030644593,0.006884681583476764,846174.0,8487.0,168.0,30.0,0.6383777257351693,0.5573787076983265,0.5612441017973153,0.5647805016149685,14.212155995987814,5.37932342300337,0.6383777257351693,0.0,0.5573787076983265,0.0,0.5612441017973153,0.0,0.5647805016149685,0.0,0.15151515151515152,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': False}",14.566646661991399,5.57511117199283,0.15151515151515152,0.003522367030644593,0.006884681583476764,846174.0,8487.0,168.0,30.0,0.6383777257351693,0.5573787076983265,0.5612441017973153,0.5647805016149685,14.566646661991399,5.57511117199283,0.6383777257351693,0.0,0.5573787076983265,0.0,0.5612441017973153,0.0,0.5647805016149685,0.0,0.15151515151515152,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': True, 'whiten': True}",15.46620452998286,5.7380998989847285,0.030303030303030304,0.0007006890108606797,0.0013697066544914964,846104.0,8557.0,192.0,6.0,0.6519331978268328,0.5520679724989356,0.5783545919574513,0.5849340008200518,15.46620452998286,5.7380998989847285,0.6519331978268328,0.0,0.5520679724989356,0.0,0.5783545919574513,0.0,0.5849340008200518,0.0,0.030303030303030304,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': True, 'whiten': False}",16.09263893698062,5.935670861998915,0.030303030303030304,0.0007006890108606797,0.0013697066544914964,846104.0,8557.0,192.0,6.0,0.6519331978268328,0.5520679724989356,0.5783545919574513,0.5849340008200518,16.09263893698062,5.935670861998915,0.6519331978268328,0.0,0.5520679724989356,0.0,0.5783545919574513,0.0,0.5849340008200518,0.0,0.030303030303030304,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': False, 'whiten': True}",15.682498701999975,5.852092658999936,0.15151515151515152,0.003508361595135072,0.006857926620185164,846140.0,8521.0,168.0,30.0,0.6383777257351693,0.5573787076983265,0.5612441017973153,0.5647805016149685,15.682498701999975,5.852092658999936,0.6383777257351693,0.0,0.5573787076983265,0.0,0.5612441017973153,0.0,0.5647805016149685,0.0,0.15151515151515152,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'arpack', 'weighted': False, 'whiten': False}",15.653740082989316,5.787424078012009,0.15151515151515152,0.003508361595135072,0.006857926620185164,846140.0,8521.0,168.0,30.0,0.6383777257351693,0.5573787076983265,0.5612441017973153,0.5647805016149685,15.653740082989316,5.787424078012009,0.6383777257351693,0.0,0.5573787076983265,0.0,0.5612441017973153,0.0,0.5647805016149685,0.0,0.15151515151515152,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': True, 'whiten': True}",22.093920467003045,8.18979739799488,0.030303030303030304,0.000702000702000702,0.0013722126929674098,846120.0,8541.0,192.0,6.0,0.6519331978268328,0.5520679724989356,0.5783545919574513,0.5849340008200518,22.093920467003045,8.18979739799488,0.6519331978268328,0.0,0.5520679724989356,0.0,0.5783545919574513,0.0,0.5849340008200518,0.0,0.030303030303030304,0.0
"{'n_components': 1, 'standardization': True, 'svd_solver': 'randomized', 'weighted': True, 'whiten': False}",21.49811495202175,8.125445367983957,0.030303030303030304,0.000702000702000702,0.0013722126929674098,846120.0,8541.0,192.0,6.0,0.6519331978268328,0.5520679724989356,0.5783545919574513,0.5849340008200518,21.49811495202175,8.125445367983957,0.6519331978268328,0.0,0.5520679724989356,0.0,0.5783545919574513,0.0,0.5849340008200518,0.0,0.030303030303030304,0.0
