,"{'n_components': 3, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': True}"
best_classifier_training_time,15.094781759991747
best_classifier_inference_time,5.678516528947512
best_classifier_recall,0.5202020202020202
best_classifier_precision,0.0120369288301975
best_classifier_f1,0.023529411764705885
best_classifier_TN,846207
best_classifier_FP,8454
best_classifier_FN,95
best_classifier_TP,103
best_classifier_auc,0.8404079204940599
best_classifier_p_auc_10,0.7753465107714337
best_classifier_p_auc_20,0.7920279989827643
best_classifier_p_auc_30,0.8018918657827638
training_time_avg,15.094781759991747
inference_time_avg,5.678516528947512
auc_avg,0.8404079204940599
auc_std,0.0
p_auc_10_avg,0.7753465107714337
p_auc_10_std,0.0
p_auc_20_avg,0.7920279989827643
p_auc_20_std,0.0
p_auc_30_avg,0.8018918657827638
p_auc_30_std,0.0
recall_avg,0.5202020202020202
recall_std,0.0
