,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
auto_encoder_dataset1,4914.647702075985,103.92693955700088,0.1262626262626262,0.002927400468384,0.0057221332112611,846146.0,8515.0,173.0,25.0,0.6180520372664977,0.6266716682549147,0.639837080224263,0.6370425127255235,4914.647702075985,103.92693955700088,0.6180520372664977,0.0,0.6266716682549147,0.0,0.639837080224263,0.0,0.6370425127255235,0.0,0.1262626262626262,0.0
auto_encoder_dataset2,4035.372071286838,94.4488028060805,0.0,0.0,0.0,846204.0,8457.0,198.0,0.0,0.4228206424901957,0.4758768347381599,0.4501184129357366,0.4379698308576336,4035.372071286838,94.4488028060805,0.4228206424901957,0.0,0.4758768347381599,0.0,0.4501184129357366,0.0,0.4379698308576336,0.0,0.0,0.0
auto_encoder_dataset3,4711.18638457598,108.76351755398063,0.1161616161616161,0.0026853473438412,0.0052493438320209,846119.0,8542.0,175.0,23.0,0.5710437243597759,0.5858261117127375,0.5913547779541041,0.5836815720093143,4711.18638457598,108.76351755398063,0.5710437243597759,0.0,0.5858261117127375,0.0,0.5913547779541041,0.0,0.5836815720093143,0.0,0.1161616161616161,0.0
auto_encoder_dataset4,4751.714686521949,106.14601385104288,0.2727272727272727,0.0063792085056113,0.0124668128823733,846250.0,8411.0,144.0,54.0,0.6916868297205063,0.6432061471524024,0.6695636212971157,0.6972529294281633,4751.714686521949,106.14601385104288,0.6916868297205063,0.0,0.6432061471524024,0.0,0.6695636212971157,0.0,0.6972529294281633,0.0,0.2727272727272727,0.0
auto_encoder_dataset5,5554.593000967077,111.08662450096745,0.0707070707070707,0.0016383850204798,0.0032025620496397,846130.0,8531.0,184.0,14.0,0.6620798223275697,0.5512089216758455,0.5631736757379946,0.5904535831536127,5554.593000967077,111.08662450096745,0.6620798223275697,0.0,0.5512089216758455,0.0,0.5631736757379946,0.0,0.5904535831536127,0.0,0.0707070707070707,0.0
auto_encoder_dataset6,3715.1134632880007,90.18473854401014,0.2424242424242424,0.005608131791097,0.0109626584446728,846150.0,8511.0,150.0,48.0,0.7627130446274528,0.6489105301334268,0.6637424012425134,0.6754864605361504,3715.1134632880007,90.18473854401014,0.7627130446274528,0.0,0.6489105301334268,0.0,0.6637424012425134,0.0,0.6754864605361504,0.0,0.2424242424242424,0.0
cblof_dataset1,25.127656056061824,6.784035045016935,0.1161616161616161,0.002675974403723,0.005231434095303,846089.0,8572.0,175.0,23.0,0.6084528328374135,0.539330494818294,0.5158224820195083,0.4902934610828425,26.131284576227337,6.796749446212925,0.5946546027895826,0.0086894680718055,0.5257575104746273,0.0083627770026236,0.5016521167099194,0.0089285327253916,0.4753634386035592,0.0094834205273067,0.0888888888888889,0.0158428152943011
cblof_dataset2,30.16006452607689,6.755701219102775,0.106060606060606,0.0024928774928774,0.0048712595685455,846258.0,8403.0,177.0,21.0,0.5222172530359637,0.545594071817119,0.5386885605122231,0.5410268471906189,29.80713727147668,6.676495850246283,0.5196117501322723,0.005058562580687,0.5442388786723097,0.0010848993505646,0.5381004794031323,0.0031835324541545,0.54063277077562,0.0035654066179426,0.0929292929292929,0.0187889648866043
cblof_dataset3,34.130140980945725,7.286635270065744,0.2727272727272727,0.0063172671970051,0.0123485021724216,846167.0,8494.0,144.0,54.0,0.8418691413580615,0.6792184608563513,0.742492806833522,0.7742974267367805,34.53636122337048,7.284307956775592,0.8411301230794574,0.0031207128900617,0.6773242576014239,0.0030781998147644,0.7402238822709434,0.003748051086645,0.7721954625368067,0.00417388663068,0.2787878787878788,0.0058898503988336
cblof_dataset4,35.69827598413394,7.147395624022465,0.3232323232323232,0.0075991450961766,0.0148491879350348,846303.0,8358.0,134.0,64.0,0.8116186275947865,0.6732012515657481,0.6656758097054308,0.6756320175017247,36.836973752814814,7.21737175838498,0.8083419193473356,0.0016405296112285,0.6668376588505585,0.0031831463977785,0.6589248595045826,0.0033757555285935,0.6693751265272123,0.0031290124170765,0.298989898989899,0.0129356045200663
